Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,"3,824s",N/A,N/A,"38,240.00","2,100",Put,1s,N/A,N/A,10.00
Call,"3,724s",N/A,N/A,"37,240.00","2,200",Put,1s,N/A,50,10.00
Call,"3,674s",N/A,N/A,"36,740.00","2,250",Put,1s,N/A,N/A,10.00
Call,"3,624s",N/A,N/A,"36,240.00","2,300",Put,1s,N/A,12,10.00
Call,"3,574s",N/A,N/A,"35,740.00","2,350",Put,1s,N/A,N/A,10.00
Call,"3,524s",N/A,N/A,"35,240.00","2,400",Put,1s,N/A,N/A,10.00
Call,"3,474s",N/A,N/A,"34,740.00","2,450",Put,1s,N/A,N/A,10.00
Call,"3,424s",N/A,N/A,"34,240.00","2,500",Put,1s,N/A,"1,104",10.00
Call,"3,374s",N/A,N/A,"33,740.00","2,550",Put,1s,N/A,N/A,10.00
Call,"3,324s",N/A,N/A,"33,240.00","2,600",Put,1s,N/A,222,10.00
Call,"3,274s",N/A,N/A,"32,740.00","2,650",Put,1s,N/A,N/A,10.00
Call,"3,224s",N/A,N/A,"32,240.00","2,700",Put,1s,N/A,200,10.00
Call,"3,174s",N/A,N/A,"31,740.00","2,750",Put,1s,N/A,265,10.00
Call,"3,124s",N/A,N/A,"31,240.00","2,800",Put,1s,N/A,557,10.00
Call,"3,074s",N/A,N/A,"30,740.00","2,850",Put,1s,N/A,13,10.00
Call,"3,024s",N/A,N/A,"30,240.00","2,900",Put,1s,N/A,846,10.00
Call,"2,974s",N/A,N/A,"29,740.00","2,950",Put,1s,N/A,N/A,10.00
Call,"2,924s",N/A,N/A,"29,240.00","3,000",Put,1s,N/A,"3,970",10.00
Call,"2,874s",N/A,N/A,"28,740.00","3,050",Put,1s,N/A,40,10.00
Call,"2,824s",N/A,N/A,"28,240.00","3,100",Put,1s,N/A,183,10.00
Call,"2,774s",N/A,N/A,"27,740.00","3,150",Put,1s,N/A,125,10.00
Call,"2,724s",N/A,N/A,"27,240.00","3,200",Put,1s,N/A,73,10.00
Call,"2,674s",N/A,N/A,"26,740.00","3,250",Put,1s,N/A,975,10.00
Call,"2,624s",N/A,N/A,"26,240.00","3,300",Put,1s,N/A,912,10.00
Call,"2,574s",N/A,1,"25,740.00","3,350",Put,1s,N/A,5,10.00
Call,"2,524s",N/A,N/A,"25,240.00","3,400",Put,1s,N/A,886,10.00
Call,"2,474s",N/A,N/A,"24,740.00","3,450",Put,1s,N/A,4,10.00
Call,"2,424s",N/A,908,"24,240.00","3,500",Put,1s,N/A,"5,274",10.00
Call,"2,374s",N/A,80,"23,740.00","3,550",Put,1s,N/A,80,10.00
Call,"2,324s",N/A,500,"23,240.00","3,600",Put,1s,N/A,69,10.00
Call,"2,274s",N/A,N/A,"22,740.00","3,650",Put,1s,N/A,211,10.00
Call,"2,224s",N/A,157,"22,240.00","3,700",Put,1s,N/A,120,10.00
Call,"2,174s",N/A,226,"21,740.00","3,750",Put,1s,N/A,320,10.00
Call,"2,124s",N/A,531,"21,240.00","3,800",Put,1s,N/A,"3,693",10.00
Call,"2,074s",N/A,N/A,"20,740.00","3,850",Put,1s,N/A,100,10.00
Call,"2,024s",N/A,1,"20,240.00","3,900",Put,1s,N/A,21,10.00
Call,"1,974s",N/A,N/A,"19,740.00","3,950",Put,1s,N/A,N/A,10.00
Call,"1,924s",N/A,"1,341","19,240.00","4,000",Put,1s,N/A,"2,575",10.00
Call,"1,874s",N/A,24,"18,740.00","4,050",Put,1s,N/A,15,10.00
Call,"1,824s",N/A,71,"18,240.00","4,100",Put,1s,N/A,94,10.00
Call,"1,774s",N/A,5,"17,740.00","4,150",Put,1s,N/A,3,10.00
Call,"1,724s",N/A,173,"17,240.00","4,200",Put,1s,N/A,286,10.00
Call,"1,674s",N/A,620,"16,740.00","4,250",Put,1s,N/A,"2,290",10.00
Call,"1,624s",N/A,424,"16,240.00","4,300",Put,1s,N/A,"2,891",10.00
Call,"1,574s",N/A,251,"15,740.00","4,350",Put,1s,N/A,300,10.00
Call,"1,524s",N/A,106,"15,240.00","4,400",Put,1s,N/A,99,10.00
Call,"1,475s",N/A,9,"14,750.00","4,450",Put,1s,N/A,N/A,10.00
Call,"1,425s",N/A,"1,235","14,250.00","4,500",Put,1s,25,807,10.00
Call,"1,375s",N/A,3,"13,750.00","4,550",Put,2s,N/A,6,20.00
Call,"1,325s",N/A,370,"13,250.00","4,600",Put,2s,N/A,264,20.00
Call,"1,276s",N/A,96,"12,760.00","4,650",Put,2s,N/A,3,20.00
Call,"1,226s",N/A,46,"12,260.00","4,700",Put,3s,N/A,39,30.00
Call,"1,177s",N/A,969,"11,770.00","4,750",Put,4s,N/A,"1,226",40.00
Call,"1,128s",N/A,348,"11,280.00","4,800",Put,5s,N/A,"1,717",50.00
Call,"1,079s",N/A,1,"10,790.00","4,850",Put,6s,N/A,1,60.00
Call,"1,031s",N/A,77,"10,310.00","4,900",Put,7s,N/A,606,70.00
Call,982s,N/A,3,"9,820.00","4,950",Put,9s,N/A,18,90.00
Call,934s,N/A,"3,163","9,340.00","5,000",Put,11s,350,"1,693",110.00
Call,886s,N/A,79,"8,860.00","5,050",Put,13s,N/A,11,130.00
Call,839s,9,177,"8,390.00","5,100",Put,16s,N/A,78,160.00
Call,793s,N/A,1,"7,930.00","5,150",Put,19s,N/A,2,190.00
Call,747s,N/A,390,"7,470.00","5,200",Put,23s,N/A,905,230.00
Call,701s,5,326,"7,010.00","5,250",Put,28s,125,148,280.00
Call,657s,N/A,905,"6,570.00","5,300",Put,33s,411,351,330.00
Call,613s,N/A,9,"6,130.00","5,350",Put,40s,N/A,2,400.00
Call,571s,N/A,83,"5,710.00","5,400",Put,47s,20,67,470.00
Call,530s,N/A,50,"5,300.00","5,450",Put,56s,3,3,560.00
Call,490s,N/A,"2,434","4,900.00","5,500",Put,66s,87,"1,409",660.00
Call,451s,N/A,101,"4,510.00","5,550",Put,77s,4,93,770.00
Call,414s,1,987,"4,140.00","5,600",Put,90s,N/A,1,900.00
Call,378s,N/A,235,"3,780.00","5,650",Put,104s,N/A,1,"1,040.00"
Call,344s,N/A,322,"3,440.00","5,700",Put,120s,N/A,7,"1,200.00"
Call,312s,N/A,131,"3,120.00","5,750",Put,138s,N/A,52,"1,380.00"
Call,282s,125,739,"2,820.00","5,800",Put,158s,76,102,"1,580.00"
Call,253s,N/A,150,"2,530.00","5,850",Put,179s,N/A,6,"1,790.00"
Call,227s,N/A,175,"2,270.00","5,900",Put,203s,N/A,1,"2,030.00"
Call,202s,22,185,"2,020.00","5,950",Put,228s,22,N/A,"2,280.00"
Call,179s,126,"2,076","1,790.00","6,000",Put,255s,7,28,"2,550.00"
Call,159s,N/A,126,"1,590.00","6,050",Put,284s,N/A,1,"2,840.00"
Call,139s,28,201,"1,390.00","6,100",Put,315s,3,354,"3,150.00"
Call,122s,1,75,"1,220.00","6,150",Put,348s,N/A,N/A,"3,480.00"
Call,107s,45,487,"1,070.00","6,200",Put,382s,N/A,N/A,"3,820.00"
Call,93s,230,689,930.00,"6,250",Put,418s,N/A,N/A,"4,180.00"
Call,80s,430,"1,221",800.00,"6,300",Put,456s,N/A,279,"4,560.00"
Call,69s,185,55,690.00,"6,350",Put,495s,N/A,N/A,"4,950.00"
Call,59s,175,300,590.00,"6,400",Put,535s,50,40,"5,350.00"
Call,51s,100,100,510.00,"6,450",Put,576s,N/A,1,"5,760.00"
Call,43s,80,"1,863",430.00,"6,500",Put,619s,N/A,400,"6,190.00"
Call,37s,24,3,370.00,"6,550",Put,662s,N/A,N/A,"6,620.00"
Call,31s,20,8,310.00,"6,600",Put,707s,N/A,N/A,"7,070.00"
Call,27s,20,2,270.00,"6,650",Put,752s,N/A,1,"7,520.00"
Call,22s,N/A,50,220.00,"6,700",Put,798s,N/A,N/A,"7,980.00"
Call,19s,N/A,176,190.00,"6,750",Put,844s,N/A,N/A,"8,440.00"
Call,16s,N/A,634,160.00,"6,800",Put,891s,N/A,N/A,"8,910.00"
Call,13s,N/A,118,130.00,"6,850",Put,939s,N/A,N/A,"9,390.00"
Call,11s,2,116,110.00,"6,900",Put,987s,N/A,N/A,"9,870.00"
Call,9s,N/A,31,90.00,"6,950",Put,"1,035s",N/A,N/A,"10,350.00"
Call,8s,26,"3,331",80.00,"7,000",Put,"1,083s",1,350,"10,830.00"
Call,6s,2,54,60.00,"7,050",Put,"1,132s",N/A,N/A,"11,320.00"
Call,5s,N/A,26,50.00,"7,100",Put,"1,181s",N/A,N/A,"11,810.00"
Call,5s,N/A,75,50.00,"7,150",Put,"1,230s",N/A,N/A,"12,300.00"
Call,4s,N/A,"1,596",40.00,"7,200",Put,"1,279s",N/A,N/A,"12,790.00"
Call,3s,N/A,162,30.00,"7,250",Put,"1,329s",N/A,N/A,"13,290.00"
Call,3s,N/A,186,30.00,"7,300",Put,"1,378s",N/A,N/A,"13,780.00"
Call,2s,N/A,90,20.00,"7,350",Put,"1,428s",N/A,N/A,"14,280.00"
Call,2s,N/A,129,20.00,"7,400",Put,"1,477s",N/A,N/A,"14,770.00"
Call,2s,N/A,115,20.00,"7,450",Put,"1,527s",N/A,N/A,"15,270.00"
Call,1s,25,142,10.00,"7,500",Put,"1,577s",N/A,N/A,"15,770.00"
Call,1s,N/A,75,10.00,"7,550",Put,"1,627s",N/A,N/A,"16,270.00"
Call,1s,N/A,77,10.00,"7,600",Put,"1,676s",N/A,N/A,"16,760.00"
Call,1s,N/A,75,10.00,"7,650",Put,"1,726s",N/A,N/A,"17,260.00"
Call,1s,N/A,85,10.00,"7,700",Put,"1,776s",N/A,N/A,"17,760.00"
Call,1s,N/A,50,10.00,"7,750",Put,"1,826s",N/A,N/A,"18,260.00"
Call,1s,N/A,28,10.00,"7,800",Put,"1,876s",N/A,N/A,"18,760.00"
Call,1s,N/A,61,10.00,"7,850",Put,"1,926s",N/A,N/A,"19,260.00"
Call,1s,N/A,25,10.00,"7,900",Put,"1,976s",N/A,N/A,"19,760.00"
Call,1s,N/A,26,10.00,"7,950",Put,"2,026s",N/A,N/A,"20,260.00"
Call,1s,N/A,"1,495",10.00,"8,000",Put,"2,076s",N/A,N/A,"20,760.00"
Call,1s,N/A,149,10.00,"8,050",Put,"2,126s",N/A,N/A,"21,260.00"
Call,1s,N/A,27,10.00,"8,100",Put,"2,176s",N/A,N/A,"21,760.00"
Call,1s,N/A,10,10.00,"8,150",Put,"2,226s",N/A,N/A,"22,260.00"
Call,1s,N/A,N/A,10.00,"8,200",Put,"2,276s",N/A,N/A,"22,760.00"
Call,1s,N/A,N/A,10.00,"8,250",Put,"2,326s",N/A,N/A,"23,260.00"
Call,1s,N/A,N/A,10.00,"8,300",Put,"2,376s",N/A,N/A,"23,760.00"
Call,1s,N/A,N/A,10.00,"8,350",Put,"2,426s",N/A,N/A,"24,260.00"
Call,1s,N/A,N/A,10.00,"8,400",Put,"2,476s",N/A,N/A,"24,760.00"
Call,1s,N/A,11,10.00,"8,450",Put,"2,526s",N/A,N/A,"25,260.00"
Call,1s,N/A,54,10.00,"8,500",Put,"2,576s",N/A,N/A,"25,760.00"
Call,1s,N/A,N/A,10.00,"8,550",Put,"2,626s",N/A,N/A,"26,260.00"
Call,1s,N/A,N/A,10.00,"8,600",Put,"2,676s",N/A,N/A,"26,760.00"
Call,1s,N/A,51,10.00,"8,650",Put,"2,726s",N/A,N/A,"27,260.00"
Call,1s,N/A,N/A,10.00,"8,700",Put,"2,776s",N/A,N/A,"27,760.00"
Call,1s,N/A,N/A,10.00,"8,750",Put,"2,826s",N/A,N/A,"28,260.00"
Call,1s,N/A,N/A,10.00,"8,800",Put,"2,876s",N/A,N/A,"28,760.00"
Call,1s,N/A,N/A,10.00,"8,850",Put,"2,926s",N/A,N/A,"29,260.00"
Call,1s,N/A,2,10.00,"8,900",Put,"2,976s",N/A,N/A,"29,760.00"
Call,1s,N/A,3,10.00,"8,950",Put,"3,026s",N/A,N/A,"30,260.00"
Call,1s,N/A,9,10.00,"9,000",Put,"3,076s",N/A,N/A,"30,760.00"
Call,1s,N/A,N/A,10.00,"9,050",Put,"3,126s",N/A,N/A,"31,260.00"
Call,1s,N/A,N/A,10.00,"9,100",Put,"3,176s",N/A,N/A,"31,760.00"
