Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
"3,824s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,100",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,724s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,200",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,674s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,250",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,624s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,300",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,574s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,350",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,524s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,400",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,474s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,450",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,424s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,500",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,374s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,550",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,324s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,600",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,274s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,650",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,224s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,700",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,174s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,750",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,124s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,800",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,074s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,850",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"3,024s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,900",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,974s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"2,950",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,924s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,000",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,874s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,050",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,824s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,100",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,774s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,150",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,724s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,200",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,674s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,250",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,624s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,300",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,574s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,350",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,524s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,400",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,474s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,450",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,424s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,500",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,374s",0.00%,0.9991,0.0000,0.0000,0.0000,-57.96%,Call,08/04/26,"3,550",1s,0.00%,0.0000,0.0000,0.0000,0.0000,-57.96%,Put,08/04/26
"2,324s",0.00%,0.9991,0.0000,-0.0001,0.0000,-57.96%,Call,08/04/26,"3,600",1s,0.00%,0.0000,0.0000,-0.0001,0.0000,-57.96%,Put,08/04/26
"2,274s",0.00%,0.9991,0.0000,-0.0001,0.0000,-57.96%,Call,08/04/26,"3,650",1s,0.00%,0.0000,0.0000,-0.0001,0.0000,-57.96%,Put,08/04/26
