Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,35s,N/A,N/A,350.00,"1,010",,,,,
Call,33s,N/A,N/A,330.00,"1,020",,,,,
Call,32s,N/A,N/A,320.00,"1,030",,,,,
Call,30s,N/A,N/A,300.00,"1,040",,,,,
Call,29s,N/A,N/A,290.00,"1,050",,,,,
Call,27s,N/A,N/A,270.00,"1,060",,,,,
Call,26s,N/A,N/A,260.00,"1,070",,,,,
Call,24s,N/A,N/A,240.00,"1,080",,,,,
Call,23s,N/A,N/A,230.00,"1,090",,,,,
Call,22s,N/A,21,220.00,"1,100",,,,,
Call,21s,N/A,N/A,210.00,"1,110",,,,,
Call,20s,N/A,N/A,200.00,"1,120",,,,,
Call,"3,845s",N/A,N/A,"38,450.00","2,100",Put,3s,N/A,N/A,30.00
Call,"3,745s",N/A,N/A,"37,450.00","2,200",Put,3s,N/A,1,30.00
Call,"3,695s",N/A,N/A,"36,950.00","2,250",Put,3s,N/A,N/A,30.00
Call,"3,645s",N/A,N/A,"36,450.00","2,300",Put,3s,N/A,10,30.00
Call,"3,545s",N/A,N/A,"35,450.00","2,400",Put,3s,N/A,N/A,30.00
Call,"3,495s",N/A,N/A,"34,950.00","2,450",Put,3s,N/A,N/A,30.00
Call,"3,445s",N/A,N/A,"34,450.00","2,500",Put,3s,N/A,875,30.00
Call,"3,395s",N/A,N/A,"33,950.00","2,550",Put,3s,N/A,N/A,30.00
Call,"3,345s",N/A,N/A,"33,450.00","2,600",Put,3s,N/A,600,30.00
Call,"3,295s",N/A,N/A,"32,950.00","2,650",Put,3s,N/A,N/A,30.00
Call,"3,245s",N/A,N/A,"32,450.00","2,700",Put,3s,N/A,5,30.00
Call,"3,195s",N/A,N/A,"31,950.00","2,750",Put,3s,N/A,2,30.00
Call,"3,145s",N/A,N/A,"31,450.00","2,800",Put,3s,N/A,"1,279",30.00
Call,"3,095s",N/A,N/A,"30,950.00","2,850",Put,3s,N/A,N/A,30.00
Call,"3,045s",N/A,N/A,"30,450.00","2,900",Put,3s,N/A,"1,450",30.00
Call,"2,995s",N/A,N/A,"29,950.00","2,950",Put,3s,N/A,N/A,30.00
Call,"2,945s",N/A,N/A,"29,450.00","3,000",Put,4s,N/A,"2,482",40.00
Call,"2,895s",N/A,N/A,"28,950.00","3,050",Put,4s,N/A,N/A,40.00
Call,"2,845s",N/A,N/A,"28,450.00","3,100",Put,4s,N/A,385,40.00
Call,"2,795s",N/A,N/A,"27,950.00","3,150",Put,4s,N/A,N/A,40.00
Call,"2,745s",N/A,N/A,"27,450.00","3,200",Put,5s,N/A,760,50.00
Call,"2,695s",N/A,N/A,"26,950.00","3,250",Put,5s,N/A,N/A,50.00
Call,"2,645s",N/A,376,"26,450.00","3,300",Put,6s,N/A,948,60.00
Call,"2,596s",N/A,N/A,"25,960.00","3,350",Put,6s,N/A,N/A,60.00
Call,"2,546s",N/A,1,"25,460.00","3,400",Put,7s,N/A,299,70.00
Call,"2,496s",N/A,N/A,"24,960.00","3,450",Put,7s,N/A,2,70.00
Call,"2,447s",N/A,397,"24,470.00","3,500",Put,8s,N/A,"2,347",80.00
Call,"2,397s",N/A,1,"23,970.00","3,550",Put,9s,N/A,1,90.00
Call,"2,348s",N/A,6,"23,480.00","3,600",Put,10s,N/A,161,100.00
Call,"2,299s",N/A,N/A,"22,990.00","3,650",Put,11s,N/A,1,110.00
Call,"2,250s",N/A,257,"22,500.00","3,700",Put,12s,N/A,640,120.00
Call,"2,201s",N/A,500,"22,010.00","3,750",Put,13s,N/A,182,130.00
Call,"2,152s",N/A,600,"21,520.00","3,800",Put,15s,N/A,725,150.00
Call,"2,104s",N/A,N/A,"21,040.00","3,850",Put,16s,N/A,N/A,160.00
Call,"2,056s",N/A,253,"20,560.00","3,900",Put,18s,N/A,"1,000",180.00
Call,"2,008s",N/A,1,"20,080.00","3,950",Put,20s,N/A,1,200.00
Call,"1,960s",N/A,"1,632","19,600.00","4,000",Put,23s,N/A,"2,494",230.00
Call,"1,913s",N/A,N/A,"19,130.00","4,050",Put,25s,N/A,1,250.00
Call,"1,865s",N/A,7,"18,650.00","4,100",Put,28s,N/A,N/A,280.00
Call,"1,819s",N/A,N/A,"18,190.00","4,150",Put,31s,N/A,404,310.00
Call,"1,772s",N/A,880,"17,720.00","4,200",Put,35s,2,509,350.00
Call,"1,726s",N/A,415,"17,260.00","4,250",Put,39s,N/A,973,390.00
Call,"1,681s",N/A,95,"16,810.00","4,300",Put,43s,N/A,975,430.00
Call,"1,636s",N/A,21,"16,360.00","4,350",Put,48s,N/A,21,480.00
Call,"1,591s",N/A,504,"15,910.00","4,400",Put,53s,N/A,N/A,530.00
Call,"1,547s",N/A,N/A,"15,470.00","4,450",Put,59s,N/A,1,590.00
Call,"1,503s",N/A,"1,140","15,030.00","4,500",Put,66s,N/A,"2,098",660.00
Call,"1,460s",N/A,N/A,"14,600.00","4,550",Put,72s,N/A,N/A,720.00
Call,"1,418s",N/A,1,"14,180.00","4,600",Put,80s,N/A,1,800.00
Call,"1,376s",N/A,50,"13,760.00","4,650",Put,88s,N/A,N/A,880.00
Call,"1,335s",N/A,167,"13,350.00","4,700",Put,97s,2,485,970.00
Call,"1,295s",N/A,430,"12,950.00","4,750",Put,106s,N/A,436,"1,060.00"
Call,"1,255s",N/A,3,"12,550.00","4,800",Put,116s,N/A,4,"1,160.00"
Call,"1,216s",N/A,N/A,"12,160.00","4,850",Put,127s,N/A,30,"1,270.00"
Call,"1,178s",N/A,N/A,"11,780.00","4,900",Put,139s,N/A,88,"1,390.00"
Call,"1,140s",N/A,1,"11,400.00","4,950",Put,151s,N/A,N/A,"1,510.00"
Call,"1,104s",N/A,"2,414","11,040.00","5,000",Put,164s,1,"3,386","1,640.00"
Call,"1,068s",N/A,3,"10,680.00","5,050",Put,178s,N/A,25,"1,780.00"
Call,"1,033s",N/A,5,"10,330.00","5,100",Put,193s,N/A,25,"1,930.00"
Call,998s,N/A,N/A,"9,980.00","5,150",Put,208s,2,N/A,"2,080.00"
Call,965s,N/A,628,"9,650.00","5,200",Put,224s,N/A,123,"2,240.00"
Call,932s,N/A,285,"9,320.00","5,250",Put,242s,N/A,1,"2,420.00"
Call,901s,N/A,941,"9,010.00","5,300",Put,260s,N/A,515,"2,600.00"
Call,870s,N/A,1,"8,700.00","5,350",Put,278s,N/A,N/A,"2,780.00"
Call,840s,N/A,103,"8,400.00","5,400",Put,298s,N/A,31,"2,980.00"
Call,811s,N/A,N/A,"8,110.00","5,450",Put,319s,N/A,N/A,"3,190.00"
Call,782s,N/A,"2,075","7,820.00","5,500",Put,340s,N/A,"3,092","3,400.00"
Call,755s,N/A,1,"7,550.00","5,550",Put,362s,N/A,25,"3,620.00"
Call,728s,N/A,62,"7,280.00","5,600",Put,385s,N/A,30,"3,850.00"
Call,702s,N/A,N/A,"7,020.00","5,650",Put,409s,N/A,2,"4,090.00"
Call,677s,N/A,601,"6,770.00","5,700",Put,434s,N/A,N/A,"4,340.00"
Call,653s,N/A,N/A,"6,530.00","5,750",Put,459s,N/A,500,"4,590.00"
Call,629s,N/A,451,"6,290.00","5,800",Put,485s,N/A,1,"4,850.00"
Call,607s,N/A,25,"6,070.00","5,850",Put,512s,N/A,N/A,"5,120.00"
Call,585s,N/A,552,"5,850.00","5,900",Put,540s,N/A,50,"5,400.00"
Call,564s,N/A,200,"5,640.00","5,950",Put,569s,N/A,N/A,"5,690.00"
Call,543s,387,"3,898","5,430.00","6,000",Put,598s,1,732,"5,980.00"
Call,523s,N/A,N/A,"5,230.00","6,050",Put,628s,N/A,1,"6,280.00"
Call,504s,1,500,"5,040.00","6,100",Put,658s,N/A,N/A,"6,580.00"
Call,486s,N/A,N/A,"4,860.00","6,150",Put,690s,N/A,250,"6,900.00"
Call,468s,7,533,"4,680.00","6,200",Put,721s,N/A,N/A,"7,210.00"
Call,451s,N/A,390,"4,510.00","6,250",Put,754s,N/A,N/A,"7,540.00"
Call,434s,4,104,"4,340.00","6,300",Put,787s,N/A,36,"7,870.00"
Call,419s,N/A,250,"4,190.00","6,350",Put,821s,N/A,N/A,"8,210.00"
Call,403s,N/A,100,"4,030.00","6,400",Put,855s,N/A,N/A,"8,550.00"
Call,388s,N/A,N/A,"3,880.00","6,450",Put,890s,N/A,N/A,"8,900.00"
Call,374s,4,"3,959","3,740.00","6,500",Put,926s,N/A,N/A,"9,260.00"
Call,361s,N/A,N/A,"3,610.00","6,550",Put,962s,N/A,N/A,"9,620.00"
Call,347s,N/A,102,"3,470.00","6,600",Put,998s,N/A,N/A,"9,980.00"
Call,335s,N/A,N/A,"3,350.00","6,650",Put,"1,036s",N/A,N/A,"10,360.00"
Call,323s,N/A,541,"3,230.00","6,700",Put,"1,073s",N/A,N/A,"10,730.00"
Call,311s,N/A,252,"3,110.00","6,750",Put,"1,111s",N/A,N/A,"11,110.00"
Call,300s,N/A,330,"3,000.00","6,800",Put,"1,149s",N/A,N/A,"11,490.00"
Call,289s,N/A,N/A,"2,890.00","6,850",Put,"1,188s",N/A,N/A,"11,880.00"
Call,278s,N/A,663,"2,780.00","6,900",Put,"1,228s",N/A,N/A,"12,280.00"
Call,268s,N/A,N/A,"2,680.00","6,950",Put,"1,267s",N/A,N/A,"12,670.00"
Call,259s,155,"4,676","2,590.00","7,000",Put,"1,307s",N/A,N/A,"13,070.00"
Call,249s,N/A,1,"2,490.00","7,050",Put,"1,348s",N/A,N/A,"13,480.00"
Call,241s,N/A,640,"2,410.00","7,100",Put,"1,389s",N/A,N/A,"13,890.00"
Call,232s,N/A,N/A,"2,320.00","7,150",Put,"1,430s",N/A,N/A,"14,300.00"
Call,224s,N/A,5,"2,240.00","7,200",Put,"1,471s",N/A,N/A,"14,710.00"
Call,216s,N/A,253,"2,160.00","7,250",Put,"1,513s",N/A,N/A,"15,130.00"
Call,208s,N/A,300,"2,080.00","7,300",Put,"1,555s",N/A,N/A,"15,550.00"
Call,201s,N/A,N/A,"2,010.00","7,350",Put,"1,598s",N/A,N/A,"15,980.00"
Call,194s,N/A,N/A,"1,940.00","7,400",Put,"1,641s",N/A,N/A,"16,410.00"
Call,187s,N/A,N/A,"1,870.00","7,450",Put,"1,684s",N/A,N/A,"16,840.00"
Call,181s,N/A,"3,260","1,810.00","7,500",Put,"1,727s",N/A,N/A,"17,270.00"
Call,174s,N/A,N/A,"1,740.00","7,550",Put,"1,770s",N/A,N/A,"17,700.00"
Call,168s,N/A,N/A,"1,680.00","7,600",Put,"1,814s",N/A,N/A,"18,140.00"
Call,163s,N/A,N/A,"1,630.00","7,650",Put,"1,858s",N/A,N/A,"18,580.00"
Call,157s,N/A,540,"1,570.00","7,700",Put,"1,902s",N/A,N/A,"19,020.00"
Call,152s,N/A,N/A,"1,520.00","7,750",Put,"1,947s",N/A,N/A,"19,470.00"
Call,147s,N/A,12,"1,470.00","7,800",Put,"1,991s",N/A,N/A,"19,910.00"
Call,142s,N/A,N/A,"1,420.00","7,850",Put,"2,036s",N/A,N/A,"20,360.00"
Call,137s,N/A,N/A,"1,370.00","7,900",Put,"2,081s",N/A,N/A,"20,810.00"
Call,132s,N/A,N/A,"1,320.00","7,950",Put,"2,127s",N/A,N/A,"21,270.00"
Call,128s,1,"5,470","1,280.00","8,000",Put,"2,172s",N/A,N/A,"21,720.00"
Call,124s,N/A,N/A,"1,240.00","8,050",Put,"2,218s",N/A,N/A,"22,180.00"
Call,119s,N/A,15,"1,190.00","8,100",Put,"2,263s",N/A,N/A,"22,630.00"
Call,116s,N/A,N/A,"1,160.00","8,150",Put,"2,309s",N/A,N/A,"23,090.00"
Call,112s,N/A,885,"1,120.00","8,200",Put,"2,355s",N/A,N/A,"23,550.00"
Call,108s,N/A,N/A,"1,080.00","8,250",Put,"2,401s",N/A,N/A,"24,010.00"
Call,105s,N/A,1,"1,050.00","8,300",Put,"2,448s",N/A,N/A,"24,480.00"
Call,101s,N/A,N/A,"1,010.00","8,350",Put,"2,494s",N/A,N/A,"24,940.00"
Call,98s,N/A,N/A,980.00,"8,400",Put,"2,541s",N/A,N/A,"25,410.00"
