Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
58s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,010",,,,,,,,,
56s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,020",,,,,,,,,
53s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,030",,,,,,,,,
51s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,040",,,,,,,,,
48s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,050",,,,,,,,,
46s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,060",,,,,,,,,
44s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,070",,,,,,,,,
42s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,080",,,,,,,,,
40s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,090",,,,,,,,,
38s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,100",,,,,,,,,
37s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,110",,,,,,,,,
35s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,120",,,,,,,,,
33s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,130",,,,,,,,,
32s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,140",,,,,,,,,
31s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,150",,,,,,,,,
29s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,160",,,,,,,,,
28s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,170",,,,,,,,,
27s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,180",,,,,,,,,
26s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,190",,,,,,,,,
25s,0.00%,0.9901,0.0000,0.0000,0.0000,-55.05%,Call,08/07/26,"1,200",,,,,,,,,
