Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
,,,,,25.50,Put,0.01s,N/A,10,10.00
,,,,,26.00,Put,0.01s,N/A,247,10.00
,,,,,26.50,Put,0.01s,N/A,39,10.00
,,,,,27.00,Put,0.01s,N/A,19,10.00
,,,,,27.50,Put,0.01s,N/A,2,10.00
,,,,,28.00,Put,0.01s,N/A,48,10.00
,,,,,28.50,Put,0.01s,N/A,161,10.00
,,,,,29.00,Put,0.01s,N/A,1,10.00
,,,,,29.50,Put,0.01s,N/A,32,10.00
,,,,,30.00,Put,0.01s,N/A,379,10.00
,,,,,30.50,Put,0.01s,N/A,362,10.00
,,,,,31.00,Put,0.01s,N/A,76,10.00
,,,,,31.50,Put,0.01s,N/A,52,10.00
,,,,,32.00,Put,0.01s,N/A,450,10.00
,,,,,32.50,Put,0.01s,N/A,33,10.00
,,,,,33.00,Put,0.01s,N/A,101,10.00
,,,,,33.50,Put,0.01s,N/A,50,10.00
,,,,,34.00,Put,0.01s,N/A,111,10.00
,,,,,34.50,Put,0.01s,N/A,109,10.00
,,,,,35.00,Put,0.01s,N/A,503,10.00
,,,,,35.50,Put,0.01s,N/A,80,10.00
,,,,,36.00,Put,0.01s,N/A,94,10.00
,,,,,36.50,Put,0.01s,N/A,337,10.00
,,,,,37.00,Put,0.01s,N/A,280,10.00
,,,,,37.50,Put,0.01s,N/A,193,10.00
,,,,,38.00,Put,0.01s,N/A,682,10.00
,,,,,38.50,Put,0.01s,N/A,265,10.00
,,,,,39.00,Put,0.01s,N/A,533,10.00
,,,,,39.50,Put,0.01s,N/A,109,10.00
Call,42.40s,N/A,4,"42,400.00",40.00,Put,0.01s,N/A,"4,670",10.00
,,,,,40.50,Put,0.01s,N/A,"1,132",10.00
,,,,,41.00,Put,0.01s,N/A,"1,150",10.00
,,,,,41.50,Put,0.01s,N/A,308,10.00
,,,,,42.00,Put,0.01s,N/A,527,10.00
,,,,,42.50,Put,0.01s,N/A,689,10.00
,,,,,43.00,Put,0.01s,N/A,448,10.00
,,,,,43.50,Put,0.01s,N/A,449,10.00
,,,,,44.00,Put,0.01s,N/A,"1,419",10.00
,,,,,44.50,Put,0.01s,N/A,160,10.00
,,,,,45.00,Put,0.01s,N/A,"4,563",10.00
,,,,,45.50,Put,0.01s,N/A,791,10.00
,,,,,46.00,Put,0.01s,N/A,"1,323",10.00
,,,,,46.50,Put,0.01s,N/A,481,10.00
,,,,,47.00,Put,0.01s,N/A,"1,577",10.00
,,,,,47.50,Put,0.01s,N/A,421,10.00
,,,,,48.00,Put,0.01s,N/A,"1,982",10.00
,,,,,48.50,Put,0.01s,N/A,614,10.00
,,,,,49.00,Put,0.01s,N/A,494,10.00
,,,,,49.50,Put,0.01s,N/A,650,10.00
Call,32.41s,N/A,90,"32,410.00",50.00,Put,0.01s,N/A,"12,993",10.00
Call,31.91s,N/A,2,"31,910.00",50.50,Put,0.01s,N/A,860,10.00
Call,31.41s,N/A,2,"31,410.00",51.00,Put,0.01s,N/A,"1,149",10.00
Call,30.91s,N/A,1,"30,910.00",51.50,Put,0.01s,N/A,255,10.00
Call,30.41s,N/A,60,"30,410.00",52.00,Put,0.01s,N/A,"4,189",10.00
Call,29.91s,N/A,1,"29,910.00",52.50,Put,0.01s,N/A,351,10.00
Call,29.41s,N/A,5,"29,410.00",53.00,Put,0.01s,N/A,817,10.00
Call,28.91s,N/A,2,"28,910.00",53.50,Put,0.01s,N/A,485,10.00
Call,28.41s,N/A,55,"28,410.00",54.00,Put,0.01s,N/A,"1,080",10.00
Call,27.91s,N/A,4,"27,910.00",54.50,Put,0.01s,N/A,629,10.00
Call,27.41s,N/A,"1,501","27,410.00",55.00,Put,0.01s,N/A,"25,122",10.00
Call,26.91s,N/A,3,"26,910.00",55.50,Put,0.01s,N/A,397,10.00
Call,26.41s,N/A,14,"26,410.00",56.00,Put,0.01s,N/A,"6,048",10.00
,,,,,56.50,Put,0.01s,N/A,482,10.00
Call,25.41s,N/A,16,"25,410.00",57.00,Put,0.01s,N/A,"2,248",10.00
,,,,,57.50,Put,0.01s,57,587,10.00
Call,24.41s,N/A,1,"24,410.00",58.00,Put,0.01s,2,"12,146",10.00
,,,,,58.50,Put,0.01s,N/A,"1,195",10.00
Call,23.41s,N/A,19,"23,410.00",59.00,Put,0.01s,4,996,10.00
,,,,,59.50,Put,0.01s,N/A,"1,356",10.00
Call,22.41s,N/A,"5,931","22,410.00",60.00,Put,0.01s,1,"19,387",10.00
Call,21.91s,N/A,755,"21,910.00",60.50,Put,0.01s,N/A,"3,473",10.00
Call,21.41s,N/A,97,"21,410.00",61.00,Put,0.01s,N/A,"3,588",10.00
Call,20.91s,N/A,100,"20,910.00",61.50,Put,0.01s,N/A,843,10.00
Call,20.41s,N/A,871,"20,410.00",62.00,Put,0.01s,N/A,"5,167",10.00
Call,19.91s,N/A,50,"19,910.00",62.50,Put,0.01s,N/A,"2,148",10.00
Call,19.41s,N/A,1,"19,410.00",63.00,Put,0.01s,95,"3,541",10.00
Call,18.91s,N/A,218,"18,910.00",63.50,Put,0.01s,N/A,"1,409",10.00
Call,18.41s,N/A,682,"18,410.00",64.00,Put,0.01s,N/A,"3,285",10.00
Call,17.91s,N/A,116,"17,910.00",64.50,Put,0.01s,N/A,696,10.00
Call,17.41s,N/A,"3,402","17,410.00",65.00,Put,0.01s,422,"16,697",10.00
Call,16.91s,N/A,8,"16,910.00",65.50,Put,0.01s,64,"1,489",10.00
Call,16.41s,N/A,214,"16,410.00",66.00,Put,0.01s,2,"3,172",10.00
Call,15.91s,N/A,141,"15,910.00",66.50,Put,0.01s,N/A,835,10.00
Call,15.41s,N/A,472,"15,410.00",67.00,Put,0.01s,6,"3,923",10.00
Call,14.91s,N/A,321,"14,910.00",67.50,Put,0.01s,N/A,"1,533",10.00
Call,14.41s,N/A,"2,663","14,410.00",68.00,Put,0.01s,427,"7,899",10.00
Call,13.91s,N/A,664,"13,910.00",68.50,Put,0.01s,51,"1,313",10.00
Call,13.41s,N/A,"1,774","13,410.00",69.00,Put,0.01s,193,"31,013",10.00
Call,12.91s,1,239,"12,910.00",69.50,Put,0.01s,58,"1,730",10.00
Call,12.41s,9,"15,697","12,410.00",70.00,Put,0.01s,"1,352","51,577",10.00
Call,11.91s,N/A,"1,908","11,910.00",70.50,Put,0.01s,112,"2,858",10.00
Call,11.41s,1,"1,355","11,410.00",71.00,Put,0.01s,5,"4,002",10.00
Call,10.91s,8,588,"10,910.00",71.50,Put,0.02s,39,908,20.00
Call,10.42s,14,"1,918","10,420.00",72.00,Put,0.02s,933,"10,514",20.00
Call,9.92s,9,"5,869","9,920.00",72.50,Put,0.02s,75,"7,814",20.00
Call,9.42s,21,"4,252","9,420.00",73.00,Put,0.03s,681,"11,990",30.00
Call,8.93s,9,660,"8,930.00",73.50,Put,0.03s,51,"2,421",30.00
