Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
,,,,,,,,,25.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,26.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,26.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,27.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,27.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,28.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,28.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,29.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,29.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
59.31s,0.00%,0.9976,0.0000,0.0000,0.0000,-71.28%,Call,07/24/26,30.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,30.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,31.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,31.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,32.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,32.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,33.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,33.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,34.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,34.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
54.31s,0.00%,0.9976,0.0000,0.0000,0.0000,-71.28%,Call,07/24/26,35.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,35.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,36.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,36.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
,,,,,,,,,37.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-71.28%,Put,07/24/26
