Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
,,,,,,,,,25.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,26.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,27.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,28.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,28.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,29.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,29.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,30.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,31.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,31.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,32.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,32.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,33.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,33.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,34.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,34.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
56.30s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,35.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,35.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,36.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,36.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,37.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,37.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,38.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,38.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,39.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,39.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,40.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,40.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,41.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,41.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,42.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,42.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,43.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,43.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,44.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,44.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,45.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,45.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
45.30s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,46.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
44.80s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,46.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,47.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
43.80s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,47.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,48.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,48.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,49.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
41.80s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,49.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
41.30s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,50.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
40.80s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,50.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
40.30s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,51.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
39.80s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,51.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
39.30s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,52.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
38.80s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,52.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,53.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
,,,,,,,,,53.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-46.23%,Put,09/03/26
37.30s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,54.00,0.01s,99.94%,-0.0019,0.0003,-0.0039,0.0010,+53.71%,Put,09/03/26
,,,,,,,,,54.50,0.01s,98.32%,-0.0019,0.0004,-0.0039,0.0011,+52.09%,Put,09/03/26
36.30s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,55.00,0.01s,96.72%,-0.0020,0.0004,-0.0039,0.0011,+50.48%,Put,09/03/26
,,,,,,,,,55.50,0.01s,95.12%,-0.0020,0.0004,-0.0039,0.0011,+48.88%,Put,09/03/26
,,,,,,,,,56.00,0.01s,93.54%,-0.0020,0.0004,-0.0039,0.0011,+47.30%,Put,09/03/26
34.80s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,56.50,0.01s,91.97%,-0.0021,0.0004,-0.0039,0.0011,+45.74%,Put,09/03/26
,,,,,,,,,57.00,0.01s,90.41%,-0.0021,0.0004,-0.0038,0.0011,+44.18%,Put,09/03/26
33.80s,0.00%,0.9986,0.0000,0.0000,0.0000,-46.23%,Call,09/03/26,57.50,0.01s,88.87%,-0.0021,0.0004,-0.0038,0.0012,+42.63%,Put,09/03/26
