Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
,,,,,25.50,Put,0.01s,N/A,3,10.00
,,,,,26.00,Put,0.01s,N/A,7,10.00
,,,,,27.00,Put,0.01s,N/A,65,10.00
,,,,,27.50,Put,0.01s,N/A,27,10.00
,,,,,28.00,Put,0.01s,N/A,5,10.00
,,,,,28.50,Put,0.01s,N/A,7,10.00
,,,,,29.00,Put,0.01s,N/A,26,10.00
,,,,,30.00,Put,0.01s,N/A,201,10.00
,,,,,31.00,Put,0.01s,N/A,5,10.00
,,,,,31.50,Put,0.01s,N/A,2,10.00
,,,,,32.00,Put,0.01s,N/A,3,10.00
,,,,,32.50,Put,0.01s,N/A,50,10.00
,,,,,33.00,Put,0.01s,N/A,390,10.00
,,,,,33.50,Put,0.01s,N/A,50,10.00
,,,,,34.00,Put,0.01s,N/A,44,10.00
,,,,,34.50,Put,0.01s,N/A,55,10.00
,,,,,35.00,Put,0.01s,N/A,"1,030",10.00
,,,,,35.50,Put,0.01s,N/A,59,10.00
,,,,,36.00,Put,0.01s,N/A,486,10.00
,,,,,36.50,Put,0.01s,N/A,67,10.00
,,,,,37.00,Put,0.01s,N/A,302,10.00
,,,,,37.50,Put,0.01s,N/A,59,10.00
,,,,,38.00,Put,0.01s,2,21,10.00
,,,,,38.50,Put,0.01s,N/A,129,10.00
,,,,,39.00,Put,0.01s,N/A,"1,220",10.00
,,,,,39.50,Put,0.01s,N/A,33,10.00
,,,,,40.00,Put,0.01s,6,"2,490",10.00
,,,,,40.50,Put,0.01s,N/A,148,10.00
,,,,,41.00,Put,0.01s,N/A,346,10.00
,,,,,41.50,Put,0.01s,N/A,17,10.00
,,,,,42.00,Put,0.01s,N/A,985,10.00
,,,,,42.50,Put,0.01s,N/A,101,10.00
,,,,,43.00,Put,0.01s,N/A,430,10.00
,,,,,43.50,Put,0.01s,N/A,107,10.00
,,,,,44.00,Put,0.01s,3,"1,986",10.00
,,,,,44.50,Put,0.01s,N/A,94,10.00
,,,,,45.00,Put,0.01s,3,753,10.00
,,,,,45.50,Put,0.01s,11,137,10.00
,,,,,46.00,Put,0.01s,10,300,10.00
,,,,,46.50,Put,0.01s,N/A,222,10.00
,,,,,47.00,Put,0.01s,31,714,10.00
,,,,,47.50,Put,0.01s,N/A,222,10.00
,,,,,48.00,Put,0.01s,25,653,10.00
,,,,,48.50,Put,0.01s,4,104,10.00
,,,,,49.00,Put,0.01s,6,137,10.00
,,,,,49.50,Put,0.02s,N/A,416,20.00
,,,,,50.00,Put,0.02s,N/A,"5,099",20.00
,,,,,50.50,Put,0.02s,N/A,94,20.00
,,,,,51.00,Put,0.02s,N/A,383,20.00
,,,,,51.50,Put,0.02s,N/A,190,20.00
,,,,,52.00,Put,0.02s,N/A,346,20.00
,,,,,52.50,Put,0.02s,4,202,20.00
,,,,,53.00,Put,0.02s,N/A,"1,139",20.00
,,,,,53.50,Put,0.02s,4,188,20.00
Call,40.61s,N/A,2,"40,610.00",54.00,Put,0.03s,3,716,30.00
,,,,,54.50,Put,0.03s,N/A,158,30.00
,,,,,55.00,Put,0.03s,73,"12,089",30.00
,,,,,55.50,Put,0.03s,N/A,149,30.00
,,,,,56.00,Put,0.03s,2,977,30.00
,,,,,56.50,Put,0.03s,N/A,134,30.00
Call,37.62s,N/A,4,"37,620.00",57.00,Put,0.04s,6,"2,542",40.00
Call,37.12s,N/A,19,"37,120.00",57.50,Put,0.04s,N/A,130,40.00
Call,36.62s,N/A,66,"36,620.00",58.00,Put,0.04s,7,"4,196",40.00
,,,,,58.50,Put,0.04s,N/A,816,40.00
,,,,,59.00,Put,0.04s,4,745,40.00
,,,,,59.50,Put,0.05s,7,245,50.00
Call,34.63s,N/A,384,"34,630.00",60.00,Put,0.04s,84,"12,475",40.00
Call,34.13s,N/A,78,"34,130.00",60.50,Put,0.05s,1,267,50.00
Call,33.63s,N/A,8,"33,630.00",61.00,Put,0.06s,14,"1,322",60.00
Call,33.13s,N/A,65,"33,130.00",61.50,Put,0.05,1,263,50.00
Call,32.64s,N/A,28,"32,640.00",62.00,Put,0.06s,40,"2,808",60.00
Call,32.14s,N/A,3,"32,140.00",62.50,Put,0.07s,3,584,70.00
Call,31.64s,N/A,6,"31,640.00",63.00,Put,0.07s,12,"1,433",70.00
,,,,,63.50,Put,0.09s,41,302,90.00
Call,30.65s,N/A,1,"30,650.00",64.00,Put,0.07s,10,794,70.00
Call,30.15s,N/A,27,"30,150.00",64.50,Put,0.08s,9,507,80.00
Call,29.66s,N/A,568,"29,660.00",65.00,Put,0.08s,"1,356","11,217",80.00
Call,29.16s,N/A,6,"29,160.00",65.50,Put,0.09s,92,323,90.00
Call,28.67s,N/A,29,"28,670.00",66.00,Put,0.11s,634,"3,587",110.00
Call,28.17s,N/A,26,"28,170.00",66.50,Put,0.10s,91,"1,165",100.00
Call,27.68s,N/A,66,"27,680.00",67.00,Put,0.11s,194,"2,028",110.00
Call,27.18s,N/A,27,"27,180.00",67.50,Put,0.11s,1,"1,204",110.00
Call,26.69s,N/A,"1,124","26,690.00",68.00,Put,0.12,1,"5,655",120.00
Call,26.20s,N/A,601,"26,200.00",68.50,Put,0.12s,6,"1,032",120.00
Call,25.70s,N/A,236,"25,700.00",69.00,Put,0.12s,117,"3,017",120.00
Call,25.21s,N/A,36,"25,210.00",69.50,Put,0.14s,19,263,140.00
Call,22.33s,3,"2,384","22,330.00",70.00,Put,0.16s,623,"15,140",160.00
Call,24.23s,2,14,"24,230.00",70.50,Put,0.15s,10,403,150.00
Call,23.74s,2,552,"23,740.00",71.00,Put,0.16,1,"3,389",160.00
Call,22.85s,1,25,"22,850.00",71.50,Put,0.18s,57,295,180.00
Call,22.92s,10,172,"22,920.00",72.00,Put,0.18s,"1,168","5,196",180.00
Call,22.27s,N/A,100,"22,270.00",72.50,Put,0.25,5,346,250.00
Call,22.10s,3,433,"22,100.00",73.00,Put,0.20s,75,"8,077",200.00
Call,20.92s,2,102,"20,920.00",73.50,Put,0.23s,50,438,230.00
Call,20.98s,5,190,"20,980.00",74.00,Put,0.21s,169,989,210.00
Call,22.07s,1,82,"22,070.00",74.50,Put,0.33,1,712,330.00
Call,19.67s,6,"1,986","19,670.00",75.00,Put,0.34,22,"24,265",340.00
Call,19.70s,2,91,"19,700.00",75.50,Put,0.30s,33,"1,381",300.00
Call,18.91s,N/A,761,"18,910.00",76.00,Put,0.39,1,"4,697",390.00
Call,20.48s,1,173,"20,480.00",76.50,Put,0.37s,49,858,370.00
Call,17.98s,9,136,"17,980.00",77.00,Put,0.36s,86,"3,491",360.00
Call,17.50s,1,313,"17,500.00",77.50,Put,0.40s,82,605,400.00
Call,18.00s,1,999,"18,000.00",78.00,Put,0.46s,263,"2,314",460.00
Call,16.60s,2,283,"16,600.00",78.50,Put,0.64,1,944,640.00
Call,16.27s,1,597,"16,270.00",79.00,Put,0.72,1,"4,047",720.00
Call,15.73s,2,406,"15,730.00",79.50,Put,0.73,12,432,730.00
Call,15.51s,11,"3,666","15,510.00",80.00,Put,0.77,12,"22,796",770.00
Call,15.23s,2,805,"15,230.00",80.50,Put,0.86,5,758,860.00
Call,14.70s,5,293,"14,700.00",81.00,Put,0.92,8,"1,332",920.00
Call,14.26s,4,180,"14,260.00",81.50,Put,1.06,6,759,"1,060.00"
Call,13.07s,4,"1,060","13,070.00",82.00,Put,1.07,14,"2,470","1,070.00"
Call,12.96s,8,"1,061","12,960.00",82.50,Put,1.22,5,"1,137","1,220.00"
Call,12.51s,14,634,"12,510.00",83.00,Put,1.33,7,"5,130","1,330.00"
Call,11.82s,7,"1,553","11,820.00",83.50,Put,1.41,23,"1,006","1,410.00"
Call,12.38s,12,"1,995","12,380.00",84.00,Put,1.46,7,"3,162","1,460.00"
Call,12.36s,2,604,"12,360.00",84.50,Put,1.57,7,566,"1,570.00"
Call,10.77s,144,"4,140","10,770.00",85.00,Put,1.78,48,"7,303","1,780.00"
Call,11.46s,8,344,"11,460.00",85.50,Put,1.44s,88,740,"1,440.00"
Call,10.08s,11,"1,539","10,080.00",86.00,Put,1.93,38,"1,773","1,930.00"
Call,9.20s,19,110,"9,200.00",86.50,Put,2.09,3,952,"2,090.00"
Call,9.18s,26,489,"9,180.00",87.00,Put,1.89s,"1,040","2,297","1,890.00"
Call,7.91,1,651,"7,910.00",87.50,Put,2.37,23,"1,510","2,370.00"
Call,9.12s,34,"2,370","9,120.00",88.00,Put,2.59,15,"1,762","2,590.00"
Call,8.92s,63,437,"8,920.00",88.50,Put,2.31s,207,"1,353","2,310.00"
Call,8.59s,32,844,"8,590.00",89.00,Put,2.91,108,"1,093","2,910.00"
Call,8.25s,151,280,"8,250.00",89.50,Put,3.14,79,944,"3,140.00"
Call,7.89s,672,"9,346","7,890.00",90.00,Put,3.37,87,"7,937","3,370.00"
Call,7.50s,199,798,"7,500.00",90.50,Put,3.56,27,358,"3,560.00"
Call,6.55s,108,867,"6,550.00",91.00,Put,3.00s,257,"1,075","3,000.00"
Call,6.52s,91,317,"6,520.00",91.50,Put,3.94,7,607,"3,940.00"
Call,6.50s,249,"1,248","6,500.00",92.00,Put,4.22,3,"1,057","4,220.00"
Call,5.14,1,907,"5,140.00",92.50,Put,4.64,4,618,"4,640.00"
Call,4.58,4,"2,605","4,580.00",93.00,Put,4.65,8,"1,717","4,650.00"
Call,4.58,1,"1,583","4,580.00",93.50,Put,3.97s,208,772,"3,970.00"
Call,4.45,5,389,"4,450.00",94.00,Put,5.27,2,655,"5,270.00"
Call,3.97,3,312,"3,970.00",94.50,Put,5.55,1,196,"5,550.00"
Call,3.95,13,"6,546","3,950.00",95.00,Put,6.05,12,"2,454","6,050.00"
Call,3.64,1,341,"3,640.00",95.50,Put,5.17s,59,118,"5,170.00"
Call,4.52s,292,"1,503","4,520.00",96.00,Put,6.53,1,371,"6,530.00"
Call,4.04s,163,222,"4,040.00",96.50,Put,5.54s,40,365,"5,540.00"
Call,3.23,56,"1,387","3,230.00",97.00,Put,6.11s,97,906,"6,110.00"
Call,3.06,10,"1,368","3,060.00",97.50,Put,6.36s,59,622,"6,360.00"
Call,3.24,11,"1,417","3,240.00",98.00,Put,6.48s,63,"1,142","6,480.00"
Call,3.24s,132,806,"3,240.00",98.50,Put,6.92s,9,81,"6,920.00"
Call,3.04s,340,"1,510","3,040.00",99.00,Put,7.49s,15,654,"7,490.00"
Call,2.94s,93,416,"2,940.00",99.50,Put,7.84s,37,158,"7,840.00"
Call,2.22,47,"15,018","2,220.00",100.00,Put,7.77s,343,"1,302","7,770.00"
Call,2.56s,79,736,"2,560.00",100.50,Put,8.98s,23,153,"8,980.00"
Call,2.10,2,994,"2,100.00",101.00,Put,8.98s,32,153,"8,980.00"
Call,2.52s,179,465,"2,520.00",101.50,Put,8.98s,47,82,"8,980.00"
Call,1.88,18,"1,089","1,880.00",102.00,Put,9.82s,47,342,"9,820.00"
Call,1.80,6,652,"1,800.00",102.50,Put,10.16s,52,256,"10,160.00"
Call,1.70,19,"1,565","1,700.00",103.00,Put,10.24s,27,50,"10,240.00"
Call,1.60,28,"1,085","1,600.00",103.50,Put,10.34s,25,88,"10,340.00"
Call,1.43,7,825,"1,430.00",104.00,Put,11.15s,8,58,"11,150.00"
Call,1.89s,42,602,"1,890.00",104.50,Put,11.11s,10,20,"11,110.00"
Call,1.30,62,"11,918","1,300.00",105.00,Put,11.36s,84,223,"11,360.00"
Call,1.22,18,370,"1,220.00",105.50,Put,12.45s,6,18,"12,450.00"
Call,1.22,4,"1,004","1,220.00",106.00,Put,12.27s,6,75,"12,270.00"
