Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
,,,,,,,,,25.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,26.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,27.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,27.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,28.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,28.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,29.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,30.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,31.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,31.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,32.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,32.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,33.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,33.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,34.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,34.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,35.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,35.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,36.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,36.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,37.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,37.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,38.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,38.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,39.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,39.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,40.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,40.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,41.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,41.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,42.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,42.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,43.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,43.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,44.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,44.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,45.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,45.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,46.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,46.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,47.00,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,47.50,0.01s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,48.00,0.01s,99.38%,-0.0015,0.0002,-0.0026,0.0011,+47.16%,Put,09/24/26
,,,,,,,,,48.50,0.01s,97.91%,-0.0015,0.0002,-0.0026,0.0011,+45.69%,Put,09/24/26
,,,,,,,,,49.00,0.01s,96.46%,-0.0016,0.0002,-0.0026,0.0011,+44.25%,Put,09/24/26
,,,,,,,,,49.50,0.02s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,50.00,0.02s,0.00%,0.0000,0.0000,0.0000,0.0000,-52.22%,Put,09/24/26
,,,,,,,,,50.50,0.02s,98.82%,-0.0029,0.0004,-0.0046,0.0019,+46.60%,Put,09/24/26
,,,,,,,,,51.00,0.02s,97.33%,-0.0029,0.0004,-0.0046,0.0020,+45.12%,Put,09/24/26
,,,,,,,,,51.50,0.02s,95.88%,-0.0030,0.0004,-0.0046,0.0020,+43.66%,Put,09/24/26
