Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,58.83s,N/A,N/A,"29,415.00",30.00,Put,0.01s,N/A,N/A,5.00
Call,53.83s,N/A,N/A,"26,915.00",35.00,Put,0.01s,N/A,N/A,5.00
Call,48.83s,N/A,N/A,"24,415.00",40.00,Put,0.01s,N/A,N/A,5.00
Call,47.83s,N/A,N/A,"23,915.00",41.00,Put,0.01s,N/A,N/A,5.00
Call,46.83s,N/A,N/A,"23,415.00",42.00,Put,0.01s,N/A,N/A,5.00
Call,45.83s,N/A,N/A,"22,915.00",43.00,Put,0.01s,N/A,N/A,5.00
Call,44.83s,N/A,N/A,"22,415.00",44.00,Put,0.01s,N/A,N/A,5.00
Call,43.83s,N/A,N/A,"21,915.00",45.00,Put,0.01s,N/A,351,5.00
Call,38.83s,N/A,N/A,"19,415.00",50.00,Put,0.01s,N/A,15,5.00
Call,36.83s,N/A,N/A,"18,415.00",52.00,Put,0.01s,N/A,90,5.00
Call,35.83s,N/A,N/A,"17,915.00",53.00,Put,0.01s,N/A,2,5.00
Call,34.83s,N/A,N/A,"17,415.00",54.00,Put,0.01s,N/A,N/A,5.00
Call,33.83s,N/A,N/A,"16,915.00",55.00,Put,0.01s,N/A,191,5.00
Call,32.83s,N/A,N/A,"16,415.00",56.00,Put,0.01s,N/A,64,5.00
Call,31.83s,N/A,N/A,"15,915.00",57.00,Put,0.02s,N/A,71,10.00
Call,30.83s,N/A,N/A,"15,415.00",58.00,Put,0.02s,N/A,20,10.00
Call,29.83s,N/A,N/A,"14,915.00",59.00,Put,0.02s,N/A,369,10.00
Call,28.83s,N/A,N/A,"14,415.00",60.00,Put,0.03s,N/A,"1,247",15.00
Call,27.83s,N/A,N/A,"13,915.00",61.00,Put,0.03s,N/A,"1,079",15.00
Call,26.83s,N/A,N/A,"13,415.00",62.00,Put,0.04s,N/A,"2,196",20.00
Call,25.83s,N/A,N/A,"12,915.00",63.00,Put,0.04s,N/A,"1,921",20.00
Call,24.83s,N/A,221,"12,415.00",64.00,Put,0.05s,N/A,"2,418",25.00
Call,23.84s,N/A,354,"11,920.00",65.00,Put,0.06s,N/A,"2,674",30.00
Call,22.85s,N/A,2,"11,425.00",66.00,Put,0.07s,N/A,"2,371",35.00
Call,21.86s,N/A,"1,157","10,930.00",67.00,Put,0.09s,N/A,"1,732",45.00
Call,20.87s,N/A,"2,687","10,435.00",68.00,Put,0.10s,N/A,"3,681",50.00
Call,19.89s,N/A,"3,880","9,945.00",69.00,Put,0.12s,N/A,"3,427",60.00
Call,18.91s,N/A,"6,433","9,455.00",70.00,Put,0.15s,9,"6,906",75.00
Call,17.95s,N/A,"1,503","8,975.00",71.00,Put,0.18s,2,"1,145",90.00
Call,16.99s,N/A,"2,173","8,495.00",72.00,Put,0.23s,12,"4,359",115.00
Call,16.05s,N/A,"1,309","8,025.00",73.00,Put,0.29s,366,"3,018",145.00
Call,15.12s,1,"1,441","7,560.00",74.00,Put,0.36s,2,"1,775",180.00
Call,14.21s,25,"4,333","7,105.00",75.00,Put,0.45s,489,"5,480",225.00
Call,13.32s,3,"1,449","6,660.00",76.00,Put,0.55s,139,"3,055",275.00
Call,12.45s,N/A,"1,593","6,225.00",77.00,Put,0.68s,195,"4,334",340.00
Call,11.61s,13,"3,962","5,805.00",78.00,Put,0.84s,518,"4,693",420.00
Call,10.80s,N/A,717,"5,400.00",79.00,Put,1.03s,276,"2,998",515.00
Call,10.02s,783,"11,688","5,010.00",80.00,Put,1.24s,"1,099","8,215",620.00
Call,9.29s,N/A,"1,549","4,645.00",81.00,Put,1.50s,156,"1,288",750.00
Call,8.60s,N/A,"5,916","4,300.00",82.00,Put,1.81s,N/A,"2,506",905.00
Call,7.94s,N/A,"3,191","3,970.00",83.00,Put,2.15s,N/A,"1,312","1,075.00"
Call,7.33s,100,"2,127","3,665.00",84.00,Put,2.53s,131,"1,389","1,265.00"
Call,6.76s,266,"8,268","3,380.00",85.00,Put,2.95s,"1,016","1,923","1,475.00"
Call,6.22s,N/A,"2,232","3,110.00",86.00,Put,3.41s,140,878,"1,705.00"
Call,5.72s,N/A,"2,334","2,860.00",87.00,Put,3.90s,116,49,"1,950.00"
Call,5.26s,342,"2,705","2,630.00",88.00,Put,4.43s,N/A,180,"2,215.00"
Call,4.82s,533,"1,016","2,410.00",89.00,Put,4.99s,1,39,"2,495.00"
Call,4.42s,622,"15,382","2,210.00",90.00,Put,5.58s,N/A,816,"2,790.00"
Call,4.05s,87,704,"2,025.00",91.00,Put,6.20s,N/A,3,"3,100.00"
Call,3.71s,709,"5,925","1,855.00",92.00,Put,6.86s,N/A,1,"3,430.00"
Call,3.39s,224,"1,551","1,695.00",93.00,Put,7.53s,N/A,N/A,"3,765.00"
Call,3.10s,244,"1,324","1,550.00",94.00,Put,8.24s,N/A,58,"4,120.00"
Call,2.83s,882,"10,290","1,415.00",95.00,Put,8.97s,N/A,21,"4,485.00"
Call,2.59s,5,341,"1,295.00",96.00,Put,9.72s,N/A,N/A,"4,860.00"
Call,2.37s,N/A,"1,423","1,185.00",97.00,Put,10.50s,N/A,N/A,"5,250.00"
Call,2.17s,35,"1,164","1,085.00",98.00,Put,11.29s,N/A,N/A,"5,645.00"
Call,1.99s,7,731,995.00,99.00,Put,12.10s,N/A,N/A,"6,050.00"
Call,1.82s,225,"9,979",910.00,100.00,Put,12.93s,N/A,55,"6,465.00"
Call,1.67s,N/A,120,835.00,101.00,Put,13.77s,N/A,N/A,"6,885.00"
Call,1.54s,N/A,873,770.00,102.00,Put,14.63s,N/A,1,"7,315.00"
Call,1.42s,N/A,103,710.00,103.00,Put,15.51s,N/A,N/A,"7,755.00"
Call,1.30s,N/A,40,650.00,104.00,Put,16.39s,N/A,N/A,"8,195.00"
Call,1.20s,821,"1,769",600.00,105.00,Put,17.29s,N/A,N/A,"8,645.00"
Call,1.11s,N/A,73,555.00,106.00,Put,18.19s,N/A,1,"9,095.00"
Call,1.04s,N/A,77,520.00,107.00,Put,19.11s,N/A,N/A,"9,555.00"
Call,0.84s,278,"6,103",420.00,110.00,Put,21.90s,N/A,6,"10,950.00"
Call,0.60s,N/A,"2,061",300.00,115.00,Put,26.65s,N/A,3,"13,325.00"
Call,0.44s,21,"1,641",220.00,120.00,Put,31.48s,N/A,8,"15,740.00"
Call,0.34s,12,782,170.00,125.00,Put,36.38s,N/A,N/A,"18,190.00"
Call,0.13s,N/A,379,65.00,150.00,Put,61.18s,N/A,N/A,"30,590.00"
Call,0.06s,N/A,28,30.00,175.00,Put,86.17s,N/A,N/A,"43,085.00"
Call,0.03s,N/A,76,15.00,200.00,Put,111.17s,N/A,N/A,"55,585.00"
Call,0.02s,N/A,N/A,10.00,225.00,Put,136.17s,N/A,N/A,"68,085.00"
Call,0.01s,N/A,N/A,5.00,250.00,Put,161.17s,N/A,N/A,"80,585.00"
Call,0.01s,N/A,10,5.00,275.00,Put,186.17s,N/A,N/A,"93,085.00"
Call,0.01s,N/A,N/A,5.00,300.00,Put,211.17s,N/A,N/A,"105,585.00"
"Downloaded from Barchart.com as of 08-24-2026 04:39pm CDT"
