Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,61.38s,N/A,N/A,"30,690.00",30.00,Put,0.01s,N/A,N/A,5.00
Call,56.38s,N/A,N/A,"28,190.00",35.00,Put,0.01s,N/A,N/A,5.00
Call,51.38s,N/A,N/A,"25,690.00",40.00,Put,0.01s,N/A,N/A,5.00
Call,50.38s,N/A,N/A,"25,190.00",41.00,Put,0.01s,N/A,N/A,5.00
Call,49.38s,N/A,N/A,"24,690.00",42.00,Put,0.01s,N/A,N/A,5.00
Call,48.38s,N/A,N/A,"24,190.00",43.00,Put,0.01s,N/A,N/A,5.00
Call,47.38s,N/A,N/A,"23,690.00",44.00,Put,0.01s,N/A,N/A,5.00
Call,46.38s,N/A,N/A,"23,190.00",45.00,Put,0.01s,N/A,351,5.00
Call,41.38s,N/A,N/A,"20,690.00",50.00,Put,0.01s,N/A,15,5.00
Call,39.38s,N/A,N/A,"19,690.00",52.00,Put,0.01s,N/A,90,5.00
Call,38.38s,N/A,N/A,"19,190.00",53.00,Put,0.01s,N/A,2,5.00
Call,37.38s,N/A,N/A,"18,690.00",54.00,Put,0.01s,N/A,N/A,5.00
Call,36.38s,N/A,N/A,"18,190.00",55.00,Put,0.01s,N/A,191,5.00
Call,35.38s,N/A,N/A,"17,690.00",56.00,Put,0.01s,N/A,64,5.00
Call,34.38s,N/A,N/A,"17,190.00",57.00,Put,0.01s,N/A,71,5.00
Call,33.38s,N/A,N/A,"16,690.00",58.00,Put,0.01s,N/A,20,5.00
Call,32.38s,N/A,N/A,"16,190.00",59.00,Put,0.01s,4,369,5.00
Call,31.38s,N/A,N/A,"15,690.00",60.00,Put,0.02s,100,"1,247",10.00
Call,30.38s,N/A,N/A,"15,190.00",61.00,Put,0.02s,N/A,"1,080",10.00
Call,29.38s,N/A,N/A,"14,690.00",62.00,Put,0.02s,N/A,"2,196",10.00
Call,28.38s,N/A,N/A,"14,190.00",63.00,Put,0.03s,N/A,"1,920",15.00
Call,27.38s,N/A,120,"13,690.00",64.00,Put,0.03s,N/A,"2,418",15.00
Call,26.38s,N/A,354,"13,190.00",65.00,Put,0.04s,N/A,"2,674",20.00
Call,25.38s,N/A,N/A,"12,690.00",66.00,Put,0.05s,N/A,"2,371",25.00
Call,24.39s,N/A,"1,157","12,195.00",67.00,Put,0.05s,N/A,"1,732",25.00
Call,23.39s,N/A,"2,687","11,695.00",68.00,Put,0.07s,N/A,"3,681",35.00
Call,22.40s,N/A,"3,880","11,200.00",69.00,Put,0.08s,N/A,"3,427",40.00
Call,21.42s,N/A,"6,432","10,710.00",70.00,Put,0.10s,3,"6,526",50.00
Call,20.44s,N/A,"1,503","10,220.00",71.00,Put,0.12s,N/A,"1,185",60.00
Call,19.47s,N/A,"2,173","9,735.00",72.00,Put,0.15s,N/A,"4,137",75.00
Call,18.50s,N/A,"1,308","9,250.00",73.00,Put,0.19s,N/A,"2,474",95.00
Call,17.55s,N/A,"1,441","8,775.00",74.00,Put,0.23s,N/A,"1,730",115.00
Call,16.61s,154,"4,335","8,305.00",75.00,Put,0.29s,90,"5,570",145.00
Call,15.68s,1,"1,456","7,840.00",76.00,Put,0.37s,244,"2,947",185.00
Call,14.77s,N/A,"1,593","7,385.00",77.00,Put,0.46s,50,"4,259",230.00
Call,13.89s,N/A,"3,741","6,945.00",78.00,Put,0.58s,92,"3,997",290.00
Call,13.04s,N/A,709,"6,520.00",79.00,Put,0.72s,4,"2,351",360.00
Call,12.22s,111,"11,053","6,110.00",80.00,Put,0.90s,371,"8,801",450.00
Call,11.44s,11,"1,497","5,720.00",81.00,Put,1.12s,3,"1,550",560.00
Call,10.69s,44,"5,916","5,345.00",82.00,Put,1.36s,77,"3,168",680.00
Call,9.99s,2,"3,177","4,995.00",83.00,Put,1.65s,N/A,"1,264",825.00
Call,9.34s,25,"2,012","4,670.00",84.00,Put,2.00s,520,"1,721","1,000.00"
Call,8.70s,662,"8,020","4,350.00",85.00,Put,2.35s,264,"4,180","1,175.00"
Call,8.11s,1,"2,214","4,055.00",86.00,Put,2.76s,195,"1,116","1,380.00"
Call,7.57s,203,"2,162","3,785.00",87.00,Put,3.22s,15,284,"1,610.00"
Call,7.04s,139,"3,824","3,520.00",88.00,Put,3.68s,546,"1,450","1,840.00"
Call,6.55s,13,"1,307","3,275.00",89.00,Put,4.19s,N/A,102,"2,095.00"
Call,6.09s,438,"14,944","3,045.00",90.00,Put,4.72s,271,978,"2,360.00"
Call,5.66s,3,"1,390","2,830.00",91.00,Put,5.28s,220,19,"2,640.00"
