Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
58.83s,0.00%,0.9916,0.0000,0.0000,0.0000,-29.63%,Call,08/24/26,30.00,0.01s,79.30%,-0.0010,0.0001,-0.0006,0.0014,+49.67%,Put,08/24/26
53.83s,0.00%,0.9916,0.0000,0.0000,0.0000,-29.63%,Call,08/24/26,35.00,0.01s,68.50%,-0.0011,0.0001,-0.0006,0.0016,+38.86%,Put,08/24/26
48.83s,96.02%,0.9685,0.0014,-0.0134,0.0229,+66.39%,Call,08/24/26,40.00,0.01s,59.13%,-0.0013,0.0002,-0.0006,0.0018,+29.50%,Put,08/24/26
47.83s,93.00%,0.9682,0.0014,-0.0131,0.0231,+63.37%,Call,08/24/26,41.00,0.01s,57.40%,-0.0014,0.0002,-0.0006,0.0019,+27.77%,Put,08/24/26
46.83s,90.06%,0.9678,0.0015,-0.0129,0.0234,+60.43%,Call,08/24/26,42.00,0.01s,55.71%,-0.0014,0.0002,-0.0006,0.0019,+26.08%,Put,08/24/26
45.83s,87.19%,0.9675,0.0016,-0.0126,0.0237,+57.56%,Call,08/24/26,43.00,0.01s,54.06%,-0.0014,0.0002,-0.0006,0.0020,+24.43%,Put,08/24/26
44.83s,84.39%,0.9672,0.0016,-0.0123,0.0240,+54.76%,Call,08/24/26,44.00,0.01s,52.45%,-0.0015,0.0002,-0.0006,0.0020,+22.82%,Put,08/24/26
43.83s,81.66%,0.9668,0.0017,-0.0121,0.0242,+52.02%,Call,08/24/26,45.00,0.01s,50.87%,-0.0015,0.0002,-0.0006,0.0021,+21.24%,Put,08/24/26
38.83s,68.88%,0.9652,0.0021,-0.0107,0.0255,+39.25%,Call,08/24/26,50.00,0.01s,43.46%,-0.0018,0.0003,-0.0006,0.0024,+13.83%,Put,08/24/26
36.83s,64.15%,0.9646,0.0023,-0.0101,0.0260,+34.51%,Call,08/24/26,52.00,0.01s,40.69%,-0.0019,0.0004,-0.0006,0.0025,+11.06%,Put,08/24/26
35.83s,61.85%,0.9643,0.0024,-0.0098,0.0263,+32.22%,Call,08/24/26,53.00,0.01s,39.34%,-0.0020,0.0004,-0.0005,0.0026,+9.71%,Put,08/24/26
34.83s,59.59%,0.9640,0.0025,-0.0096,0.0265,+29.96%,Call,08/24/26,54.00,0.01s,38.02%,-0.0020,0.0004,-0.0005,0.0027,+8.39%,Put,08/24/26
33.83s,57.38%,0.9637,0.0027,-0.0093,0.0268,+27.75%,Call,08/24/26,55.00,0.01s,36.72%,-0.0021,0.0004,-0.0005,0.0028,+7.09%,Put,08/24/26
32.83s,55.21%,0.9634,0.0028,-0.0090,0.0270,+25.58%,Call,08/24/26,56.00,0.01s,35.44%,-0.0022,0.0005,-0.0005,0.0029,+5.81%,Put,08/24/26
31.83s,53.08%,0.9631,0.0029,-0.0087,0.0273,+23.45%,Call,08/24/26,57.00,0.02s,36.74%,-0.0040,0.0008,-0.0010,0.0049,+7.11%,Put,08/24/26
30.83s,50.99%,0.9628,0.0031,-0.0084,0.0275,+21.36%,Call,08/24/26,58.00,0.02s,35.42%,-0.0041,0.0008,-0.0009,0.0051,+5.79%,Put,08/24/26
29.83s,48.94%,0.9625,0.0032,-0.0082,0.0277,+19.31%,Call,08/24/26,59.00,0.02s,34.12%,-0.0043,0.0009,-0.0009,0.0053,+4.49%,Put,08/24/26
28.83s,46.92%,0.9622,0.0034,-0.0079,0.0280,+17.29%,Call,08/24/26,60.00,0.03s,34.42%,-0.0061,0.0012,-0.0013,0.0073,+4.79%,Put,08/24/26
27.83s,44.94%,0.9619,0.0036,-0.0076,0.0282,+15.31%,Call,08/24/26,61.00,0.03s,33.11%,-0.0064,0.0013,-0.0013,0.0075,+3.48%,Put,08/24/26
26.83s,42.99%,0.9616,0.0038,-0.0073,0.0284,+13.35%,Call,08/24/26,62.00,0.04s,32.98%,-0.0083,0.0016,-0.0016,0.0095,+3.35%,Put,08/24/26
25.83s,41.07%,0.9613,0.0040,-0.0070,0.0287,+11.44%,Call,08/24/26,63.00,0.04s,31.66%,-0.0086,0.0018,-0.0016,0.0098,+2.03%,Put,08/24/26
24.83s,39.18%,0.9610,0.0042,-0.0067,0.0289,+9.55%,Call,08/24/26,64.00,0.05s,31.28%,-0.0107,0.0022,-0.0019,0.0118,+1.65%,Put,08/24/26
23.84s,37.66%,0.9597,0.0045,-0.0067,0.0299,+8.03%,Call,08/24/26,65.00,0.06s,30.73%,-0.0128,0.0026,-0.0022,0.0138,+1.10%,Put,08/24/26
22.85s,36.16%,0.9582,0.0049,-0.0067,0.0311,+6.52%,Call,08/24/26,66.00,0.07s,30.07%,-0.0150,0.0030,-0.0025,0.0158,+0.44%,Put,08/24/26
21.86s,34.66%,0.9567,0.0053,-0.0066,0.0322,+5.03%,Call,08/24/26,67.00,0.09s,29.86%,-0.0188,0.0037,-0.0030,0.0192,+0.23%,Put,08/24/26
20.87s,33.18%,0.9550,0.0058,-0.0066,0.0335,+3.55%,Call,08/24/26,68.00,0.10s,28.98%,-0.0212,0.0042,-0.0032,0.0213,-0.65%,Put,08/24/26
19.89s,32.00%,0.9520,0.0064,-0.0068,0.0357,+2.37%,Call,08/24/26,69.00,0.12s,28.47%,-0.0254,0.0050,-0.0037,0.0247,-1.16%,Put,08/24/26
18.91s,30.79%,0.9488,0.0071,-0.0070,0.0381,+1.16%,Call,08/24/26,70.00,0.15s,28.18%,-0.0311,0.0059,-0.0043,0.0293,-1.45%,Put,08/24/26
17.95s,30.06%,0.9429,0.0080,-0.0076,0.0422,+0.42%,Call,08/24/26,71.00,0.18s,27.70%,-0.0370,0.0070,-0.0049,0.0338,-1.93%,Put,08/24/26
16.99s,29.23%,0.9367,0.0091,-0.0081,0.0464,-0.40%,Call,08/24/26,72.00,0.23s,27.58%,-0.0459,0.0083,-0.0058,0.0403,-2.05%,Put,08/24/26
16.05s,28.71%,0.9277,0.0104,-0.0090,0.0522,-0.92%,Call,08/24/26,73.00,0.29s,27.45%,-0.0563,0.0098,-0.0068,0.0473,-2.18%,Put,08/24/26
15.12s,28.22%,0.9173,0.0119,-0.0100,0.0587,-1.41%,Call,08/24/26,74.00,0.36s,27.26%,-0.0680,0.0115,-0.0078,0.0548,-2.37%,Put,08/24/26
14.21s,27.89%,0.9044,0.0136,-0.0113,0.0662,-1.74%,Call,08/24/26,75.00,0.45s,27.18%,-0.0822,0.0133,-0.0091,0.0634,-2.45%,Put,08/24/26
13.32s,27.65%,0.8891,0.0154,-0.0127,0.0746,-1.98%,Call,08/24/26,76.00,0.55s,27.00%,-0.0977,0.0152,-0.0102,0.0720,-2.63%,Put,08/24/26
12.45s,27.45%,0.8716,0.0174,-0.0143,0.0835,-2.18%,Call,08/24/26,77.00,0.68s,26.98%,-0.1164,0.0173,-0.0116,0.0817,-2.66%,Put,08/24/26
11.61s,27.36%,0.8512,0.0194,-0.0160,0.0931,-2.27%,Call,08/24/26,78.00,0.84s,27.03%,-0.1379,0.0194,-0.0131,0.0919,-2.60%,Put,08/24/26
10.80s,27.34%,0.8282,0.0215,-0.0179,0.1029,-2.29%,Call,08/24/26,79.00,1.03s,27.12%,-0.1617,0.0215,-0.0147,0.1022,-2.51%,Put,08/24/26
10.02s,27.35%,0.8030,0.0235,-0.0198,0.1127,-2.29%,Call,08/24/26,80.00,1.24s,27.13%,-0.1870,0.0236,-0.0161,0.1121,-2.50%,Put,08/24/26
9.29s,27.52%,0.7747,0.0254,-0.0219,0.1225,-2.11%,Call,08/24/26,81.00,1.50s,27.31%,-0.2154,0.0255,-0.0177,0.1220,-2.32%,Put,08/24/26
8.60s,27.75%,0.7446,0.0271,-0.0240,0.1316,-1.89%,Call,08/24/26,82.00,1.81s,27.61%,-0.2462,0.0272,-0.0193,0.1314,-2.02%,Put,08/24/26
7.94s,27.93%,0.7136,0.0286,-0.0260,0.1398,-1.70%,Call,08/24/26,83.00,2.15s,27.87%,-0.2777,0.0286,-0.0207,0.1397,-1.77%,Put,08/24/26
7.33s,28.21%,0.6811,0.0298,-0.0279,0.1470,-1.42%,Call,08/24/26,84.00,2.53s,28.14%,-0.3101,0.0298,-0.0220,0.1470,-1.49%,Put,08/24/26
6.76s,28.52%,0.6482,0.0307,-0.0297,0.1531,-1.12%,Call,08/24/26,85.00,2.95s,28.44%,-0.3432,0.0307,-0.0231,0.1531,-1.20%,Put,08/24/26
6.22s,28.78%,0.6152,0.0313,-0.0313,0.1579,-0.86%,Call,08/24/26,86.00,3.41s,28.75%,-0.3763,0.0314,-0.0241,0.1579,-0.88%,Put,08/24/26
5.72s,29.06%,0.5823,0.0317,-0.0328,0.1616,-0.57%,Call,08/24/26,87.00,3.90s,29.03%,-0.4092,0.0318,-0.0248,0.1616,-0.60%,Put,08/24/26
5.26s,29.38%,0.5498,0.0319,-0.0340,0.1640,-0.25%,Call,08/24/26,88.00,4.43s,29.34%,-0.4418,0.0319,-0.0253,0.1640,-0.29%,Put,08/24/26
4.82s,29.62%,0.5180,0.0319,-0.0350,0.1653,-0.01%,Call,08/24/26,89.00,4.99s,29.63%,-0.4736,0.0319,-0.0256,0.1653,unch,Put,08/24/26
4.42s,29.90%,0.4869,0.0316,-0.0358,0.1655,+0.27%,Call,08/24/26,90.00,5.58s,29.90%,-0.5047,0.0316,-0.0258,0.1655,+0.27%,Put,08/24/26
4.05s,30.18%,0.4568,0.0312,-0.0365,0.1647,+0.55%,Call,08/24/26,91.00,6.20s,30.17%,-0.5348,0.0312,-0.0257,0.1647,+0.54%,Put,08/24/26
3.71s,30.47%,0.4279,0.0306,-0.0369,0.1631,+0.84%,Call,08/24/26,92.00,6.86s,30.51%,-0.5635,0.0305,-0.0255,0.1631,+0.88%,Put,08/24/26
3.39s,30.71%,0.3999,0.0299,-0.0371,0.1607,+1.08%,Call,08/24/26,93.00,7.53s,30.74%,-0.5915,0.0298,-0.0251,0.1607,+1.11%,Put,08/24/26
3.10s,30.98%,0.3733,0.0290,-0.0373,0.1575,+1.35%,Call,08/24/26,94.00,8.24s,31.06%,-0.6178,0.0290,-0.0246,0.1576,+1.43%,Put,08/24/26
2.83s,31.22%,0.3479,0.0281,-0.0372,0.1538,+1.59%,Call,08/24/26,95.00,8.97s,31.36%,-0.6428,0.0280,-0.0240,0.1540,+1.73%,Put,08/24/26
2.59s,31.51%,0.3241,0.0271,-0.0371,0.1497,+1.88%,Call,08/24/26,96.00,9.72s,31.65%,-0.6666,0.0270,-0.0232,0.1499,+2.01%,Put,08/24/26
2.37s,31.80%,0.3016,0.0261,-0.0368,0.1452,+2.16%,Call,08/24/26,97.00,10.50s,31.99%,-0.6886,0.0260,-0.0225,0.1455,+2.36%,Put,08/24/26
2.17s,32.09%,0.2805,0.0250,-0.0365,0.1404,+2.46%,Call,08/24/26,98.00,11.29s,32.28%,-0.7097,0.0249,-0.0216,0.1407,+2.65%,Put,08/24/26
1.99s,32.40%,0.2609,0.0239,-0.0361,0.1354,+2.77%,Call,08/24/26,99.00,12.10s,32.59%,-0.7293,0.0238,-0.0206,0.1358,+2.96%,Put,08/24/26
1.82s,32.67%,0.2422,0.0228,-0.0356,0.1302,+3.04%,Call,08/24/26,100.00,12.93s,32.93%,-0.7473,0.0227,-0.0197,0.1308,+3.29%,Put,08/24/26
1.67s,32.97%,0.2250,0.0217,-0.0351,0.1251,+3.34%,Call,08/24/26,101.00,13.77s,33.23%,-0.7645,0.0216,-0.0187,0.1257,+3.60%,Put,08/24/26
1.54s,33.33%,0.2095,0.0206,-0.0346,0.1200,+3.70%,Call,08/24/26,102.00,14.63s,33.59%,-0.7800,0.0205,-0.0177,0.1207,+3.96%,Put,08/24/26
1.42s,33.68%,0.1951,0.0195,-0.0340,0.1150,+4.05%,Call,08/24/26,103.00,15.51s,34.02%,-0.7938,0.0195,-0.0168,0.1160,+4.39%,Put,08/24/26
1.30s,33.93%,0.1808,0.0185,-0.0334,0.1098,+4.30%,Call,08/24/26,104.00,16.39s,34.36%,-0.8073,0.0185,-0.0158,0.1111,+4.73%,Put,08/24/26
1.20s,34.27%,0.1683,0.0175,-0.0328,0.1049,+4.64%,Call,08/24/26,105.00,17.29s,34.80%,-0.8190,0.0175,-0.0150,0.1066,+5.17%,Put,08/24/26
1.11s,34.62%,0.1569,0.0165,-0.0322,0.1002,+4.99%,Call,08/24/26,106.00,18.19s,35.16%,-0.8305,0.0166,-0.0140,0.1020,+5.52%,Put,08/24/26
1.04s,35.10%,0.1472,0.0156,-0.0318,0.0961,+5.46%,Call,08/24/26,107.00,19.11s,35.64%,-0.8401,0.0157,-0.0132,0.0979,+6.01%,Put,08/24/26
0.84s,36.23%,0.1206,0.0132,-0.0302,0.0838,+6.60%,Call,08/24/26,110.00,21.90s,37.03%,-0.8652,0.0134,-0.0109,0.0866,+7.39%,Put,08/24/26
0.60s,38.04%,0.0876,0.0100,-0.0278,0.0664,+8.41%,Call,08/24/26,115.00,26.65s,39.49%,-0.8948,0.0103,-0.0077,0.0716,+9.86%,Put,08/24/26
0.44s,39.79%,0.0649,0.0076,-0.0258,0.0529,+10.16%,Call,08/24/26,120.00,31.48s,42.11%,-0.9140,0.0082,-0.0052,0.0607,+12.48%,Put,08/24/26
0.34s,41.70%,0.0500,0.0059,-0.0244,0.0431,+12.07%,Call,08/24/26,125.00,36.38s,45.27%,-0.9247,0.0068,-0.0039,0.0541,+15.64%,Put,08/24/26
0.13s,50.42%,0.0183,0.0021,-0.0216,0.0188,+20.79%,Call,08/24/26,150.00,61.18s,62.97%,-0.9392,0.0041,-0.0033,0.0447,+33.34%,Put,08/24/26
0.06s,56.89%,0.0082,0.0009,-0.0216,0.0094,+27.26%,Call,08/24/26,175.00,86.17s,81.41%,-0.9346,0.0034,-0.0075,0.0478,+51.78%,Put,08/24/26
0.03s,61.75%,0.0041,0.0005,-0.0227,0.0050,+32.12%,Call,08/24/26,200.00,111.17s,97.70%,-0.9295,0.0030,-0.0118,0.0511,+68.07%,Put,08/24/26
0.02s,66.91%,0.0026,0.0003,-0.0247,0.0034,+37.28%,Call,08/24/26,225.00,136.17s,0.00%,-0.9916,0.0000,0.0232,0.0000,-29.63%,Put,08/24/26
