Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
58.35s,0.00%,0.9916,0.0000,0.0000,0.0000,-28.81%,Call,08/21/26,30.00,0.01s,78.40%,-0.0010,0.0001,-0.0006,0.0014,+48.77%,Put,08/21/26
53.35s,0.00%,0.9916,0.0000,0.0000,0.0000,-28.81%,Call,08/21/26,35.00,0.01s,67.48%,-0.0012,0.0001,-0.0006,0.0016,+38.68%,Put,08/21/26
48.35s,0.00%,0.9916,0.0000,0.0000,0.0000,-29.63%,Call,08/21/26,40.00,0.01s,58.20%,-0.0014,0.0002,-0.0006,0.0018,+28.57%,Put,08/21/26
47.35s,0.00%,0.9916,0.0000,0.0000,0.0000,-29.63%,Call,08/21/26,41.00,0.01s,56.46%,-0.0014,0.0002,-0.0006,0.0019,+26.83%,Put,08/21/26
46.35s,0.00%,0.9916,0.0000,0.0000,0.0000,-29.63%,Call,08/21/26,42.00,0.01s,54.69%,-0.0015,0.0002,-0.0006,0.0019,+25.88%,Put,08/21/26
45.35s,0.00%,0.9916,0.0000,0.0000,0.0000,-28.81%,Call,08/21/26,43.00,0.01s,53.04%,-0.0015,0.0002,-0.0006,0.0020,+24.23%,Put,08/21/26
44.35s,0.00%,0.9916,0.0000,0.0000,0.0000,-28.81%,Call,08/21/26,44.00,0.01s,51.50%,-0.0015,0.0002,-0.0006,0.0021,+21.87%,Put,08/21/26
43.35s,0.00%,0.9916,0.0000,0.0000,0.0000,-28.81%,Call,08/21/26,45.00,0.01s,49.93%,-0.0016,0.0002,-0.0006,0.0021,+20.30%,Put,08/21/26
38.35s,88.29%,0.9321,0.0032,-0.0266,0.0487,+58.66%,Call,08/21/26,50.00,0.01s,42.50%,-0.0019,0.0003,-0.0006,0.0024,+12.87%,Put,08/21/26
36.35s,82.87%,0.9291,0.0036,-0.0259,0.0506,+53.24%,Call,08/21/26,52.00,0.01s,39.73%,-0.0020,0.0004,-0.0005,0.0026,+10.09%,Put,08/21/26
35.35s,80.23%,0.9275,0.0038,-0.0256,0.0516,+50.60%,Call,08/21/26,53.00,0.01s,38.38%,-0.0021,0.0004,-0.0005,0.0027,+8.75%,Put,08/21/26
34.35s,77.65%,0.9259,0.0040,-0.0253,0.0526,+48.02%,Call,08/21/26,54.00,0.01s,36.96%,-0.0021,0.0004,-0.0005,0.0028,+8.15%,Put,08/21/26
33.35s,77.12%,0.9197,0.0043,-0.0269,0.0563,+48.32%,Call,08/21/26,55.00,0.01s,35.74%,-0.0022,0.0005,-0.0005,0.0028,+6.11%,Put,08/21/26
32.35s,72.62%,0.9224,0.0044,-0.0246,0.0548,+42.99%,Call,08/21/26,56.00,0.01s,34.46%,-0.0023,0.0005,-0.0005,0.0029,+4.83%,Put,08/21/26
31.35s,72.09%,0.9158,0.0048,-0.0262,0.0586,+43.28%,Call,08/21/26,57.00,0.02s,35.61%,-0.0042,0.0008,-0.0009,0.0051,+6.80%,Put,08/21/26
30.35s,67.75%,0.9187,0.0049,-0.0239,0.0570,+38.12%,Call,08/21/26,58.00,0.02s,34.38%,-0.0043,0.0009,-0.0009,0.0052,+4.75%,Put,08/21/26
29.35s,65.38%,0.9167,0.0052,-0.0235,0.0582,+35.75%,Call,08/21/26,59.00,0.02s,33.08%,-0.0045,0.0010,-0.0009,0.0054,+3.45%,Put,08/21/26
28.35s,63.05%,0.9146,0.0055,-0.0232,0.0594,+33.41%,Call,08/21/26,60.00,0.02s,31.79%,-0.0046,0.0010,-0.0009,0.0056,+2.16%,Put,08/21/26
27.35s,62.50%,0.9070,0.0060,-0.0247,0.0637,+33.69%,Call,08/21/26,61.00,0.03s,32.02%,-0.0067,0.0014,-0.0013,0.0077,+2.39%,Put,08/21/26
26.35s,58.48%,0.9101,0.0062,-0.0224,0.0620,+28.85%,Call,08/21/26,62.00,0.03s,30.62%,-0.0070,0.0015,-0.0013,0.0080,+1.81%,Put,08/21/26
25.35s,57.91%,0.9019,0.0068,-0.0239,0.0666,+29.11%,Call,08/21/26,63.00,0.04s,30.42%,-0.0091,0.0020,-0.0016,0.0101,+1.62%,Put,08/21/26
24.35s,55.66%,0.8992,0.0072,-0.0235,0.0681,+26.86%,Call,08/21/26,64.00,0.05s,30.00%,-0.0113,0.0024,-0.0019,0.0122,+1.20%,Put,08/21/26
23.36s,53.59%,0.8958,0.0077,-0.0233,0.0699,+24.78%,Call,08/21/26,65.00,0.06s,29.43%,-0.0135,0.0028,-0.0022,0.0142,+0.62%,Put,08/21/26
22.36s,51.39%,0.8927,0.0082,-0.0228,0.0716,+22.59%,Call,08/21/26,66.00,0.07s,28.85%,-0.0157,0.0033,-0.0024,0.0163,-0.78%,Put,08/21/26
21.37s,47.87%,0.8955,0.0086,-0.0208,0.0701,+18.24%,Call,08/21/26,67.00,0.08s,28.08%,-0.0182,0.0039,-0.0027,0.0184,-1.55%,Put,08/21/26
20.39s,46.04%,0.8911,0.0093,-0.0207,0.0725,+16.41%,Call,08/21/26,68.00,0.10s,27.58%,-0.0225,0.0047,-0.0031,0.0220,-1.22%,Put,08/21/26
19.40s,45.47%,0.8799,0.0101,-0.0221,0.0781,+16.67%,Call,08/21/26,69.00,0.12s,27.16%,-0.0268,0.0055,-0.0036,0.0255,-2.48%,Put,08/21/26
18.43s,42.40%,0.8814,0.0107,-0.0204,0.0775,+12.77%,Call,08/21/26,70.00,0.15s,26.82%,-0.0330,0.0066,-0.0042,0.0303,-2.82%,Put,08/21/26
17.46s,40.71%,0.8754,0.0116,-0.0204,0.0805,+11.07%,Call,08/21/26,71.00,0.18s,26.29%,-0.0393,0.0078,-0.0047,0.0350,-3.34%,Put,08/21/26
16.51s,40.45%,0.8602,0.0128,-0.0222,0.0875,+11.65%,Call,08/21/26,72.00,0.22s,25.87%,-0.0474,0.0093,-0.0054,0.0407,-3.76%,Put,08/21/26
15.56s,37.76%,0.8595,0.0137,-0.0208,0.0880,+8.13%,Call,08/21/26,73.00,0.28s,25.71%,-0.0586,0.0110,-0.0064,0.0482,-3.92%,Put,08/21/26
13.70,36.46%,0.8495,0.0149,-0.0212,0.0925,+6.82%,Call,"04:38 CT",74.00,0.35s,25.34%,-0.0718,0.0131,-0.0074,0.0563,-3.47%,Put,08/21/26
12.91,25.60%,0.9029,0.0152,-0.0103,0.0661,-4.04%,Call,"03:17 CT",75.00,0.43s,25.20%,-0.0856,0.0150,-0.0084,0.0644,-4.43%,Put,08/21/26
12.83s,34.29%,0.8238,0.0177,-0.0225,0.1032,+4.66%,Call,08/21/26,76.00,0.56,25.22%,-0.1066,0.0177,-0.0099,0.0756,-3.59%,Put,"02:49 CT"
11.98s,34.42%,0.7997,0.0192,-0.0247,0.1121,+5.62%,Call,08/21/26,77.00,0.71,25.49%,-0.1280,0.0199,-0.0115,0.0861,-4.15%,Put,"02:49 CT"
10.33,25.20%,0.8421,0.0223,-0.0152,0.0957,-4.43%,Call,"04:27 CT",78.00,0.90,25.52%,-0.1549,0.0226,-0.0131,0.0978,-3.28%,Put,"02:49 CT"
10.36s,32.37%,0.7671,0.0223,-0.0259,0.1231,+2.74%,Call,08/21/26,79.00,1.06s,25.15%,-0.1783,0.0251,-0.0141,0.1071,-3.65%,Put,08/21/26
8.70,24.65%,0.7916,0.0274,-0.0183,0.1151,-4.98%,Call,"04:47 CT",80.00,1.39,25.56%,-0.2072,0.0270,-0.0158,0.1175,-4.07%,Put,"03:18 CT"
8.90s,32.42%,0.7121,0.0251,-0.0296,0.1379,+3.62%,Call,08/21/26,81.00,1.60s,25.58%,-0.2414,0.0295,-0.0172,0.1280,-3.23%,Put,08/21/26
8.23s,32.24%,0.6852,0.0263,-0.0310,0.1439,+3.44%,Call,08/21/26,82.00,1.92s,25.74%,-0.2751,0.0313,-0.0185,0.1369,-3.07%,Put,08/21/26
7.60s,31.61%,0.6621,0.0276,-0.0316,0.1485,+1.98%,Call,08/21/26,83.00,2.28s,25.91%,-0.3102,0.0329,-0.0197,0.1447,-2.89%,Put,08/21/26
7.01s,31.62%,0.6326,0.0285,-0.0330,0.1533,+1.99%,Call,08/21/26,84.00,2.69s,26.43%,-0.3433,0.0335,-0.0209,0.1509,-3.20%,Put,08/21/26
6.46s,31.69%,0.6026,0.0292,-0.0343,0.1572,+2.06%,Call,08/21/26,85.00,3.13s,26.35%,-0.3826,0.0349,-0.0215,0.1562,-2.46%,Put,08/21/26
5.95s,31.81%,0.5724,0.0296,-0.0354,0.1601,+2.18%,Call,08/21/26,86.00,3.62s,26.60%,-0.4191,0.0354,-0.0221,0.1599,-2.20%,Put,08/21/26
5.47s,31.92%,0.5423,0.0298,-0.0364,0.1620,+2.29%,Call,08/21/26,87.00,4.13s,27.08%,-0.4508,0.0352,-0.0228,0.1621,-2.55%,Put,08/21/26
4.55,29.53%,0.5051,0.0325,-0.0346,0.1629,+0.72%,Call,"03:07 CT",88.00,4.67s,27.21%,-0.4859,0.0352,-0.0228,0.1631,-2.42%,Put,08/21/26
4.60s,32.50%,0.4804,0.0295,-0.0381,0.1628,+3.70%,Call,08/21/26,89.00,5.25s,27.37%,-0.5203,0.0350,-0.0227,0.1629,-2.26%,Put,08/21/26
3.75,32.66%,0.4521,0.0292,-0.0385,0.1620,+3.86%,Call,"03:59 CT",90.00,5.86s,27.51%,-0.5538,0.0345,-0.0224,0.1614,-2.12%,Put,08/21/26
3.86s,32.46%,0.4267,0.0291,-0.0385,0.1607,+2.83%,Call,08/21/26,91.00,6.50s,27.64%,-0.5863,0.0338,-0.0219,0.1589,-1.99%,Put,08/21/26
3.08,32.68%,0.4001,0.0285,-0.0386,0.1584,+3.05%,Call,"04:30 CT",92.00,7.17s,27.76%,-0.6176,0.0329,-0.0212,0.1554,-1.87%,Put,08/21/26
3.24s,32.87%,0.3744,0.0278,-0.0387,0.1554,+3.24%,Call,08/21/26,93.00,7.86s,27.82%,-0.6478,0.0319,-0.0202,0.1510,-1.81%,Put,08/21/26
2.95s,33.25%,0.3477,0.0268,-0.0386,0.1514,+4.44%,Call,08/21/26,94.00,8.57s,27.84%,-0.6771,0.0308,-0.0191,0.1457,-1.80%,Put,08/21/26
2.69s,33.13%,0.3255,0.0262,-0.0381,0.1478,+3.49%,Call,08/21/26,95.00,9.30s,27.80%,-0.7053,0.0295,-0.0178,0.1397,-1.83%,Put,08/21/26
2.46s,33.34%,0.3034,0.0253,-0.0378,0.1435,+3.71%,Call,08/21/26,96.00,10.06s,27.80%,-0.7318,0.0282,-0.0164,0.1332,-1.83%,Put,08/21/26
2.25s,33.81%,0.2813,0.0241,-0.0375,0.1384,+5.00%,Call,08/21/26,97.00,10.85s,27.85%,-0.7562,0.0267,-0.0150,0.1264,-1.78%,Put,08/21/26
2.00,33.59%,0.2584,0.0233,-0.0365,0.1326,+4.78%,Call,"21:30 CT",98.00,11.65s,27.00%,-0.7908,0.0251,-0.0122,0.1152,-1.80%,Put,08/21/26
1.88s,34.22%,0.2432,0.0221,-0.0364,0.1285,+5.42%,Call,08/21/26,99.00,12.47s,26.87%,-0.8137,0.0235,-0.0104,0.1069,-1.94%,Put,08/21/26
1.50,32.63%,0.2111,0.0214,-0.0336,0.1187,+3.82%,Call,"03:19 CT",100.00,13.31s,27.71%,-0.8225,0.0220,-0.0102,0.1037,-1.92%,Put,08/21/26
1.58s,34.72%,0.2102,0.0201,-0.0352,0.1184,+5.91%,Call,08/21/26,101.00,14.16s,27.59%,-0.8422,0.0204,-0.0085,0.0957,-2.04%,Put,08/21/26
1.45s,34.97%,0.1953,0.0191,-0.0345,0.1133,+6.17%,Call,08/21/26,102.00,15.02s,27.39%,-0.8610,0.0187,-0.0067,0.0873,-2.24%,Put,08/21/26
1.34s,35.11%,0.1827,0.0182,-0.0339,0.1089,+5.48%,Call,08/21/26,103.00,15.90s,25.82%,-0.8932,0.0163,-0.0028,0.0713,-2.99%,Put,08/21/26
1.23s,35.36%,0.1697,0.0173,-0.0332,0.1039,+5.73%,Call,08/21/26,104.00,16.79s,27.00%,-0.8938,0.0155,-0.0032,0.0711,-2.63%,Put,08/21/26
1.13s,35.61%,0.1576,0.0164,-0.0325,0.0991,+5.98%,Call,08/21/26,105.00,17.69s,24.78%,-0.9265,0.0124,0.0013,0.0522,-4.02%,Put,08/21/26
1.05s,35.99%,0.1473,0.0155,-0.0320,0.0948,+6.35%,Call,08/21/26,106.00,18.60s,24.01%,-0.9421,0.0103,0.0034,0.0421,-4.80%,Put,08/21/26
0.97s,36.28%,0.1372,0.0146,-0.0313,0.0903,+6.65%,Call,08/21/26,107.00,19.52s,22.95%,-0.9570,0.0081,0.0055,0.0315,-5.86%,Put,08/21/26
0.78s,37.31%,0.1122,0.0124,-0.0296,0.0785,+7.68%,Call,08/21/26,110.00,22.32s,23.09%,-0.9712,0.0052,0.0078,0.0202,-6.54%,Put,08/21/26
0.55s,38.93%,0.0809,0.0093,-0.0271,0.0617,+9.30%,Call,08/21/26,115.00,27.08s,0.00%,-0.9861,0.0017,0.0107,0.0064,-29.63%,Put,08/21/26
0.41s,40.91%,0.0605,0.0071,-0.0253,0.0493,+12.11%,Call,08/21/26,120.00,31.93s,0.00%,-0.9900,0.0006,0.0120,0.0021,-29.63%,Put,08/21/26
0.32s,42.70%,0.0471,0.0056,-0.0240,0.0405,+13.07%,Call,08/21/26,125.00,36.83s,0.00%,-0.9912,0.0002,0.0128,0.0006,-28.81%,Put,08/21/26
0.13s,51.67%,0.0182,0.0021,-0.0217,0.0184,+22.04%,Call,08/21/26,150.00,61.66s,0.00%,-0.9916,0.0000,0.0155,0.0000,-28.81%,Put,08/21/26
0.06s,58.01%,0.0082,0.0009,-0.0216,0.0092,+28.38%,Call,08/21/26,175.00,86.65s,0.00%,-0.9916,0.0000,0.0181,0.0000,-29.63%,Put,08/21/26
0.03s,62.89%,0.0041,0.0005,-0.0227,0.0049,+34.08%,Call,08/21/26,200.00,111.65s,80.83%,-0.9677,0.0017,0.0083,0.0232,+51.21%,Put,08/21/26
0.02s,67.99%,0.0026,0.0003,-0.0248,0.0033,+39.19%,Call,08/21/26,225.00,136.65s,94.31%,-0.9633,0.0017,0.0068,0.0267,+64.68%,Put,08/21/26
0.01s,70.39%,0.0013,0.0002,-0.0267,0.0018,+41.59%,Call,08/21/26,250.00,161.65s,0.00%,-0.9916,0.0000,0.0259,0.0000,-28.81%,Put,08/21/26
0.01s,75.98%,0.0012,0.0001,-0.0293,0.0017,+47.17%,Call,08/21/26,275.00,186.65s,0.00%,-0.9916,0.0000,0.0284,0.0000,-29.63%,Put,08/21/26
0.01s,80.94%,0.0012,0.0001,-0.0319,0.0016,+51.31%,Call,08/21/26,300.00,211.65s,0.00%,-0.9916,0.0000,0.0310,0.0000,-28.81%,Put,08/21/26
"Downloaded from Barchart.com as of 08-24-2026 05:08am CDT"
