Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,48.730s,N/A,N/A,"48,730.00",50.000,Put,0.005s,N/A,N/A,5.00
Call,48.230s,N/A,N/A,"48,230.00",50.500,Put,0.005s,N/A,N/A,5.00
Call,47.730s,N/A,N/A,"47,730.00",51.000,Put,0.005s,N/A,N/A,5.00
Call,47.230s,N/A,N/A,"47,230.00",51.500,Put,0.005s,N/A,N/A,5.00
Call,46.730s,N/A,N/A,"46,730.00",52.000,Put,0.005s,N/A,N/A,5.00
Call,46.230s,N/A,N/A,"46,230.00",52.500,Put,0.005s,N/A,N/A,5.00
Call,45.730s,N/A,N/A,"45,730.00",53.000,Put,0.005s,N/A,N/A,5.00
Call,45.230s,N/A,N/A,"45,230.00",53.500,Put,0.005s,N/A,N/A,5.00
Call,44.730s,N/A,N/A,"44,730.00",54.000,Put,0.005s,N/A,N/A,5.00
Call,44.230s,N/A,N/A,"44,230.00",54.500,Put,0.005s,N/A,N/A,5.00
Call,43.730s,N/A,N/A,"43,730.00",55.000,Put,0.005s,N/A,N/A,5.00
Call,43.230s,N/A,N/A,"43,230.00",55.500,Put,0.005s,N/A,N/A,5.00
Call,42.730s,N/A,N/A,"42,730.00",56.000,Put,0.005s,N/A,N/A,5.00
Call,42.230s,N/A,N/A,"42,230.00",56.500,Put,0.005s,N/A,N/A,5.00
Call,41.730s,N/A,N/A,"41,730.00",57.000,Put,0.005s,N/A,N/A,5.00
Call,41.230s,N/A,N/A,"41,230.00",57.500,Put,0.005s,N/A,N/A,5.00
Call,40.730s,N/A,N/A,"40,730.00",58.000,Put,0.005s,N/A,N/A,5.00
Call,40.230s,N/A,N/A,"40,230.00",58.500,Put,0.005s,N/A,N/A,5.00
Call,39.730s,N/A,N/A,"39,730.00",59.000,Put,0.005s,N/A,N/A,5.00
Call,39.230s,N/A,N/A,"39,230.00",59.500,Put,0.005s,N/A,N/A,5.00
Call,38.730s,N/A,N/A,"38,730.00",60.000,Put,0.005s,N/A,N/A,5.00
Call,38.230s,N/A,N/A,"38,230.00",60.500,Put,0.005s,N/A,N/A,5.00
Call,37.730s,N/A,N/A,"37,730.00",61.000,Put,0.005s,N/A,N/A,5.00
Call,37.230s,N/A,N/A,"37,230.00",61.500,Put,0.005s,N/A,N/A,5.00
Call,36.730s,N/A,N/A,"36,730.00",62.000,Put,0.005s,N/A,N/A,5.00
Call,36.230s,N/A,N/A,"36,230.00",62.500,Put,0.005s,N/A,N/A,5.00
Call,35.730s,N/A,N/A,"35,730.00",63.000,Put,0.005s,N/A,N/A,5.00
Call,35.230s,N/A,N/A,"35,230.00",63.500,Put,0.005s,N/A,N/A,5.00
Call,34.730s,N/A,N/A,"34,730.00",64.000,Put,0.005s,N/A,N/A,5.00
Call,34.230s,N/A,N/A,"34,230.00",64.500,Put,0.005s,N/A,N/A,5.00
