Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
49.560s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,50.000,0.005s,98.87%,-0.0008,0.0001,-0.0015,0.0006,+93.03%,Put,08/14/26
49.060s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,50.500,0.005s,97.54%,-0.0008,0.0001,-0.0015,0.0006,+91.70%,Put,08/14/26
48.560s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,51.000,0.005s,96.19%,-0.0008,0.0001,-0.0015,0.0006,+90.36%,Put,08/14/26
48.060s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,51.500,0.005s,94.86%,-0.0008,0.0001,-0.0015,0.0006,+89.03%,Put,08/14/26
47.560s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,52.000,0.005s,93.55%,-0.0008,0.0001,-0.0015,0.0006,+87.72%,Put,08/14/26
47.060s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,52.500,0.005s,92.27%,-0.0008,0.0001,-0.0015,0.0006,+86.43%,Put,08/14/26
46.560s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,53.000,0.005s,90.96%,-0.0008,0.0001,-0.0015,0.0007,+85.12%,Put,08/14/26
46.060s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,53.500,0.005s,89.69%,-0.0009,0.0001,-0.0015,0.0007,+83.85%,Put,08/14/26
45.560s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,54.000,0.005s,88.42%,-0.0009,0.0001,-0.0015,0.0007,+82.58%,Put,08/14/26
45.060s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,54.500,0.005s,87.15%,-0.0009,0.0002,-0.0015,0.0007,+81.31%,Put,08/14/26
44.560s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,55.000,0.005s,85.92%,-0.0009,0.0002,-0.0015,0.0007,+80.08%,Put,08/14/26
44.060s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,55.500,0.005s,84.69%,-0.0009,0.0002,-0.0015,0.0007,+78.85%,Put,08/14/26
43.560s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,56.000,0.005s,83.48%,-0.0009,0.0002,-0.0015,0.0007,+77.64%,Put,08/14/26
43.060s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,56.500,0.005s,82.25%,-0.0009,0.0002,-0.0015,0.0007,+76.41%,Put,08/14/26
42.560s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,57.000,0.005s,81.05%,-0.0009,0.0002,-0.0015,0.0007,+75.22%,Put,08/14/26
42.060s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,57.500,0.005s,79.84%,-0.0010,0.0002,-0.0015,0.0007,+74.01%,Put,08/14/26
41.560s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,58.000,0.005s,78.67%,-0.0010,0.0002,-0.0015,0.0007,+72.84%,Put,08/14/26
41.060s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,58.500,0.005s,77.50%,-0.0010,0.0002,-0.0015,0.0008,+71.66%,Put,08/14/26
40.560s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,59.000,0.005s,76.33%,-0.0010,0.0002,-0.0015,0.0008,+70.49%,Put,08/14/26
40.060s,0.00%,0.9980,0.0000,0.0000,0.0000,-5.84%,Call,08/14/26,59.500,0.005s,75.20%,-0.0010,0.0002,-0.0015,0.0008,+69.36%,Put,08/14/26
39.560s,99.67%,0.9884,0.0011,-0.0152,0.0058,+93.83%,Call,08/14/26,60.000,0.005s,74.04%,-0.0010,0.0002,-0.0015,0.0008,+68.21%,Put,08/14/26
39.060s,98.03%,0.9884,0.0012,-0.0150,0.0059,+92.20%,Call,08/14/26,60.500,0.005s,72.91%,-0.0010,0.0002,-0.0015,0.0008,+67.07%,Put,08/14/26
38.560s,96.41%,0.9883,0.0012,-0.0148,0.0059,+90.57%,Call,08/14/26,61.000,0.005s,71.78%,-0.0011,0.0002,-0.0015,0.0008,+65.94%,Put,08/14/26
38.060s,94.80%,0.9883,0.0012,-0.0146,0.0059,+88.96%,Call,08/14/26,61.500,0.005s,70.66%,-0.0011,0.0002,-0.0015,0.0008,+64.83%,Put,08/14/26
37.560s,93.20%,0.9882,0.0012,-0.0144,0.0059,+87.37%,Call,08/14/26,62.000,0.005s,69.55%,-0.0011,0.0002,-0.0014,0.0008,+63.72%,Put,08/14/26
37.060s,91.62%,0.9882,0.0013,-0.0142,0.0060,+85.78%,Call,08/14/26,62.500,0.005s,68.44%,-0.0011,0.0002,-0.0014,0.0008,+62.60%,Put,08/14/26
36.560s,90.04%,0.9882,0.0013,-0.0140,0.0060,+84.21%,Call,08/14/26,63.000,0.005s,67.34%,-0.0011,0.0002,-0.0014,0.0009,+61.51%,Put,08/14/26
36.060s,88.49%,0.9881,0.0013,-0.0138,0.0060,+82.65%,Call,08/14/26,63.500,0.005s,66.27%,-0.0011,0.0003,-0.0014,0.0009,+60.43%,Put,08/14/26
35.560s,86.94%,0.9881,0.0013,-0.0136,0.0060,+81.11%,Call,08/14/26,64.000,0.005s,65.20%,-0.0012,0.0003,-0.0014,0.0009,+59.36%,Put,08/14/26
