Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,48.840s,N/A,N/A,"48,840.00",50.000,Put,0.005s,N/A,N/A,5.00
Call,48.340s,N/A,N/A,"48,340.00",50.500,Put,0.005s,N/A,N/A,5.00
Call,47.840s,N/A,N/A,"47,840.00",51.000,Put,0.005s,N/A,N/A,5.00
Call,47.340s,N/A,N/A,"47,340.00",51.500,Put,0.005s,N/A,N/A,5.00
Call,46.840s,N/A,N/A,"46,840.00",52.000,Put,0.005s,N/A,N/A,5.00
Call,46.340s,N/A,N/A,"46,340.00",52.500,Put,0.005s,N/A,N/A,5.00
Call,45.840s,N/A,N/A,"45,840.00",53.000,Put,0.005s,N/A,N/A,5.00
Call,45.340s,N/A,N/A,"45,340.00",53.500,Put,0.005s,N/A,N/A,5.00
Call,44.840s,N/A,N/A,"44,840.00",54.000,Put,0.005s,N/A,N/A,5.00
Call,44.340s,N/A,N/A,"44,340.00",54.500,Put,0.005s,N/A,N/A,5.00
Call,43.840s,N/A,N/A,"43,840.00",55.000,Put,0.005s,N/A,N/A,5.00
Call,43.340s,N/A,N/A,"43,340.00",55.500,Put,0.005s,N/A,N/A,5.00
Call,42.840s,N/A,N/A,"42,840.00",56.000,Put,0.005s,N/A,N/A,5.00
Call,42.340s,N/A,N/A,"42,340.00",56.500,Put,0.005s,N/A,N/A,5.00
Call,41.840s,N/A,N/A,"41,840.00",57.000,Put,0.005s,N/A,N/A,5.00
Call,41.340s,N/A,N/A,"41,340.00",57.500,Put,0.005s,N/A,N/A,5.00
Call,40.840s,N/A,N/A,"40,840.00",58.000,Put,0.005s,N/A,N/A,5.00
Call,40.340s,N/A,N/A,"40,340.00",58.500,Put,0.005s,N/A,N/A,5.00
Call,39.840s,N/A,N/A,"39,840.00",59.000,Put,0.005s,N/A,N/A,5.00
Call,39.340s,N/A,N/A,"39,340.00",59.500,Put,0.005s,N/A,N/A,5.00
Call,38.840s,N/A,N/A,"38,840.00",60.000,Put,0.005s,N/A,N/A,5.00
Call,38.340s,N/A,N/A,"38,340.00",60.500,Put,0.005s,N/A,N/A,5.00
Call,37.840s,N/A,N/A,"37,840.00",61.000,Put,0.005s,N/A,N/A,5.00
Call,37.340s,N/A,N/A,"37,340.00",61.500,Put,0.005s,N/A,N/A,5.00
Call,36.840s,N/A,N/A,"36,840.00",62.000,Put,0.005s,N/A,N/A,5.00
Call,36.340s,N/A,N/A,"36,340.00",62.500,Put,0.005s,N/A,N/A,5.00
Call,35.840s,N/A,N/A,"35,840.00",63.000,Put,0.005s,N/A,N/A,5.00
Call,35.340s,N/A,N/A,"35,340.00",63.500,Put,0.005s,N/A,N/A,5.00
Call,34.840s,N/A,N/A,"34,840.00",64.000,Put,0.010s,N/A,N/A,10.00
Call,34.340s,N/A,N/A,"34,340.00",64.500,Put,0.010s,N/A,N/A,10.00
Call,33.840s,N/A,N/A,"33,840.00",65.000,Put,0.010s,N/A,N/A,10.00
Call,33.340s,N/A,N/A,"33,340.00",65.500,Put,0.010s,N/A,N/A,10.00
