Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
48.840s,74.17%,0.9747,0.0012,-0.0085,0.0191,+68.57%,Call,09/11/26,50.000,0.005s,47.60%,-0.0008,0.0001,-0.0003,0.0012,+41.99%,Put,09/11/26
48.340s,72.97%,0.9748,0.0012,-0.0084,0.0190,+67.37%,Call,09/11/26,50.500,0.005s,46.94%,-0.0008,0.0001,-0.0003,0.0013,+41.33%,Put,09/11/26
47.840s,71.79%,0.9748,0.0012,-0.0082,0.0190,+66.18%,Call,09/11/26,51.000,0.005s,46.29%,-0.0008,0.0001,-0.0003,0.0013,+40.68%,Put,09/11/26
47.340s,70.61%,0.9748,0.0012,-0.0081,0.0190,+65.00%,Call,09/11/26,51.500,0.005s,45.64%,-0.0008,0.0001,-0.0003,0.0013,+40.04%,Put,09/11/26
46.840s,69.44%,0.9748,0.0013,-0.0079,0.0190,+63.83%,Call,09/11/26,52.000,0.005s,45.02%,-0.0008,0.0001,-0.0003,0.0013,+39.41%,Put,09/11/26
46.340s,68.29%,0.9749,0.0013,-0.0078,0.0189,+62.68%,Call,09/11/26,52.500,0.005s,44.38%,-0.0008,0.0001,-0.0003,0.0013,+38.78%,Put,09/11/26
45.840s,67.14%,0.9749,0.0013,-0.0076,0.0189,+61.53%,Call,09/11/26,53.000,0.005s,43.76%,-0.0008,0.0001,-0.0003,0.0013,+38.15%,Put,09/11/26
45.340s,66.01%,0.9749,0.0013,-0.0075,0.0188,+60.40%,Call,09/11/26,53.500,0.005s,43.14%,-0.0009,0.0001,-0.0003,0.0014,+37.54%,Put,09/11/26
44.840s,64.88%,0.9750,0.0013,-0.0073,0.0188,+59.28%,Call,09/11/26,54.000,0.005s,42.52%,-0.0009,0.0001,-0.0003,0.0014,+36.91%,Put,09/11/26
44.340s,63.77%,0.9751,0.0013,-0.0072,0.0187,+58.16%,Call,09/11/26,54.500,0.005s,41.91%,-0.0009,0.0002,-0.0003,0.0014,+36.31%,Put,09/11/26
43.840s,62.67%,0.9751,0.0014,-0.0070,0.0187,+57.06%,Call,09/11/26,55.000,0.005s,41.31%,-0.0009,0.0002,-0.0003,0.0014,+35.70%,Put,09/11/26
43.340s,61.57%,0.9752,0.0014,-0.0069,0.0186,+55.96%,Call,09/11/26,55.500,0.005s,40.71%,-0.0009,0.0002,-0.0003,0.0014,+35.10%,Put,09/11/26
42.840s,60.48%,0.9753,0.0014,-0.0067,0.0185,+54.87%,Call,09/11/26,56.000,0.005s,40.12%,-0.0009,0.0002,-0.0003,0.0015,+34.51%,Put,09/11/26
42.340s,59.41%,0.9753,0.0014,-0.0066,0.0185,+53.80%,Call,09/11/26,56.500,0.005s,39.53%,-0.0009,0.0002,-0.0003,0.0015,+33.92%,Put,09/11/26
41.840s,58.34%,0.9754,0.0014,-0.0064,0.0184,+52.73%,Call,09/11/26,57.000,0.005s,38.95%,-0.0009,0.0002,-0.0003,0.0015,+33.34%,Put,09/11/26
41.340s,57.28%,0.9755,0.0015,-0.0062,0.0183,+51.67%,Call,09/11/26,57.500,0.005s,38.38%,-0.0010,0.0002,-0.0003,0.0015,+32.77%,Put,09/11/26
