Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
,,,,,700.00,Put,1.70s,518,"16,859",85.00
,,,,,700.50,Put,1.70s,22,N/A,85.00
,,,,,701.00,Put,1.70s,95,115,85.00
,,,,,701.50,Put,1.70s,N/A,61,85.00
,,,,,702.00,Put,1.75s,N/A,128,87.50
,,,,,702.50,Put,1.75s,N/A,"1,678",87.50
,,,,,703.00,Put,1.75s,N/A,115,87.50
,,,,,703.50,Put,1.80s,28,1,90.00
,,,,,704.00,Put,1.80s,168,261,90.00
,,,,,704.50,Put,1.80s,N/A,13,90.00
,,,,,705.00,Put,1.85s,5,"9,920",92.50
,,,,,705.50,Put,1.85s,N/A,61,92.50
,,,,,706.00,Put,1.85s,N/A,108,92.50
,,,,,706.50,Put,1.90s,270,105,95.00
,,,,,707.00,Put,1.90s,N/A,65,95.00
,,,,,707.50,Put,1.95s,6,"2,826",97.50
,,,,,708.00,Put,1.95s,61,88,97.50
,,,,,708.50,Put,2.00s,N/A,21,100.00
,,,,,709.00,Put,2.00s,46,470,100.00
,,,,,709.50,Put,2.00s,25,187,100.00
,,,,,710.00,Put,2.05s,"1,011","8,991",102.50
,,,,,710.50,Put,2.10s,68,77,105.00
,,,,,711.00,Put,2.10s,90,180,105.00
,,,,,711.50,Put,2.15s,N/A,20,107.50
,,,,,712.00,Put,2.15s,61,159,107.50
,,,,,712.50,Put,2.20s,111,"1,818",110.00
,,,,,713.00,Put,2.20s,240,203,110.00
,,,,,713.50,Put,2.25s,1,150,112.50
,,,,,714.00,Put,2.30s,80,384,115.00
,,,,,714.50,Put,2.30s,129,78,115.00
,,,,,715.00,Put,2.35s,178,"4,277",117.50
,,,,,715.50,Put,2.40s,84,159,120.00
,,,,,716.00,Put,2.40s,N/A,246,120.00
,,,,,716.50,Put,2.45s,N/A,87,122.50
,,,,,717.00,Put,2.50s,33,485,125.00
,,,,,717.50,Put,2.50s,88,"1,778",125.00
,,,,,718.00,Put,2.55s,90,174,127.50
,,,,,718.50,Put,2.60s,6,55,130.00
,,,,,719.00,Put,2.60s,84,248,130.00
,,,,,719.50,Put,2.65s,207,62,132.50
,,,,,720.00,Put,2.70s,791,"15,756",135.00
,,,,,720.50,Put,2.75s,50,84,137.50
,,,,,721.00,Put,2.80s,73,391,140.00
,,,,,721.50,Put,2.85s,90,148,142.50
,,,,,722.00,Put,2.90s,57,270,145.00
,,,,,722.50,Put,2.95s,85,987,147.50
,,,,,723.00,Put,3.00s,16,204,150.00
,,,,,723.50,Put,3.05s,16,57,152.50
,,,,,724.00,Put,3.10s,113,138,155.00
,,,,,724.50,Put,3.15s,95,36,157.50
