Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
,,,,,,,,,700.00,1.70s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,700.50,1.70s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,701.00,1.70s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,701.50,1.70s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,702.00,1.75s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,702.50,1.75s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,703.00,1.75s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,703.50,1.80s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,704.00,1.80s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,704.50,1.80s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,705.00,1.85s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,705.50,1.85s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,706.00,1.85s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,706.50,1.90s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,707.00,1.90s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,707.50,1.95s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,708.00,1.95s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,708.50,2.00s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,709.00,2.00s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,709.50,2.00s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,710.00,2.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,710.50,2.10s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
,,,,,,,,,711.00,2.10s,0.00%,0.0000,0.0000,0.0000,0.0000,-15.35%,Put,09/11/26
