Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,"6,712.50s",N/A,N/A,"335,625.00","1,000.00",Put,0.05s,N/A,727,2.50
Call,"6,612.50s",N/A,N/A,"330,625.00","1,100.00",Put,0.05s,N/A,815,2.50
Call,"6,512.50s",N/A,N/A,"325,625.00","1,200.00",Put,0.05s,N/A,"2,548",2.50
Call,"6,412.50s",N/A,N/A,"320,625.00","1,300.00",Put,0.10s,N/A,"2,029",5.00
Call,"6,312.50s",N/A,N/A,"315,625.00","1,400.00",Put,0.10s,N/A,173,5.00
Call,"6,212.50s",N/A,N/A,"310,625.00","1,500.00",Put,0.10s,N/A,"5,000",5.00
Call,"6,112.50s",N/A,N/A,"305,625.00","1,600.00",Put,0.10s,N/A,318,5.00
Call,"6,012.50s",N/A,N/A,"300,625.00","1,700.00",Put,0.15s,N/A,176,7.50
Call,"5,912.50s",N/A,N/A,"295,625.00","1,800.00",Put,0.15s,N/A,394,7.50
Call,"5,812.50s",N/A,N/A,"290,625.00","1,900.00",Put,0.20s,N/A,699,10.00
Call,"5,712.50s",N/A,N/A,"285,625.00","2,000.00",Put,0.20s,N/A,"4,116",10.00
Call,"5,612.50s",N/A,N/A,"280,625.00","2,100.00",Put,0.25s,N/A,497,12.50
Call,"5,512.50s",N/A,N/A,"275,625.00","2,200.00",Put,0.30s,N/A,760,15.00
Call,"5,412.50s",N/A,N/A,"270,625.00","2,300.00",Put,0.30s,N/A,947,15.00
Call,"5,312.50s",N/A,N/A,"265,625.00","2,400.00",Put,0.40s,N/A,541,20.00
Call,"5,212.50s",N/A,N/A,"260,625.00","2,500.00",Put,0.45s,N/A,"4,314",22.50
Call,"5,112.50s",N/A,N/A,"255,625.00","2,600.00",Put,0.50s,N/A,"4,722",25.00
Call,"5,012.50s",N/A,N/A,"250,625.00","2,700.00",Put,0.55s,N/A,798,27.50
Call,"4,912.50s",N/A,N/A,"245,625.00","2,800.00",Put,0.65s,N/A,811,32.50
Call,"4,812.50s",N/A,N/A,"240,625.00","2,900.00",Put,0.75s,96,"1,145",37.50
Call,"4,712.50s",N/A,N/A,"235,625.00","3,000.00",Put,0.85s,N/A,"3,138",42.50
Call,"4,612.50s",N/A,N/A,"230,625.00","3,100.00",Put,0.95s,1,589,47.50
Call,"4,512.50s",N/A,N/A,"225,625.00","3,200.00",Put,1.10s,N/A,881,55.00
Call,"4,412.50s",N/A,N/A,"220,625.00","3,300.00",Put,1.20s,N/A,431,60.00
Call,"4,312.50s",N/A,N/A,"215,625.00","3,400.00",Put,1.35s,N/A,"1,002",67.50
Call,"4,212.50s",N/A,N/A,"210,625.00","3,500.00",Put,1.55s,126,"1,584",77.50
Call,"4,112.50s",N/A,N/A,"205,625.00","3,600.00",Put,1.75s,N/A,"1,059",87.50
Call,"4,062.50s",N/A,N/A,"203,125.00","3,650.00",Put,1.85s,N/A,686,92.50
Call,"4,012.50s",N/A,N/A,"200,625.00","3,700.00",Put,1.95s,N/A,869,97.50
Call,"3,962.50s",N/A,N/A,"198,125.00","3,750.00",Put,2.05s,N/A,"2,023",102.50
Call,"3,912.50s",N/A,N/A,"195,625.00","3,800.00",Put,2.15s,N/A,657,107.50
Call,"3,862.50s",N/A,N/A,"193,125.00","3,850.00",Put,2.30s,N/A,526,115.00
Call,"3,812.50s",N/A,N/A,"190,625.00","3,900.00",Put,2.45s,2,547,122.50
Call,"3,762.50s",N/A,N/A,"188,125.00","3,950.00",Put,2.55s,N/A,637,127.50
Call,"3,712.50s",N/A,N/A,"185,625.00","4,000.00",Put,2.70s,N/A,"2,036",135.00
Call,"3,662.50s",N/A,N/A,"183,125.00","4,050.00",Put,2.85s,N/A,719,142.50
Call,"3,612.50s",N/A,N/A,"180,625.00","4,100.00",Put,3.00s,6,907,150.00
Call,"3,562.50s",N/A,N/A,"178,125.00","4,150.00",Put,3.15s,N/A,303,157.50
Call,"3,512.50s",N/A,N/A,"175,625.00","4,200.00",Put,3.35s,1,627,167.50
Call,"3,462.50s",N/A,N/A,"173,125.00","4,250.00",Put,3.50s,1,597,175.00
