Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
"6,712.50s",0.00%,0.9890,0.0000,0.0000,0.0000,-13.02%,Call,09/18/26,"1,000.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-13.02%,Put,09/18/26
"6,612.50s",0.00%,0.9890,0.0000,0.0000,0.0000,-13.02%,Call,09/18/26,"1,100.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-13.02%,Put,09/18/26
"6,512.50s",0.00%,0.9890,0.0000,0.0000,0.0000,-13.02%,Call,09/18/26,"1,200.00",0.05s,98.20%,0.0000,0.0000,-0.0037,0.0081,+85.18%,Put,09/18/26
"6,412.50s",0.00%,0.9890,0.0000,0.0000,0.0000,-13.02%,Call,09/18/26,"1,300.00",0.10s,98.35%,-0.0001,0.0000,-0.0068,0.0150,+85.33%,Put,09/18/26
"6,312.50s",0.00%,0.9890,0.0000,0.0000,0.0000,-13.02%,Call,09/18/26,"1,400.00",0.10s,94.27%,-0.0001,0.0000,-0.0068,0.0156,+81.25%,Put,09/18/26
"6,212.50s",0.00%,0.9890,0.0000,0.0000,0.0000,-13.02%,Call,09/18/26,"1,500.00",0.10s,90.49%,-0.0001,0.0000,-0.0068,0.0163,+77.47%,Put,09/18/26
"6,112.50s",0.00%,0.9890,0.0000,0.0000,0.0000,-13.02%,Call,09/18/26,"1,600.00",0.10s,86.96%,-0.0001,0.0000,-0.0068,0.0169,+73.94%,Put,09/18/26
"6,012.50s",0.00%,0.9890,0.0000,0.0000,0.0000,-13.02%,Call,09/18/26,"1,700.00",0.15s,86.05%,-0.0002,0.0000,-0.0097,0.0244,+73.03%,Put,09/18/26
"5,912.50s",0.00%,0.9890,0.0000,0.0000,0.0000,-13.02%,Call,09/18/26,"1,800.00",0.15s,82.84%,-0.0002,0.0000,-0.0096,0.0254,+69.82%,Put,09/18/26
"5,812.50s",0.00%,0.9890,0.0000,0.0000,0.0000,-13.02%,Call,09/18/26,"1,900.00",0.20s,81.51%,-0.0002,0.0000,-0.0124,0.0332,+68.49%,Put,09/18/26
