Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,"3,058.90s",728,N/A,"305,890.00","1,350.00",Put,0.10s,N/A,17,10.00
Call,"3,033.90s",N/A,N/A,"303,390.00","1,375.00",Put,0.10s,N/A,1,10.00
Call,"3,008.90s",N/A,N/A,"300,890.00","1,400.00",Put,0.10s,N/A,1,10.00
Call,"2,983.90s",N/A,N/A,"298,390.00","1,425.00",Put,0.10s,N/A,N/A,10.00
Call,"2,958.90s",N/A,N/A,"295,890.00","1,450.00",Put,0.10s,N/A,N/A,10.00
Call,"2,933.90s",N/A,N/A,"293,390.00","1,475.00",Put,0.10s,N/A,N/A,10.00
Call,"2,908.90s",50,N/A,"290,890.00","1,500.00",Put,0.10s,N/A,1,10.00
Call,"2,883.90s",N/A,N/A,"288,390.00","1,525.00",Put,0.10s,N/A,N/A,10.00
Call,"2,878.90s",N/A,N/A,"287,890.00","1,530.00",Put,0.10s,N/A,N/A,10.00
Call,"2,868.90s",N/A,N/A,"286,890.00","1,540.00",Put,0.10s,N/A,N/A,10.00
Call,"2,858.90s",N/A,N/A,"285,890.00","1,550.00",Put,0.10s,N/A,N/A,10.00
Call,"2,848.90s",N/A,N/A,"284,890.00","1,560.00",Put,0.10s,N/A,N/A,10.00
Call,"2,838.90s",N/A,N/A,"283,890.00","1,570.00",Put,0.10s,N/A,N/A,10.00
Call,"2,833.90s",N/A,N/A,"283,390.00","1,575.00",Put,0.10s,N/A,N/A,10.00
Call,"2,828.90s",N/A,N/A,"282,890.00","1,580.00",Put,0.10s,N/A,N/A,10.00
Call,"2,818.90s",N/A,N/A,"281,890.00","1,590.00",Put,0.10s,N/A,N/A,10.00
Call,"2,808.90s",N/A,N/A,"280,890.00","1,600.00",Put,0.10s,N/A,219,10.00
Call,"2,798.90s",N/A,N/A,"279,890.00","1,610.00",Put,0.10s,N/A,N/A,10.00
Call,"2,788.90s",N/A,N/A,"278,890.00","1,620.00",Put,0.10s,N/A,N/A,10.00
Call,"2,783.90s",N/A,N/A,"278,390.00","1,625.00",Put,0.10s,N/A,N/A,10.00
Call,"2,778.90s",N/A,N/A,"277,890.00","1,630.00",Put,0.10s,N/A,N/A,10.00
Call,"2,773.90s",N/A,N/A,"277,390.00","1,635.00",Put,0.10s,N/A,N/A,10.00
Call,"2,768.90s",N/A,N/A,"276,890.00","1,640.00",Put,0.10s,N/A,N/A,10.00
Call,"2,763.90s",N/A,N/A,"276,390.00","1,645.00",Put,0.10s,N/A,N/A,10.00
Call,"2,758.90s",N/A,N/A,"275,890.00","1,650.00",Put,0.20s,N/A,N/A,20.00
Call,"2,753.90s",N/A,N/A,"275,390.00","1,655.00",Put,0.20s,N/A,N/A,20.00
Call,"2,748.90s",N/A,N/A,"274,890.00","1,660.00",Put,0.20s,N/A,N/A,20.00
Call,"2,743.90s",N/A,N/A,"274,390.00","1,665.00",Put,0.20s,N/A,N/A,20.00
Call,"2,738.90s",N/A,N/A,"273,890.00","1,670.00",Put,0.20s,N/A,N/A,20.00
Call,"2,733.90s",N/A,N/A,"273,390.00","1,675.00",Put,0.20s,N/A,N/A,20.00
Call,"2,728.90s",N/A,N/A,"272,890.00","1,680.00",Put,0.20s,N/A,N/A,20.00
Call,"2,723.90s",N/A,N/A,"272,390.00","1,685.00",Put,0.20s,N/A,N/A,20.00
Call,"2,718.90s",N/A,N/A,"271,890.00","1,690.00",Put,0.20s,N/A,N/A,20.00
Call,"2,713.90s",N/A,N/A,"271,390.00","1,695.00",Put,0.20s,N/A,N/A,20.00
Call,"2,708.90s",N/A,N/A,"270,890.00","1,700.00",Put,0.20s,N/A,200,20.00
Call,"2,703.90s",N/A,N/A,"270,390.00","1,705.00",Put,0.20s,N/A,N/A,20.00
Call,"2,698.90s",N/A,N/A,"269,890.00","1,710.00",Put,0.20s,N/A,N/A,20.00
Call,"2,693.90s",N/A,N/A,"269,390.00","1,715.00",Put,0.20s,N/A,N/A,20.00
Call,"2,688.90s",N/A,N/A,"268,890.00","1,720.00",Put,0.20s,N/A,N/A,20.00
Call,"2,683.90s",N/A,N/A,"268,390.00","1,725.00",Put,0.20s,N/A,N/A,20.00
Call,"2,678.90s",N/A,N/A,"267,890.00","1,730.00",Put,0.20s,N/A,N/A,20.00
Call,"2,673.90s",N/A,N/A,"267,390.00","1,735.00",Put,0.20s,N/A,N/A,20.00
Call,"2,668.90s",N/A,N/A,"266,890.00","1,740.00",Put,0.20s,N/A,5,20.00
Call,"2,663.90s",N/A,N/A,"266,390.00","1,745.00",Put,0.20s,N/A,N/A,20.00
Call,"2,658.90s",N/A,N/A,"265,890.00","1,750.00",Put,0.20s,N/A,3,20.00
Call,"2,653.90s",N/A,N/A,"265,390.00","1,755.00",Put,0.20s,N/A,N/A,20.00
Call,"2,648.90s",N/A,N/A,"264,890.00","1,760.00",Put,0.20s,N/A,N/A,20.00
Call,"2,643.90s",N/A,N/A,"264,390.00","1,765.00",Put,0.20s,N/A,N/A,20.00
Call,"2,638.90s",N/A,N/A,"263,890.00","1,770.00",Put,0.20s,N/A,N/A,20.00
Call,"2,633.90s",N/A,N/A,"263,390.00","1,775.00",Put,0.20s,N/A,N/A,20.00
Call,"2,628.90s",N/A,N/A,"262,890.00","1,780.00",Put,0.20s,N/A,N/A,20.00
Call,"2,623.90s",N/A,N/A,"262,390.00","1,785.00",Put,0.20s,N/A,N/A,20.00
Call,"2,618.90s",N/A,N/A,"261,890.00","1,790.00",Put,0.20s,N/A,N/A,20.00
Call,"2,613.90s",N/A,N/A,"261,390.00","1,795.00",Put,0.20s,N/A,N/A,20.00
Call,"2,608.90s",N/A,N/A,"260,890.00","1,800.00",Put,0.20s,N/A,N/A,20.00
Call,"2,603.90s",N/A,N/A,"260,390.00","1,805.00",Put,0.20s,N/A,N/A,20.00
Call,"2,598.90s",N/A,N/A,"259,890.00","1,810.00",Put,0.20s,N/A,N/A,20.00
Call,"2,593.90s",N/A,N/A,"259,390.00","1,815.00",Put,0.20s,N/A,N/A,20.00
Call,"2,588.90s",N/A,N/A,"258,890.00","1,820.00",Put,0.20s,N/A,N/A,20.00
Call,"2,583.90s",N/A,N/A,"258,390.00","1,825.00",Put,0.20s,N/A,N/A,20.00
Call,"2,578.90s",N/A,N/A,"257,890.00","1,830.00",Put,0.20s,N/A,N/A,20.00
Call,"2,573.90s",N/A,N/A,"257,390.00","1,835.00",Put,0.20s,N/A,N/A,20.00
