Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
"3,058.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,350.00",0.10s,80.39%,-0.0002,0.0000,-0.0089,0.0170,+56.84%,Put,09/11/26
"3,033.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,375.00",0.10s,79.17%,-0.0002,0.0000,-0.0088,0.0172,+55.63%,Put,09/11/26
"3,008.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,400.00",0.10s,77.98%,-0.0002,0.0000,-0.0088,0.0175,+54.43%,Put,09/11/26
"2,983.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,425.00",0.10s,76.80%,-0.0002,0.0000,-0.0088,0.0177,+53.26%,Put,09/11/26
"2,958.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,450.00",0.10s,75.65%,-0.0002,0.0000,-0.0088,0.0180,+52.10%,Put,09/11/26
"2,933.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,475.00",0.10s,74.52%,-0.0003,0.0000,-0.0088,0.0183,+50.97%,Put,09/11/26
"2,908.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,500.00",0.10s,73.40%,-0.0003,0.0000,-0.0087,0.0185,+49.85%,Put,09/11/26
"2,883.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,525.00",0.10s,72.31%,-0.0003,0.0000,-0.0087,0.0188,+48.76%,Put,09/11/26
"2,878.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,530.00",0.10s,72.09%,-0.0003,0.0000,-0.0087,0.0188,+48.54%,Put,09/11/26
"2,868.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,540.00",0.10s,71.66%,-0.0003,0.0000,-0.0087,0.0189,+48.11%,Put,09/11/26
"2,858.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,550.00",0.10s,71.23%,-0.0003,0.0000,-0.0087,0.0190,+47.68%,Put,09/11/26
"2,848.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,560.00",0.10s,70.80%,-0.0003,0.0000,-0.0087,0.0192,+47.25%,Put,09/11/26
"2,838.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,570.00",0.10s,70.38%,-0.0003,0.0000,-0.0087,0.0193,+46.83%,Put,09/11/26
"2,833.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,575.00",0.10s,70.17%,-0.0003,0.0000,-0.0087,0.0193,+46.62%,Put,09/11/26
"2,828.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,580.00",0.10s,69.96%,-0.0003,0.0000,-0.0087,0.0194,+46.41%,Put,09/11/26
"2,818.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,590.00",0.10s,69.54%,-0.0003,0.0000,-0.0087,0.0195,+45.99%,Put,09/11/26
"2,808.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,600.00",0.10s,69.13%,-0.0003,0.0000,-0.0087,0.0196,+45.58%,Put,09/11/26
"2,798.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,610.00",0.10s,68.71%,-0.0003,0.0000,-0.0087,0.0197,+45.16%,Put,09/11/26
"2,788.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,620.00",0.10s,68.30%,-0.0003,0.0000,-0.0086,0.0198,+44.75%,Put,09/11/26
"2,783.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,625.00",0.10s,68.10%,-0.0003,0.0000,-0.0086,0.0199,+44.55%,Put,09/11/26
"2,778.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,630.00",0.10s,67.90%,-0.0003,0.0000,-0.0086,0.0199,+44.35%,Put,09/11/26
"2,773.90s",0.00%,0.9922,0.0000,0.0000,0.0000,-23.55%,Call,09/11/26,"1,635.00",0.10s,67.69%,-0.0003,0.0000,-0.0086,0.0200,+44.14%,Put,09/11/26
