Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,43.7750s,N/A,N/A,"17,510.00",40.0000,Put,0.0125s,N/A,133,5.00
Call,41.7750s,N/A,N/A,"16,710.00",42.0000,Put,0.0125s,N/A,383,5.00
Call,39.7750s,N/A,N/A,"15,910.00",44.0000,Put,0.0125s,N/A,N/A,5.00
Call,37.7750s,N/A,N/A,"15,110.00",46.0000,Put,0.0125s,N/A,10,5.00
Call,35.7750s,N/A,N/A,"14,310.00",48.0000,Put,0.0125s,N/A,N/A,5.00
Call,33.7750s,N/A,N/A,"13,510.00",50.0000,Put,0.0125s,N/A,"3,000",5.00
Call,31.7750s,N/A,N/A,"12,710.00",52.0000,Put,0.0125s,N/A,"1,541",5.00
Call,29.7750s,N/A,N/A,"11,910.00",54.0000,Put,0.0125s,N/A,N/A,5.00
Call,27.7750s,N/A,N/A,"11,110.00",56.0000,Put,0.0125s,N/A,58,5.00
Call,25.7750s,N/A,N/A,"10,310.00",58.0000,Put,0.0125s,N/A,142,5.00
Call,23.7750s,N/A,N/A,"9,510.00",60.0000,Put,0.0125s,N/A,402,5.00
Call,22.7750s,N/A,N/A,"9,110.00",61.0000,Put,0.0125s,N/A,N/A,5.00
Call,21.7750s,N/A,N/A,"8,710.00",62.0000,Put,0.0250s,N/A,86,10.00
Call,20.7750s,N/A,N/A,"8,310.00",63.0000,Put,0.0250s,N/A,93,10.00
Call,19.7750s,N/A,N/A,"7,910.00",64.0000,Put,0.0250s,N/A,123,10.00
Call,18.7750s,N/A,N/A,"7,510.00",65.0000,Put,0.0250s,N/A,20,10.00
Call,17.7750s,N/A,5,"7,110.00",66.0000,Put,0.0500s,N/A,356,20.00
Call,16.8000s,N/A,1,"6,720.00",67.0000,Put,0.0500s,N/A,1,20.00
Call,15.8000s,N/A,5,"6,320.00",68.0000,Put,0.0500s,7,435,20.00
Call,14.8000s,N/A,1,"5,920.00",69.0000,Put,0.0500s,10,10,20.00
Call,13.8000s,N/A,7,"5,520.00",70.0000,Put,0.0500s,N/A,"1,102",20.00
Call,12.8000s,N/A,1,"5,120.00",71.0000,Put,0.0500s,N/A,85,20.00
