Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
41.7500s,95.01%,0.9744,0.0015,-0.0124,0.0155,+76.41%,Call,08/14/26,40.0000,0.0125s,64.31%,-0.0019,0.0003,-0.0010,0.0020,+45.70%,Put,08/14/26
39.7500s,88.46%,0.9739,0.0017,-0.0118,0.0159,+69.85%,Call,08/14/26,42.0000,0.0125s,60.19%,-0.0020,0.0003,-0.0010,0.0021,+41.58%,Put,08/14/26
37.7500s,82.22%,0.9733,0.0018,-0.0112,0.0163,+63.61%,Call,08/14/26,44.0000,0.0125s,56.25%,-0.0022,0.0004,-0.0010,0.0022,+37.64%,Put,08/14/26
35.7500s,76.27%,0.9728,0.0020,-0.0106,0.0167,+57.66%,Call,08/14/26,46.0000,0.0125s,52.49%,-0.0023,0.0004,-0.0010,0.0024,+33.88%,Put,08/14/26
33.7500s,70.59%,0.9722,0.0022,-0.0100,0.0170,+51.98%,Call,08/14/26,48.0000,0.0250s,52.64%,-0.0043,0.0007,-0.0017,0.0042,+34.03%,Put,08/14/26
31.7500s,65.14%,0.9717,0.0025,-0.0094,0.0174,+46.53%,Call,08/14/26,50.0000,0.0250s,48.93%,-0.0047,0.0008,-0.0017,0.0045,+30.32%,Put,08/14/26
29.7500s,59.92%,0.9712,0.0027,-0.0088,0.0177,+41.31%,Call,08/14/26,52.0000,0.0250s,45.35%,-0.0050,0.0010,-0.0016,0.0048,+26.74%,Put,08/14/26
27.7500s,54.90%,0.9707,0.0030,-0.0082,0.0180,+36.29%,Call,08/14/26,54.0000,0.0250s,41.90%,-0.0054,0.0011,-0.0016,0.0051,+23.29%,Put,08/14/26
25.7500s,50.07%,0.9702,0.0034,-0.0076,0.0184,+31.46%,Call,08/14/26,56.0000,0.0250s,38.55%,-0.0059,0.0013,-0.0016,0.0055,+19.94%,Put,08/14/26
23.7500s,45.41%,0.9697,0.0038,-0.0070,0.0187,+26.80%,Call,08/14/26,58.0000,0.0250s,35.31%,-0.0064,0.0015,-0.0015,0.0059,+16.70%,Put,08/14/26
21.7500s,40.92%,0.9692,0.0043,-0.0064,0.0190,+22.31%,Call,08/14/26,60.0000,0.0500s,35.20%,-0.0119,0.0027,-0.0027,0.0102,+16.59%,Put,08/14/26
19.7500s,36.57%,0.9687,0.0049,-0.0058,0.0193,+17.96%,Call,08/14/26,62.0000,0.0500s,31.89%,-0.0131,0.0032,-0.0026,0.0111,+13.28%,Put,08/14/26
18.7500s,34.45%,0.9685,0.0052,-0.0054,0.0195,+15.84%,Call,08/14/26,63.0000,0.0500s,30.26%,-0.0137,0.0035,-0.0026,0.0115,+11.66%,Put,08/14/26
17.7750s,33.56%,0.9641,0.0061,-0.0061,0.0222,+14.95%,Call,08/14/26,64.0000,0.0500s,28.66%,-0.0145,0.0039,-0.0025,0.0121,+10.05%,Put,08/14/26
16.7750s,31.50%,0.9636,0.0066,-0.0058,0.0225,+12.89%,Call,08/14/26,65.0000,0.0750s,28.80%,-0.0206,0.0052,-0.0034,0.0163,+10.19%,Put,08/14/26
15.7750s,29.46%,0.9631,0.0072,-0.0055,0.0229,+10.85%,Call,08/14/26,66.0000,0.0750s,27.15%,-0.0218,0.0058,-0.0034,0.0171,+8.54%,Put,08/14/26
14.8000s,28.47%,0.9578,0.0085,-0.0060,0.0260,+9.86%,Call,08/14/26,67.0000,0.0750s,25.51%,-0.0231,0.0065,-0.0033,0.0179,+6.90%,Put,08/14/26
13.8000s,26.48%,0.9568,0.0093,-0.0057,0.0266,+7.87%,Call,08/14/26,68.0000,0.1000s,25.09%,-0.0302,0.0083,-0.0040,0.0224,+6.48%,Put,08/14/26
12.8250s,25.39%,0.9507,0.0110,-0.0062,0.0301,+6.78%,Call,08/14/26,69.0000,0.1250s,24.41%,-0.0376,0.0102,-0.0047,0.0269,+5.80%,Put,08/14/26
11.8500s,24.19%,0.9441,0.0129,-0.0067,0.0337,+5.59%,Call,08/14/26,70.0000,0.1500s,23.53%,-0.0454,0.0123,-0.0053,0.0314,+4.92%,Put,08/14/26
10.8750s,22.92%,0.9368,0.0152,-0.0070,0.0376,+4.31%,Call,08/14/26,71.0000,0.1750s,22.49%,-0.0540,0.0148,-0.0058,0.0360,+3.88%,Put,08/14/26
9.9250s,22.14%,0.9237,0.0185,-0.0081,0.0442,+3.53%,Call,08/14/26,72.0000,0.2250s,21.92%,-0.0684,0.0183,-0.0067,0.0433,+3.32%,Put,08/14/26
9.0000s,21.64%,0.9050,0.0226,-0.0095,0.0528,+3.04%,Call,08/14/26,73.0000,0.2750s,21.09%,-0.0837,0.0222,-0.0075,0.0505,+2.49%,Put,08/14/26
8.0750s,20.85%,0.8852,0.0272,-0.0108,0.0612,+2.24%,Call,08/14/26,74.0000,0.3500s,20.48%,-0.1049,0.0269,-0.0086,0.0596,+1.87%,Put,08/14/26
7.1750s,20.18%,0.8597,0.0325,-0.0123,0.0709,+1.57%,Call,08/14/26,75.0000,0.4500s,19.95%,-0.1317,0.0325,-0.0099,0.0700,+1.34%,Put,08/14/26
6.3000s,19.52%,0.8285,0.0387,-0.0139,0.0815,+0.92%,Call,08/14/26,76.0000,0.5750s,19.40%,-0.1640,0.0387,-0.0111,0.0811,+0.79%,Put,08/14/26
5.5000s,19.36%,0.7856,0.0450,-0.0162,0.0940,+0.76%,Call,08/14/26,77.0000,0.7500s,19.05%,-0.2049,0.0452,-0.0125,0.0931,+0.45%,Put,08/14/26
4.7250s,19.00%,0.7386,0.0513,-0.0182,0.1053,+0.39%,Call,08/14/26,78.0000,1.0000s,19.02%,-0.2555,0.0513,-0.0141,0.1053,+0.41%,Put,08/14/26
4.0250s,18.87%,0.6834,0.0567,-0.0204,0.1156,+0.26%,Call,08/14/26,79.0000,1.3000s,18.94%,-0.3110,0.0566,-0.0154,0.1157,+0.33%,Put,08/14/26
3.4000s,18.87%,0.6229,0.0607,-0.0224,0.1237,+0.26%,Call,08/14/26,80.0000,1.6500s,18.78%,-0.3706,0.0609,-0.0162,0.1236,+0.17%,Put,08/14/26
2.8250s,18.77%,0.5601,0.0635,-0.0239,0.1287,+0.16%,Call,08/14/26,81.0000,2.0750s,18.73%,-0.4338,0.0636,-0.0166,0.1287,+0.12%,Put,08/14/26
2.3000s,18.56%,0.4955,0.0650,-0.0248,0.1303,-0.05%,Call,08/14/26,82.0000,2.5500s,18.57%,-0.4984,0.0649,-0.0164,0.1303,-0.04%,Put,08/14/26
1.8500s,18.44%,0.4308,0.0645,-0.0252,0.1285,-0.17%,Call,08/14/26,83.0000,3.1000s,18.50%,-0.5628,0.0643,-0.0157,0.1285,-0.11%,Put,08/14/26
1.4750s,18.41%,0.3685,0.0621,-0.0253,0.1234,-0.20%,Call,08/14/26,84.0000,3.7250s,18.52%,-0.6245,0.0617,-0.0145,0.1235,-0.09%,Put,08/14/26
1.1750s,18.52%,0.3114,0.0579,-0.0250,0.1158,-0.09%,Call,08/14/26,85.0000,4.4000s,18.47%,-0.6830,0.0580,-0.0129,0.1157,-0.14%,Put,08/14/26
0.9000s,18.37%,0.2565,0.0532,-0.0239,0.1056,-0.24%,Call,08/14/26,86.0000,5.1500s,18.62%,-0.7343,0.0528,-0.0112,0.1062,+0.01%,Put,08/14/26
0.7000s,18.48%,0.2104,0.0474,-0.0229,0.0946,-0.13%,Call,08/14/26,87.0000,5.9250s,18.56%,-0.7825,0.0473,-0.0089,0.0949,-0.05%,Put,08/14/26
0.5500s,18.72%,0.1722,0.0414,-0.0219,0.0837,+0.11%,Call,08/14/26,88.0000,6.7500s,18.58%,-0.8236,0.0414,-0.0067,0.0831,-0.03%,Put,08/14/26
0.4250s,18.88%,0.1390,0.0356,-0.0206,0.0726,+0.27%,Call,08/14/26,89.0000,7.6250s,18.81%,-0.8560,0.0356,-0.0047,0.0723,+0.20%,Put,08/14/26
0.3250s,19.03%,0.1108,0.0302,-0.0193,0.0620,+0.42%,Call,08/14/26,90.0000,8.5250s,19.03%,-0.8830,0.0302,-0.0028,0.0621,+0.42%,Put,08/14/26
0.2500s,19.23%,0.0883,0.0253,-0.0181,0.0525,+0.62%,Call,08/14/26,91.0000,9.4500s,19.35%,-0.9042,0.0254,-0.0012,0.0532,+0.74%,Put,08/14/26
0.2000s,19.61%,0.0719,0.0212,-0.0172,0.0450,+1.00%,Call,08/14/26,92.0000,10.4000s,19.89%,-0.9190,0.0216,0.0000,0.0464,+1.28%,Put,08/14/26
0.1500s,19.72%,0.0560,0.0174,-0.0161,0.0370,+1.11%,Call,08/14/26,93.0000,11.3750s,20.82%,-0.9273,0.0189,0.0006,0.0424,+2.21%,Put,08/14/26
0.1250s,20.25%,0.0468,0.0147,-0.0155,0.0321,+1.64%,Call,08/14/26,94.0000,12.3250s,20.99%,-0.9408,0.0157,0.0021,0.0355,+2.38%,Put,08/14/26
0.1000s,20.60%,0.0379,0.0122,-0.0148,0.0271,+1.99%,Call,08/14/26,95.0000,13.3000s,21.65%,-0.9479,0.0135,0.0028,0.0317,+3.04%,Put,08/14/26
0.0750s,20.71%,0.0293,0.0098,-0.0141,0.0219,+2.10%,Call,08/14/26,96.0000,14.3000s,23.04%,-0.9485,0.0126,0.0026,0.0314,+4.43%,Put,08/14/26
0.0750s,21.81%,0.0281,0.0090,-0.0142,0.0211,+3.20%,Call,08/14/26,97.0000,15.2750s,23.57%,-0.9547,0.0109,0.0034,0.0278,+4.96%,Put,08/14/26
0.0500s,21.50%,0.0198,0.0068,-0.0133,0.0158,+2.89%,Call,08/14/26,98.0000,16.2750s,24.93%,-0.9548,0.0103,0.0032,0.0277,+6.32%,Put,08/14/26
0.0500s,22.50%,0.0191,0.0063,-0.0134,0.0153,+3.89%,Call,08/14/26,99.0000,17.2500s,25.31%,-0.9605,0.0089,0.0040,0.0244,+6.70%,Put,08/14/26
0.0500s,23.49%,0.0184,0.0058,-0.0135,0.0148,+4.88%,Call,08/14/26,100.0000,18.2500s,26.64%,-0.9603,0.0085,0.0038,0.0245,+8.03%,Put,08/14/26
0.0250s,22.31%,0.0103,0.0037,-0.0123,0.0090,+3.70%,Call,08/14/26,101.0000,19.2500s,27.95%,-0.9601,0.0082,0.0036,0.0246,+9.34%,Put,08/14/26
0.0250s,23.20%,0.0100,0.0035,-0.0124,0.0087,+4.59%,Call,08/14/26,102.0000,20.2500s,29.26%,-0.9599,0.0078,0.0034,0.0248,+10.65%,Put,08/14/26
