Type,Last,Volume,"Open Int","Daily Premium",Strike,Type,Last,Volume,"Open Int","Daily Premium"
Call,5.2655,N/A,N/A,"131,637.50",1.0000,Put,0.0005,N/A,N/A,12.50
Call,5.0155,N/A,N/A,"125,387.50",1.2500,Put,0.0005,N/A,N/A,12.50
Call,4.7655,N/A,N/A,"119,137.50",1.5000,Put,0.0005,N/A,N/A,12.50
Call,4.5155,N/A,N/A,"112,887.50",1.7500,Put,0.0005,N/A,N/A,12.50
Call,4.2655,N/A,N/A,"106,637.50",2.0000,Put,0.0005,N/A,N/A,12.50
Call,4.0155,N/A,N/A,"100,387.50",2.2500,Put,0.0005,N/A,N/A,12.50
Call,3.7655,N/A,N/A,"94,137.50",2.5000,Put,0.0005,N/A,N/A,12.50
Call,3.5155,N/A,N/A,"87,887.50",2.7500,Put,0.0005,N/A,N/A,12.50
Call,3.2655,N/A,N/A,"81,637.50",3.0000,Put,0.0005,N/A,N/A,12.50
Call,3.0655,N/A,N/A,"76,637.50",3.2000,Put,0.0005,N/A,N/A,12.50
Call,3.0155,N/A,N/A,"75,387.50",3.2500,Put,0.0005,N/A,N/A,12.50
Call,2.9655,N/A,N/A,"74,137.50",3.3000,Put,0.0005,N/A,N/A,12.50
Call,2.9155,N/A,N/A,"72,887.50",3.3500,Put,0.0005,N/A,3,12.50
Call,2.8655,N/A,N/A,"71,637.50",3.4000,Put,0.0005,N/A,N/A,12.50
Call,2.8155,N/A,N/A,"70,387.50",3.4500,Put,0.0005,N/A,N/A,12.50
Call,2.7655,N/A,N/A,"69,137.50",3.5000,Put,0.0005,N/A,N/A,12.50
Call,2.7155,N/A,N/A,"67,887.50",3.5500,Put,0.0005,N/A,N/A,12.50
Call,2.6655,N/A,N/A,"66,637.50",3.6000,Put,0.0005,N/A,N/A,12.50
Call,2.6155,N/A,N/A,"65,387.50",3.6500,Put,0.0005,N/A,N/A,12.50
Call,2.5655,N/A,N/A,"64,137.50",3.7000,Put,0.0005,N/A,N/A,12.50
Call,2.5155,N/A,N/A,"62,887.50",3.7500,Put,0.0005,N/A,N/A,12.50
Call,2.4655,N/A,N/A,"61,637.50",3.8000,Put,0.0005,N/A,N/A,12.50
Call,2.4155,N/A,N/A,"60,387.50",3.8500,Put,0.0005,N/A,N/A,12.50
Call,2.3655,N/A,N/A,"59,137.50",3.9000,Put,0.0005,N/A,N/A,12.50
Call,2.3155,N/A,N/A,"57,887.50",3.9500,Put,0.0005,N/A,N/A,12.50
Call,2.2655,N/A,N/A,"56,637.50",4.0000,Put,0.0005,N/A,5,12.50
Call,2.2155,N/A,N/A,"55,387.50",4.0500,Put,0.0005,N/A,N/A,12.50
Call,2.1655,N/A,N/A,"54,137.50",4.1000,Put,0.0010,N/A,N/A,25.00
Call,2.1155,N/A,N/A,"52,887.50",4.1500,Put,0.0010,N/A,N/A,25.00
Call,2.0655,N/A,N/A,"51,637.50",4.2000,Put,0.0010,N/A,N/A,25.00
Call,2.0155,N/A,N/A,"50,387.50",4.2500,Put,0.0010,N/A,N/A,25.00
Call,1.9655,N/A,N/A,"49,137.50",4.3000,Put,0.0015,N/A,N/A,37.50
Call,1.9155,N/A,N/A,"47,887.50",4.3500,Put,0.0015,N/A,N/A,37.50
Call,1.8655,N/A,N/A,"46,637.50",4.4000,Put,0.0015,N/A,4,37.50
Call,1.8155,N/A,N/A,"45,387.50",4.4500,Put,0.0015,N/A,5,37.50
Call,1.7655,N/A,N/A,"44,137.50",4.5000,Put,0.0020,N/A,807,50.00
Call,1.7155,N/A,N/A,"42,887.50",4.5500,Put,0.0020,N/A,2,50.00
Call,1.6655,N/A,N/A,"41,637.50",4.6000,Put,0.0025,N/A,13,62.50
