Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,5.2810s,N/A,N/A,"132,025.00",1.0000,Put,0.0005s,N/A,N/A,12.50
Call,5.0310s,N/A,N/A,"125,775.00",1.2500,Put,0.0005s,N/A,N/A,12.50
Call,4.7810s,N/A,N/A,"119,525.00",1.5000,Put,0.0005s,N/A,N/A,12.50
Call,4.5310s,N/A,N/A,"113,275.00",1.7500,Put,0.0005s,N/A,N/A,12.50
Call,4.2810s,N/A,N/A,"107,025.00",2.0000,Put,0.0005s,N/A,N/A,12.50
Call,4.0310s,N/A,N/A,"100,775.00",2.2500,Put,0.0005s,N/A,N/A,12.50
Call,3.7810s,N/A,N/A,"94,525.00",2.5000,Put,0.0005s,N/A,N/A,12.50
Call,3.5310s,N/A,N/A,"88,275.00",2.7500,Put,0.0005s,N/A,N/A,12.50
Call,3.2810s,N/A,N/A,"82,025.00",3.0000,Put,0.0005s,N/A,N/A,12.50
Call,3.0810s,N/A,N/A,"77,025.00",3.2000,Put,0.0005s,N/A,N/A,12.50
Call,3.0310s,N/A,N/A,"75,775.00",3.2500,Put,0.0005s,N/A,N/A,12.50
Call,2.9810s,N/A,N/A,"74,525.00",3.3000,Put,0.0005s,N/A,N/A,12.50
Call,2.9310s,N/A,N/A,"73,275.00",3.3500,Put,0.0005s,N/A,3,12.50
Call,2.8810s,N/A,N/A,"72,025.00",3.4000,Put,0.0005s,N/A,N/A,12.50
Call,2.8310s,N/A,N/A,"70,775.00",3.4500,Put,0.0005s,N/A,N/A,12.50
Call,2.7810s,N/A,N/A,"69,525.00",3.5000,Put,0.0005s,N/A,N/A,12.50
Call,2.7310s,N/A,N/A,"68,275.00",3.5500,Put,0.0005s,N/A,N/A,12.50
Call,2.6810s,N/A,N/A,"67,025.00",3.6000,Put,0.0005s,N/A,N/A,12.50
Call,2.6310s,N/A,N/A,"65,775.00",3.6500,Put,0.0005s,N/A,N/A,12.50
Call,2.5810s,N/A,N/A,"64,525.00",3.7000,Put,0.0005s,N/A,N/A,12.50
Call,2.5310s,N/A,N/A,"63,275.00",3.7500,Put,0.0005s,N/A,N/A,12.50
Call,2.4810s,N/A,N/A,"62,025.00",3.8000,Put,0.0005s,N/A,N/A,12.50
Call,2.4310s,N/A,N/A,"60,775.00",3.8500,Put,0.0005s,N/A,N/A,12.50
Call,2.3810s,N/A,N/A,"59,525.00",3.9000,Put,0.0005s,N/A,N/A,12.50
Call,2.3310s,N/A,N/A,"58,275.00",3.9500,Put,0.0005s,N/A,N/A,12.50
Call,2.2810s,N/A,N/A,"57,025.00",4.0000,Put,0.0005s,N/A,5,12.50
Call,2.2310s,N/A,N/A,"55,775.00",4.0500,Put,0.0005s,N/A,N/A,12.50
Call,2.1810s,N/A,N/A,"54,525.00",4.1000,Put,0.0005s,N/A,N/A,12.50
Call,2.1310s,N/A,N/A,"53,275.00",4.1500,Put,0.0005s,N/A,N/A,12.50
Call,2.0810s,N/A,N/A,"52,025.00",4.2000,Put,0.0005s,N/A,N/A,12.50
Call,2.0310s,N/A,N/A,"50,775.00",4.2500,Put,0.0010s,N/A,N/A,25.00
Call,1.9810s,N/A,N/A,"49,525.00",4.3000,Put,0.0010s,N/A,N/A,25.00
Call,1.9310s,N/A,N/A,"48,275.00",4.3500,Put,0.0010s,N/A,N/A,25.00
Call,1.8810s,N/A,N/A,"47,025.00",4.4000,Put,0.0010s,N/A,4,25.00
Call,1.8310s,N/A,N/A,"45,775.00",4.4500,Put,0.0010s,N/A,5,25.00
Call,1.7810s,N/A,N/A,"44,525.00",4.5000,Put,0.0015s,N/A,807,37.50
Call,1.7310s,N/A,N/A,"43,275.00",4.5500,Put,0.0015s,N/A,2,37.50
Call,1.6810s,N/A,N/A,"42,025.00",4.6000,Put,0.0020s,N/A,13,50.00
Call,1.6310s,N/A,N/A,"40,775.00",4.6500,Put,0.0020s,N/A,N/A,50.00
Call,1.5815s,N/A,N/A,"39,537.50",4.7000,Put,0.0025s,N/A,4,62.50
Call,1.5315s,N/A,N/A,"38,287.50",4.7500,Put,0.0035s,3,58,87.50
Call,1.4820s,N/A,N/A,"37,050.00",4.8000,Put,0.0035s,N/A,9,87.50
Call,1.4320s,N/A,N/A,"35,800.00",4.8500,Put,0.0035s,N/A,1,87.50
Call,1.3825s,N/A,N/A,"34,562.50",4.9000,Put,0.0040s,N/A,11,100.00
Call,1.3330s,N/A,2,"33,325.00",4.9500,Put,0.0050s,N/A,1,125.00
Call,1.2840s,N/A,4,"32,100.00",5.0000,Put,0.0060s,1,627,150.00
Call,1.2345s,N/A,N/A,"30,862.50",5.0500,Put,0.0065s,N/A,N/A,162.50
Call,1.1855s,N/A,2,"29,637.50",5.1000,Put,0.0075s,N/A,36,187.50
Call,1.1365s,N/A,N/A,"28,412.50",5.1500,Put,0.0085s,N/A,2,212.50
Call,1.0875s,N/A,N/A,"27,187.50",5.2000,Put,0.0100s,2,195,250.00
