Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
5.1075s,0.00%,0.9950,0.0000,0.0000,0.0000,-27.24%,Call,07/08/26,1.0000,0.0005s,0.00%,0.0000,0.0000,0.0000,0.0000,-27.24%,Put,07/08/26
4.8575s,0.00%,0.9950,0.0000,0.0000,0.0000,-27.24%,Call,07/08/26,1.2500,0.0005s,0.00%,0.0000,0.0000,0.0000,0.0000,-27.24%,Put,07/08/26
4.6075s,0.00%,0.9950,0.0000,0.0000,0.0000,-27.24%,Call,07/08/26,1.5000,0.0005s,0.00%,0.0000,0.0000,0.0000,0.0000,-27.24%,Put,07/08/26
4.3575s,0.00%,0.9950,0.0000,0.0000,0.0000,-27.24%,Call,07/08/26,1.7500,0.0005s,0.00%,0.0000,0.0000,0.0000,0.0000,-27.24%,Put,07/08/26
4.1075s,0.00%,0.9950,0.0000,0.0000,0.0000,-27.24%,Call,07/08/26,2.0000,0.0005s,0.00%,0.0000,0.0000,0.0000,0.0000,-27.24%,Put,07/08/26
3.8575s,0.00%,0.9950,0.0000,0.0000,0.0000,-27.24%,Call,07/08/26,2.2500,0.0005s,92.50%,-0.0008,0.0014,-0.0001,0.0001,+65.26%,Put,07/08/26
3.6075s,0.00%,0.9950,0.0000,0.0000,0.0000,-27.24%,Call,07/08/26,2.5000,0.0005s,83.13%,-0.0009,0.0017,-0.0001,0.0001,+55.89%,Put,07/08/26
3.3575s,97.58%,0.9876,0.0094,-0.0005,0.0005,+70.34%,Call,07/08/26,2.7500,0.0005s,74.69%,-0.0010,0.0020,-0.0001,0.0001,+47.45%,Put,07/08/26
3.1075s,85.04%,0.9882,0.0101,-0.0004,0.0004,+57.80%,Call,07/08/26,3.0000,0.0005s,67.03%,-0.0011,0.0025,-0.0001,0.0001,+39.79%,Put,07/08/26
2.9075s,75.59%,0.9888,0.0104,-0.0003,0.0004,+48.35%,Call,07/08/26,3.2000,0.0005s,61.25%,-0.0012,0.0030,-0.0001,0.0001,+34.01%,Put,07/08/26
