Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,5.7900s,N/A,N/A,"144,750.00",1.0000,Put,0.0005s,N/A,N/A,12.50
Call,5.5400s,N/A,N/A,"138,500.00",1.2500,Put,0.0005s,N/A,N/A,12.50
Call,5.2900s,N/A,N/A,"132,250.00",1.5000,Put,0.0005s,N/A,N/A,12.50
Call,5.0400s,N/A,N/A,"126,000.00",1.7500,Put,0.0005s,N/A,N/A,12.50
Call,4.7900s,N/A,N/A,"119,750.00",2.0000,Put,0.0005s,N/A,N/A,12.50
Call,4.5400s,N/A,N/A,"113,500.00",2.2500,Put,0.0005s,N/A,N/A,12.50
Call,4.2900s,N/A,N/A,"107,250.00",2.5000,Put,0.0005s,N/A,N/A,12.50
Call,4.0400s,N/A,N/A,"101,000.00",2.7500,Put,0.0005s,N/A,N/A,12.50
Call,3.7900s,N/A,N/A,"94,750.00",3.0000,Put,0.0005s,N/A,N/A,12.50
Call,3.5400s,N/A,N/A,"88,500.00",3.2500,Put,0.0005s,N/A,N/A,12.50
Call,3.4900s,N/A,N/A,"87,250.00",3.3000,Put,0.0005s,N/A,N/A,12.50
Call,3.4400s,N/A,N/A,"86,000.00",3.3500,Put,0.0005s,N/A,N/A,12.50
Call,3.3900s,N/A,N/A,"84,750.00",3.4000,Put,0.0005s,N/A,N/A,12.50
Call,3.3400s,N/A,N/A,"83,500.00",3.4500,Put,0.0005s,N/A,N/A,12.50
Call,3.2900s,N/A,N/A,"82,250.00",3.5000,Put,0.0005s,N/A,46,12.50
Call,3.2400s,N/A,N/A,"81,000.00",3.5500,Put,0.0005s,N/A,N/A,12.50
Call,3.1900s,N/A,N/A,"79,750.00",3.6000,Put,0.0005s,N/A,31,12.50
Call,3.1400s,N/A,N/A,"78,500.00",3.6500,Put,0.0005s,N/A,N/A,12.50
Call,3.0900s,N/A,N/A,"77,250.00",3.7000,Put,0.0005s,N/A,N/A,12.50
Call,3.0400s,N/A,N/A,"76,000.00",3.7500,Put,0.0005s,N/A,N/A,12.50
Call,2.9900s,N/A,N/A,"74,750.00",3.8000,Put,0.0005s,N/A,22,12.50
Call,2.9400s,N/A,N/A,"73,500.00",3.8500,Put,0.0005s,N/A,1,12.50
Call,2.8900s,N/A,N/A,"72,250.00",3.9000,Put,0.0010s,N/A,45,25.00
Call,2.8400s,N/A,N/A,"71,000.00",3.9500,Put,0.0010s,N/A,3,25.00
Call,2.7900s,N/A,N/A,"69,750.00",4.0000,Put,0.0015s,N/A,31,37.50
Call,2.7400s,N/A,N/A,"68,500.00",4.0500,Put,0.0015s,N/A,N/A,37.50
Call,2.6900s,N/A,N/A,"67,250.00",4.1000,Put,0.0015s,N/A,N/A,37.50
Call,2.6400s,N/A,N/A,"66,000.00",4.1500,Put,0.0015s,N/A,N/A,37.50
Call,2.5900s,N/A,N/A,"64,750.00",4.2000,Put,0.0020s,N/A,2,50.00
Call,2.5400s,N/A,N/A,"63,500.00",4.2500,Put,0.0020s,N/A,60,50.00
Call,2.4900s,N/A,N/A,"62,250.00",4.3000,Put,0.0020s,N/A,N/A,50.00
Call,2.4400s,N/A,N/A,"61,000.00",4.3500,Put,0.0020s,N/A,N/A,50.00
Call,2.3900s,N/A,N/A,"59,750.00",4.4000,Put,0.0025s,N/A,N/A,62.50
Call,2.3400s,N/A,N/A,"58,500.00",4.4500,Put,0.0030s,N/A,N/A,75.00
Call,2.2900s,N/A,N/A,"57,250.00",4.5000,Put,0.0035s,N/A,37,87.50
Call,2.2400s,N/A,N/A,"56,000.00",4.5500,Put,0.0035s,N/A,N/A,87.50
Call,2.1900s,N/A,N/A,"54,750.00",4.6000,Put,0.0040s,N/A,2,100.00
Call,2.1400s,N/A,N/A,"53,500.00",4.6500,Put,0.0040s,N/A,N/A,100.00
Call,2.0905s,N/A,N/A,"52,262.50",4.7000,Put,0.0025s,1,36,62.50
Call,2.0405s,N/A,N/A,"51,012.50",4.7500,Put,0.0045s,N/A,34,112.50
Call,1.9905s,N/A,N/A,"49,762.50",4.8000,Put,0.0045s,10,18,112.50
Call,1.9405s,N/A,N/A,"48,512.50",4.8500,Put,0.0050s,N/A,1,125.00
Call,1.8910s,N/A,N/A,"47,275.00",4.9000,Put,0.0055s,N/A,8,137.50
Call,1.8410s,N/A,N/A,"46,025.00",4.9500,Put,0.0055s,N/A,1,137.50
Call,1.7910s,N/A,N/A,"44,775.00",5.0000,Put,0.0050s,22,221,125.00
Call,1.7415s,N/A,N/A,"43,537.50",5.0500,Put,0.0060s,N/A,1,150.00
Call,1.6915s,N/A,N/A,"42,287.50",5.1000,Put,0.0060s,N/A,8,150.00
Call,1.6420s,N/A,N/A,"41,050.00",5.1500,Put,0.0065s,N/A,2,162.50
Call,1.5925s,N/A,N/A,"39,812.50",5.2000,Put,0.0070s,2,8,175.00
Call,1.5425s,N/A,123,"38,562.50",5.2500,Put,0.0075s,N/A,32,187.50
Call,1.4930s,N/A,N/A,"37,325.00",5.3000,Put,0.0075s,N/A,89,187.50
Call,1.4435s,N/A,1,"36,087.50",5.3500,Put,0.0080s,N/A,1,200.00
Call,1.3940s,N/A,N/A,"34,850.00",5.4000,Put,0.0090s,N/A,8,225.00
Call,1.3450s,N/A,N/A,"33,625.00",5.4500,Put,0.0095s,N/A,49,237.50
Call,1.2955s,N/A,2,"32,387.50",5.5000,Put,0.0100s,N/A,617,250.00
Call,1.2465s,N/A,1,"31,162.50",5.5500,Put,0.0110s,N/A,1,275.00
Call,1.1975s,N/A,N/A,"29,937.50",5.6000,Put,0.0120s,N/A,330,300.00
Call,1.1485s,N/A,45,"28,712.50",5.6500,Put,0.0130s,2,28,325.00
Call,1.1000s,N/A,N/A,"27,500.00",5.7000,Put,0.0145s,N/A,18,362.50
Call,1.0520s,N/A,123,"26,300.00",5.7500,Put,0.0160s,N/A,419,400.00
Call,1.0045s,N/A,N/A,"25,112.50",5.8000,Put,0.0185s,N/A,215,462.50
Call,0.9570s,N/A,1,"23,925.00",5.8500,Put,0.0210s,1,31,525.00
Call,0.9105s,N/A,201,"22,762.50",5.9000,Put,0.0245s,N/A,242,612.50
Call,0.8645s,N/A,163,"21,612.50",5.9500,Put,0.0280s,2,111,700.00
Call,0.8190s,N/A,603,"20,475.00",6.0000,Put,0.0325s,N/A,"2,016",812.50
Call,0.7745s,N/A,1,"19,362.50",6.0500,Put,0.0445s,2,17,"1,112.50"
Call,0.7310s,N/A,200,"18,275.00",6.1000,Put,0.0455s,4,108,"1,137.50"
Call,0.6890s,N/A,1,"17,225.00",6.1500,Put,0.0520s,1,140,"1,300.00"
Call,0.6475s,N/A,421,"16,187.50",6.2000,Put,0.0605s,1,133,"1,512.50"
Call,0.6075s,N/A,57,"15,187.50",6.2500,Put,0.0705s,1,433,"1,762.50"
Call,0.5695s,N/A,310,"14,237.50",6.3000,Put,0.0815s,1,387,"2,037.50"
Call,0.5325s,N/A,5,"13,312.50",6.3500,Put,0.0945s,16,302,"2,362.50"
Call,0.4970s,N/A,29,"12,425.00",6.4000,Put,0.1090s,N/A,151,"2,725.00"
Call,0.4635s,N/A,1,"11,587.50",6.4500,Put,0.1250s,N/A,433,"3,125.00"
Call,0.4315s,2,552,"10,787.50",6.5000,Put,0.1425s,50,634,"3,562.50"
Call,0.4010s,160,126,"10,025.00",6.5500,Put,0.1625s,N/A,617,"4,062.50"
Call,0.3725s,N/A,381,"9,312.50",6.6000,Put,0.1870s,11,127,"4,675.00"
Call,0.3455s,N/A,35,"8,637.50",6.6500,Put,0.2060s,25,280,"5,150.00"
Call,0.3200s,1,357,"8,000.00",6.7000,Put,0.2345s,50,"1,136","5,862.50"
Call,0.2700,1,363,"6,750.00",6.7500,Put,0.2625s,1,275,"6,562.50"
Call,0.2640,2,797,"6,600.00",6.8000,Put,0.2835s,6,57,"7,087.50"
Call,0.2525s,240,380,"6,312.50",6.8500,Put,0.3125s,N/A,50,"7,812.50"
Call,0.2330s,16,273,"5,825.00",6.9000,Put,0.3425s,1,1,"8,562.50"
Call,0.2100s,2,138,"5,250.00",6.9500,Put,0.3740s,N/A,N/A,"9,350.00"
Call,0.1770,10,"3,224","4,425.00",7.0000,Put,0.4065s,1,3,"10,162.50"
Call,0.1630,2,144,"4,075.00",7.0500,Put,0.4405s,N/A,N/A,"11,012.50"
Call,0.1670s,5,111,"4,175.00",7.1000,Put,0.4755s,N/A,N/A,"11,887.50"
Call,0.1535s,2,59,"3,837.50",7.1500,Put,0.5115s,N/A,N/A,"12,787.50"
Call,0.1415s,N/A,107,"3,537.50",7.2000,Put,0.5490s,N/A,N/A,"13,725.00"
Call,0.1310s,1,"1,457","3,275.00",7.2500,Put,0.5875s,N/A,N/A,"14,687.50"
Call,0.1195s,339,534,"2,987.50",7.3000,Put,0.6270s,N/A,1,"15,675.00"
Call,0.1100s,1,57,"2,750.00",7.3500,Put,0.6675s,N/A,N/A,"16,687.50"
Call,0.1015s,4,107,"2,537.50",7.4000,Put,0.7085s,N/A,N/A,"17,712.50"
Call,0.0935s,1,4,"2,337.50",7.4500,Put,0.7505s,N/A,N/A,"18,762.50"
Call,0.0865s,26,"1,116","2,162.50",7.5000,Put,0.7930s,N/A,1,"19,825.00"
Call,0.0800s,13,15,"2,000.00",7.5500,Put,0.8360s,N/A,N/A,"20,900.00"
Call,0.0630s,27,"1,166","1,575.00",7.7000,Put,0.9685s,N/A,N/A,"24,212.50"
Call,0.0585s,3,634,"1,462.50",7.7500,Put,1.0140s,N/A,N/A,"25,350.00"
Call,0.0540s,N/A,205,"1,350.00",7.8000,Put,1.0595s,N/A,N/A,"26,487.50"
Call,0.0400s,N/A,"1,388","1,000.00",8.0000,Put,1.2445s,N/A,N/A,"31,112.50"
Call,0.0280s,N/A,479,700.00,8.2500,Put,1.4820s,N/A,N/A,"37,050.00"
Call,0.0205s,N/A,311,512.50,8.5000,Put,1.7240s,N/A,N/A,"43,100.00"
Call,0.0150s,N/A,23,375.00,8.7500,Put,1.9680s,N/A,N/A,"49,200.00"
Call,0.0110s,10,514,275.00,9.0000,Put,2.2140s,N/A,N/A,"55,350.00"
Call,0.0080s,5,12,200.00,9.2500,Put,2.4620s,N/A,N/A,"61,550.00"
Call,0.0065s,N/A,152,162.50,9.5000,Put,2.7105s,N/A,N/A,"67,762.50"
Call,0.0050s,N/A,54,125.00,9.7500,Put,2.9600s,N/A,N/A,"74,000.00"
"Downloaded from Barchart.com as of 09-25-2026 12:56am CDT"
