Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
5.4435s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,1.0000,0.0005s,0.00%,0.0000,0.0000,0.0000,0.0000,-25.43%,Put,09/15/26
5.1935s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,1.2500,0.0005s,0.00%,0.0000,0.0000,0.0000,0.0000,-25.43%,Put,09/15/26
4.9435s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,1.5000,0.0005s,0.00%,0.0000,0.0000,0.0000,0.0000,-25.43%,Put,09/15/26
4.6935s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,1.7500,0.0005s,99.69%,-0.0006,0.0007,0.0000,0.0001,+74.26%,Put,09/15/26
4.4435s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,2.0000,0.0005s,89.69%,-0.0007,0.0009,0.0000,0.0001,+64.26%,Put,09/15/26
4.1935s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,2.2500,0.0005s,81.09%,-0.0007,0.0011,0.0000,0.0001,+55.67%,Put,09/15/26
3.9435s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,2.5000,0.0005s,73.44%,-0.0008,0.0014,0.0000,0.0001,+48.01%,Put,09/15/26
3.6935s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,2.7500,0.0005s,66.25%,-0.0009,0.0016,0.0000,0.0001,+40.82%,Put,09/15/26
3.4435s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,3.0000,0.0005s,60.00%,-0.0010,0.0020,0.0000,0.0001,+34.57%,Put,09/15/26
3.1935s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,3.2500,0.0005s,54.06%,-0.0011,0.0024,0.0000,0.0001,+28.64%,Put,09/15/26
3.1435s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,3.3000,0.0005s,52.81%,-0.0011,0.0025,0.0000,0.0001,+27.39%,Put,09/15/26
3.0935s,0.00%,0.9923,0.0000,0.0000,0.0000,-25.43%,Call,09/15/26,3.3500,0.0005s,51.88%,-0.0012,0.0027,0.0000,0.0001,+26.45%,Put,09/15/26
