Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,0.0015850s,N/A,N/A,"19,812.50",0.0047000,Put,0.0000005s,N/A,N/A,6.25
Call,0.0014850s,N/A,N/A,"18,562.50",0.0048000,Put,0.0000005s,N/A,N/A,6.25
Call,0.0013860s,N/A,N/A,"17,325.00",0.0049000,Put,0.0000005s,N/A,280,6.25
Call,0.0012860s,N/A,N/A,"16,075.00",0.0050000,Put,0.0000005s,N/A,40,6.25
Call,0.0011860s,N/A,N/A,"14,825.00",0.0051000,Put,0.0000005s,N/A,242,6.25
Call,0.0010860s,N/A,2,"13,575.00",0.0052000,Put,0.0000005s,N/A,159,6.25
Call,0.0009860s,N/A,N/A,"12,325.00",0.0053000,Put,0.0000005s,N/A,102,6.25
Call,0.0008870s,N/A,N/A,"11,087.50",0.0054000,Put,0.0000005s,N/A,N/A,6.25
Call,0.0007870s,N/A,N/A,"9,837.50",0.0055000,Put,0.0000005s,N/A,20,6.25
Call,0.0006870s,N/A,N/A,"8,587.50",0.0056000,Put,0.0000005s,N/A,11,6.25
Call,0.0006370s,N/A,N/A,"7,962.50",0.0056500,Put,0.0000005s,N/A,N/A,6.25
Call,0.0005870s,N/A,8,"7,337.50",0.0057000,Put,0.0000005s,N/A,36,6.25
Call,0.0005370s,N/A,N/A,"6,712.50",0.0057500,Put,0.0000005s,N/A,5,6.25
Call,0.0004880s,N/A,N/A,"6,100.00",0.0058000,Put,0.0000005s,N/A,817,6.25
Call,0.0004380s,N/A,N/A,"5,475.00",0.0058500,Put,0.0000005s,N/A,"2,613",6.25
Call,0.0003880s,N/A,N/A,"4,850.00",0.0059000,Put,0.0000005s,N/A,200,6.25
Call,0.0003380s,N/A,N/A,"4,225.00",0.0059500,Put,0.0000005s,N/A,667,6.25
Call,0.0002880s,N/A,N/A,"3,600.00",0.0060000,Put,0.0000005s,40,"3,312",6.25
Call,0.0002380s,N/A,2,"2,975.00",0.0060500,Put,0.0000005s,3,"2,735",6.25
Call,0.0002140s,N/A,N/A,"2,675.00",0.0060750,Put,0.0000005s,N/A,N/A,6.25
Call,0.0001890s,N/A,50,"2,362.50",0.0061000,Put,0.0000005s,1,"3,567",6.25
Call,0.0001640s,N/A,N/A,"2,050.00",0.0061250,Put,0.0000010s,N/A,N/A,12.50
Call,0.0001400s,N/A,577,"1,750.00",0.0061500,Put,0.0000020s,53,"2,529",25.00
Call,0.0001170s,N/A,N/A,"1,462.50",0.0061750,Put,0.0000035s,1,413,43.75
Call,0.0000950s,11,718,"1,187.50",0.0062000,Put,0.0000070s,498,"4,798",87.50
Call,0.0000770s,N/A,N/A,962.50,0.0062250,Put,0.0000140s,382,387,175.00
Call,0.0000610s,5,"1,009",762.50,0.0062500,Put,0.0000230s,37,"5,083",287.50
Call,0.0000480s,N/A,1,600.00,0.0062750,Put,0.0000350s,14,209,437.50
Call,0.0000380s,548,"2,706",475.00,0.0063000,Put,0.0000490s,18,"7,484",612.50
Call,0.0000300s,18,159,375.00,0.0063250,Put,0.0000660s,1,34,825.00
Call,0.0000240s,40,"4,349",300.00,0.0063500,Put,0.0000850s,N/A,"1,494","1,062.50"
Call,0.0000190s,19,233,237.50,0.0063750,Put,0.0001050s,N/A,N/A,"1,312.50"
Call,0.0000150s,759,"5,050",187.50,0.0064000,Put,0.0001260s,N/A,511,"1,575.00"
Call,0.0000120s,19,153,150.00,0.0064250,Put,0.0001480s,N/A,N/A,"1,850.00"
Call,0.0000100s,8,"2,047",125.00,0.0064500,Put,0.0001710s,N/A,170,"2,137.50"
Call,0.0000080s,3,320,100.00,0.0064750,Put,0.0001940s,N/A,N/A,"2,425.00"
Call,0.0000060s,"1,095","3,591",75.00,0.0065000,Put,0.0002170s,1,9,"2,712.50"
Call,0.0000050s,2,6,62.50,0.0065250,Put,0.0002410s,N/A,N/A,"3,012.50"
Call,0.0000045s,11,"3,271",56.25,0.0065500,Put,0.0002650s,N/A,47,"3,312.50"
Call,0.0000035s,N/A,4,43.75,0.0065750,Put,0.0002900s,N/A,N/A,"3,625.00"
Call,0.0000030s,4,"1,523",37.50,0.0066000,Put,0.0003140s,N/A,46,"3,925.00"
Call,0.0000020s,506,"1,477",25.00,0.0066500,Put,0.0003630s,N/A,13,"4,537.50"
Call,0.0000015s,N/A,"1,167",18.75,0.0067000,Put,0.0004120s,N/A,1,"5,150.00"
Call,0.0000010s,N/A,"2,590",12.50,0.0067500,Put,0.0004610s,N/A,11,"5,762.50"
Call,0.0000005s,N/A,"1,519",6.25,0.0068000,Put,0.0005110s,N/A,4,"6,387.50"
Call,0.0000005s,N/A,"1,033",6.25,0.0068500,Put,0.0005610s,N/A,10,"7,012.50"
Call,0.0000005s,N/A,97,6.25,0.0069000,Put,0.0006100s,N/A,2,"7,625.00"
Call,0.0000005s,N/A,536,6.25,0.0069500,Put,0.0006600s,N/A,5,"8,250.00"
Call,0.0000005s,1,727,6.25,0.0070000,Put,0.0007100s,N/A,1,"8,875.00"
Call,0.0000005s,N/A,9,6.25,0.0070500,Put,0.0007600s,N/A,N/A,"9,500.00"
Call,0.0000005s,N/A,157,6.25,0.0071000,Put,0.0008100s,N/A,N/A,"10,125.00"
Call,0.0000005s,N/A,19,6.25,0.0071500,Put,0.0008600s,N/A,N/A,"10,750.00"
Call,0.0000005s,N/A,40,6.25,0.0072000,Put,0.0009100s,N/A,N/A,"11,375.00"
Call,0.0000005s,N/A,2,6.25,0.0072500,Put,0.0009600s,N/A,N/A,"12,000.00"
Call,0.0000005s,N/A,5,6.25,0.0073000,Put,0.0010090s,N/A,N/A,"12,612.50"
Call,0.0000005s,N/A,16,6.25,0.0073500,Put,0.0010590s,N/A,N/A,"13,237.50"
