Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
0.0015850s,20.00%,0.9980,0.0000,0.0000,0.0000,+12.44%,Call,08/14/26,0.0047000,0.0000005s,20.00%,0.0000,0.0000,0.0000,0.0000,+12.44%,Put,08/14/26
0.0014850s,20.00%,0.9980,0.0000,0.0000,0.0000,+12.44%,Call,08/14/26,0.0048000,0.0000005s,20.00%,0.0000,0.0000,0.0000,0.0000,+12.44%,Put,08/14/26
0.0013860s,20.00%,0.9980,0.0004,0.0000,0.0000,+12.44%,Call,08/14/26,0.0049000,0.0000005s,20.00%,0.0000,0.0004,0.0000,0.0000,+12.44%,Put,08/14/26
0.0012860s,20.00%,0.9980,0.0041,0.0000,0.0000,+12.44%,Call,08/14/26,0.0050000,0.0000005s,20.00%,0.0000,0.0041,0.0000,0.0000,+12.44%,Put,08/14/26
0.0011860s,20.00%,0.9980,0.0331,0.0000,0.0000,+12.44%,Call,08/14/26,0.0051000,0.0000005s,20.00%,0.0000,0.0331,0.0000,0.0000,+12.44%,Put,08/14/26
0.0010860s,20.00%,0.9980,0.2155,0.0000,0.0000,+12.44%,Call,08/14/26,0.0052000,0.0000005s,20.00%,0.0000,0.2155,0.0000,0.0000,+12.44%,Put,08/14/26
0.0009860s,20.00%,0.9979,1.1349,0.0000,0.0000,+12.44%,Call,08/14/26,0.0053000,0.0000005s,20.00%,-0.0001,1.1349,0.0000,0.0000,+12.44%,Put,08/14/26
0.0008870s,20.00%,0.9976,4.8901,0.0000,0.0000,+12.44%,Call,08/14/26,0.0054000,0.0000005s,20.00%,-0.0004,4.8901,0.0000,0.0000,+12.44%,Put,08/14/26
0.0007870s,20.00%,0.9965,17.4246,0.0000,0.0000,+12.44%,Call,08/14/26,0.0055000,0.0000005s,20.00%,-0.0015,17.4246,0.0000,0.0000,+12.44%,Put,08/14/26
0.0006870s,20.00%,0.9929,51.8467,0.0000,0.0000,+12.44%,Call,08/14/26,0.0056000,0.0000005s,20.00%,-0.0052,51.8467,0.0000,0.0000,+12.44%,Put,08/14/26
0.0006370s,20.00%,0.9891,83.8293,0.0000,0.0000,+12.44%,Call,08/14/26,0.0056500,0.0000005s,20.00%,-0.0089,83.8293,0.0000,0.0000,+12.44%,Put,08/14/26
0.0005870s,20.00%,0.9833,130.0076,0.0000,0.0000,+12.44%,Call,08/14/26,0.0057000,0.0000005s,20.00%,-0.0147,130.0076,0.0000,0.0000,+12.44%,Put,08/14/26
0.0005370s,20.00%,0.9745,193.5965,0.0000,0.0000,+12.44%,Call,08/14/26,0.0057500,0.0000005s,20.00%,-0.0235,193.5965,0.0000,0.0000,+12.44%,Put,08/14/26
0.0004880s,20.00%,0.9618,277.0930,0.0000,0.0000,+12.44%,Call,08/14/26,0.0058000,0.0000005s,20.00%,-0.0363,277.0930,0.0000,0.0000,+12.44%,Put,08/14/26
0.0004380s,20.00%,0.9441,381.5772,0.0000,0.0000,+12.44%,Call,08/14/26,0.0058500,0.0000005s,20.00%,-0.0539,381.5772,0.0000,0.0000,+12.44%,Put,08/14/26
0.0003880s,20.00%,0.9204,506.0392,0.0000,0.0000,+12.44%,Call,08/14/26,0.0059000,0.0000005s,20.00%,-0.0776,506.0392,0.0000,0.0000,+12.44%,Put,08/14/26
