Strike,Open,High,Low,Latest,Change,Bid,Ask,Volume,"Open Int",Premium,"Last Trade",Type
0.0059500C,0,0.000498,0.000498,0.000498,-3.0E-5,0,0,,,6225,09/04/26,Call
0.0060000C,0,0.000449,0.000449,0.000449,-3.0E-5,0,0,,,5612.5,09/04/26,Call
0.0060500C,0,0.000399,0.000399,0.000399,-3.0E-5,0,0,,,4987.5,09/04/26,Call
0.0061000C,0,0.00035,0.00035,0.00035,-2.9E-5,0,0,,,4375,09/04/26,Call
0.0061500C,0,0.000301,0.000301,0.000301,-2.9E-5,0,0,,16,3762.5,09/04/26,Call
0.0062000C,0,0.000254,0.000254,0.000254,-2.9E-5,0,0,,3099,3175,09/04/26,Call
0.0062500C,0,0.000208,0.000208,0.000208,-2.9E-5,0,0,,210,2600,09/04/26,Call
0.0063000C,0,0.000165,0.000165,0.000165,-3.0E-5,0,0,31,1183,2062.5,09/04/26,Call
0.0063500C,0.000128,0.000128,0.000128,0.000128,-2.9E-5,0,0,5,418,1600,09/04/26,Call
0.0064000C,0.00012,0.000125,9.8E-5,9.8E-5,-2.6E-5,0,0,47,1799,1225,09/04/26,Call
0.0064500C,7.6E-5,7.9E-5,7.5E-5,7.5E-5,-2.2E-5,0,0,97,1100,937.5,09/04/26,Call
0.0065000C,5.9E-5,6.9E-5,5.6E-5,5.7E-5,-2.0E-5,0,0,50,3165,712.5,09/04/26,Call
0.0065500C,4.4E-5,5.3E-5,4.3E-5,4.6E-5,-1.5E-5,8.0E-6,9.8E-5,127,1370,575,09/04/26,Call
0.0066000C,3.5E-5,3.7E-5,3.2E-5,3.4E-5,-1.4E-5,5.0E-6,6.1E-5,1045,1330,425,09/04/26,Call
0.0066500C,2.7E-5,3.2E-5,2.5E-5,2.5E-5,-1.4E-5,5.0E-6,0,866,1502,312.5,09/04/26,Call
0.0067000C,2.3E-5,2.3E-5,1.9E-5,2.0E-5,-1.1E-5,1.5E-5,3.6E-5,67,1309,250,09/04/26,Call
0.0067500C,1.5E-5,1.5E-5,1.5E-5,1.5E-5,-1.0E-5,0,0,14,76,187.5,09/04/26,Call
0.0068000C,1.0E-5,1.1E-5,1.0E-5,1.0E-5,-1.0E-5,0,1.3E-5,516,616,125,09/04/26,Call
0.0068500C,9.0E-6,9.0E-6,8.0E-6,8.0E-6,-8.0E-6,0,0,22,138,100,09/04/26,Call
0.0069000C,0,7.0E-6,7.0E-6,7.0E-6,-6.0E-6,0,0,,223,87.5,09/04/26,Call
0.0059500P,0,5.0E-7,5.0E-7,5.0E-7,0,0,0,,39,6.25,09/04/26,Put
0.0060000P,0,5.0E-7,5.0E-7,5.0E-7,0,0,0,,185,6.25,09/04/26,Put
0.0060500P,0,5.0E-7,5.0E-7,5.0E-7,0,0,0,,260,6.25,09/04/26,Put
0.0061000P,0,1.0E-6,1.0E-6,1.0E-6,0,0,0,10,3368,12.5,09/04/26,Put
0.0061500P,1.5E-6,2.0E-6,1.5E-6,2.0E-6,5.0E-7,0,0,89,1766,25,09/03/26,Put
0.0062000P,5.0E-6,5.0E-6,4.0E-6,5.0E-6,1.0E-6,0,0,40,2812,62.5,09/04/26,Put
0.0062500P,8.0E-6,9.0E-6,8.0E-6,9.0E-6,1.0E-6,0,0,23,1838,112.5,09/04/26,Put
0.0063000P,1.5E-5,1.6E-5,1.5E-5,1.6E-5,1.0E-6,0,0,527,3199,200,09/04/26,Put
0.0063500P,2.7E-5,2.8E-5,2.6E-5,2.8E-5,1.0E-6,0,0,61,847,350,09/04/26,Put
0.0064000P,4.6E-5,4.8E-5,4.5E-5,4.8E-5,4.0E-6,0,0,327,1863,600,09/04/26,Put
0.0064500P,8.0E-5,8.0E-5,6.6E-5,7.5E-5,8.0E-6,0,0,474,732,937.5,09/04/26,Put
0.0065000P,0,0.000107,0.000107,0.000107,1.1E-5,0,0,,33,1337.5,09/04/26,Put
0.0065500P,0.000138,0.000143,0.000138,0.000143,1.3E-5,0,0,1,1602,1787.5,09/04/26,Put
0.0066000P,0,0.000182,0.000182,0.000182,1.4E-5,0,0,,53,2275,09/04/26,Put
0.0066500P,0,0.000224,0.000224,0.000224,1.6E-5,0,0,,1,2800,09/04/26,Put
0.0067000P,0,0.000268,0.000268,0.000268,1.7E-5,0,0,,,3350,09/04/26,Put
0.0067500P,0,0.000313,0.000313,0.000313,1.9E-5,0,0,,9,3912.5,09/04/26,Put
0.0068000P,0,0.00036,0.00036,0.00036,2.1E-5,0,0,,83,4500,09/04/26,Put
0.0068500P,0,0.000407,0.000407,0.000407,2.2E-5,0,0,,,5087.5,09/04/26,Put
0.0069000P,0,0.000455,0.000455,0.000455,2.4E-5,0,0,,1,5687.5,09/04/26,Put
"Downloaded from Barchart.com as of 09-06-2026 04:29pm CDT"
