Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
0.0017440s,20.00%,0.9965,0.0008,0.0000,0.0000,+9.95%,Call,09/04/26,0.0047000,0.0000005s,20.00%,0.0000,0.0008,0.0000,0.0000,+9.95%,Put,09/04/26
0.0016440s,20.00%,0.9965,0.0051,0.0000,0.0000,+9.95%,Call,09/04/26,0.0048000,0.0000005s,20.00%,0.0000,0.0051,0.0000,0.0000,+9.95%,Put,09/04/26
0.0015450s,20.00%,0.9965,0.0260,0.0000,0.0000,+9.95%,Call,09/04/26,0.0049000,0.0000005s,20.00%,0.0000,0.0260,0.0000,0.0000,+9.95%,Put,09/04/26
0.0014450s,20.00%,0.9965,0.1153,0.0000,0.0000,+9.95%,Call,09/04/26,0.0050000,0.0000005s,20.00%,0.0000,0.1153,0.0000,0.0000,+9.95%,Put,09/04/26
0.0013450s,20.00%,0.9965,0.4447,0.0000,0.0000,+9.95%,Call,09/04/26,0.0051000,0.0000005s,20.00%,0.0000,0.4447,0.0000,0.0000,+9.95%,Put,09/04/26
0.0012460s,20.00%,0.9964,1.5041,0.0000,0.0000,+9.95%,Call,09/04/26,0.0052000,0.0000005s,20.00%,-0.0002,1.5041,0.0000,0.0000,+9.95%,Put,09/04/26
0.0011460s,20.00%,0.9960,4.4915,0.0000,0.0000,+9.95%,Call,09/04/26,0.0053000,0.0000005s,20.00%,-0.0005,4.4915,0.0000,0.0000,+9.95%,Put,09/04/26
0.0010460s,20.00%,0.9951,11.9200,0.0000,0.0000,+9.95%,Call,09/04/26,0.0054000,0.0000005s,20.00%,-0.0014,11.9200,0.0000,0.0000,+9.95%,Put,09/04/26
0.0009470s,20.00%,0.9928,28.2858,0.0000,0.0000,+9.95%,Call,09/04/26,0.0055000,0.0000005s,20.00%,-0.0037,28.2858,0.0000,0.0000,+9.95%,Put,09/04/26
0.0008470s,20.00%,0.9879,60.3606,0.0000,0.0000,+9.95%,Call,09/04/26,0.0056000,0.0000005s,20.00%,-0.0086,60.3606,0.0000,0.0000,+9.95%,Put,09/04/26
0.0007970s,20.00%,0.9838,84.8764,0.0000,0.0000,+9.95%,Call,09/04/26,0.0056500,0.0000005s,20.00%,-0.0128,84.8764,0.0000,0.0000,+9.95%,Put,09/04/26
0.0007470s,20.00%,0.9781,116.4534,0.0000,0.0000,+9.95%,Call,09/04/26,0.0057000,0.0000005s,20.00%,-0.0184,116.4534,0.0000,0.0000,+9.95%,Put,09/04/26
0.0006980s,20.00%,0.9704,155.9973,0.0000,0.0000,+9.95%,Call,09/04/26,0.0057500,0.0000005s,20.00%,-0.0261,155.9973,0.0000,0.0000,+9.95%,Put,09/04/26
0.0006480s,20.00%,0.9604,204.1463,0.0000,0.0000,+9.95%,Call,09/04/26,0.0058000,0.0000005s,20.00%,-0.0361,204.1463,0.0000,0.0000,+9.95%,Put,09/04/26
0.0005980s,20.00%,0.9476,261.1419,0.0000,0.0000,+9.95%,Call,09/04/26,0.0058500,0.0000005s,20.00%,-0.0489,261.1419,0.0000,0.0000,+9.95%,Put,09/04/26
0.0005480s,10.05%,0.9950,25.1870,0.0000,0.0000,unch,Call,09/04/26,0.0059000,0.0000005s,10.05%,-0.0015,25.1870,0.0000,0.0000,unch,Put,09/04/26
0.0004980s,10.05%,0.9929,55.4347,0.0000,0.0000,unch,Call,09/04/26,0.0059500,0.0000005s,10.05%,-0.0036,55.4347,0.0000,0.0000,unch,Put,09/04/26
0.0004490s,10.05%,0.9885,112.2215,0.0000,0.0000,unch,Call,09/04/26,0.0060000,0.0000005s,10.05%,-0.0080,112.2215,0.0000,0.0000,unch,Put,09/04/26
0.0003990s,10.05%,0.9801,209.3811,0.0000,0.0000,unch,Call,09/04/26,0.0060500,0.0000005s,10.05%,-0.0164,209.3811,0.0000,0.0000,unch,Put,09/04/26
0.0003500s,10.05%,0.9653,360.7603,0.0000,0.0000,unch,Call,09/04/26,0.0061000,0.0000010s,10.05%,-0.0312,360.7603,0.0000,0.0000,unch,Put,09/04/26
0.0003010s,10.05%,0.9409,575.1059,0.0000,0.0000,unch,Call,09/04/26,0.0061500,0.0000020s,10.05%,-0.0556,575.1059,0.0000,0.0000,unch,Put,09/03/26
0.0002540s,10.05%,0.9040,849.8218,0.0000,0.0000,unch,Call,09/04/26,0.0062000,0.0000050s,10.05%,-0.0926,849.8218,0.0000,0.0000,unch,Put,09/04/26
0.0002080s,10.05%,0.8519,"1,166.1076",0.0000,0.0000,unch,Call,09/04/26,0.0062500,0.0000090s,10.05%,-0.1446,"1,166.1076",0.0000,0.0000,unch,Put,09/04/26
0.0001650s,10.05%,0.7836,"1,488.4604",0.0000,0.0000,unch,Call,09/04/26,0.0063000,0.0000160s,10.05%,-0.2129,"1,488.4604",0.0000,0.0000,unch,Put,09/04/26
0.0001280s,10.05%,0.7003,"1,770.3501",0.0000,0.0000,unch,Call,09/04/26,0.0063500,0.0000280s,10.05%,-0.2963,"1,770.3501",0.0000,0.0000,unch,Put,09/04/26
0.0000980s,10.05%,0.6053,"1,965.2538",0.0000,0.0000,unch,Call,09/04/26,0.0064000,0.0000480s,10.05%,-0.3912,"1,965.2538",0.0000,0.0000,unch,Put,09/04/26
0.0000750s,10.05%,0.5043,"2,039.4343",0.0000,0.0000,unch,Call,09/04/26,0.0064500,0.0000750s,10.05%,-0.4923,"2,039.4343",0.0000,0.0000,unch,Put,09/04/26
0.0000570s,10.05%,0.4036,"1,981.5584",0.0000,0.0000,unch,Call,09/04/26,0.0065000,0.0001070s,10.05%,-0.5929,"1,981.5584",0.0000,0.0000,unch,Put,09/04/26
0.0000460s,10.05%,0.3096,"1,805.3677",0.0000,0.0000,unch,Call,09/04/26,0.0065500,0.0001430s,10.05%,-0.6870,"1,805.3677",0.0000,0.0000,unch,Put,09/04/26
0.0000340s,10.05%,0.2271,"1,544.6261",0.0000,0.0000,unch,Call,09/04/26,0.0066000,0.0001820s,10.05%,-0.7694,"1,544.6261",0.0000,0.0000,unch,Put,09/04/26
0.0000250s,10.05%,0.1592,"1,242.7956",0.0000,0.0000,unch,Call,09/04/26,0.0066500,0.0002240s,10.05%,-0.8373,"1,242.7956",0.0000,0.0000,unch,Put,09/04/26
0.0000200s,10.05%,0.1065,941.6668,0.0000,0.0000,unch,Call,09/04/26,0.0067000,0.0002680s,10.05%,-0.8900,941.6668,0.0000,0.0000,unch,Put,09/04/26
0.0000150s,10.05%,0.0680,672.8253,0.0000,0.0000,unch,Call,09/04/26,0.0067500,0.0003130s,10.05%,-0.9286,672.8253,0.0000,0.0000,unch,Put,09/04/26
0.0000100s,10.05%,0.0414,453.9261,0.0000,0.0000,unch,Call,09/04/26,0.0068000,0.0003600s,10.05%,-0.9552,453.9261,0.0000,0.0000,unch,Put,09/04/26
0.0000080s,10.05%,0.0240,289.5348,0.0000,0.0000,unch,Call,09/04/26,0.0068500,0.0004070s,10.05%,-0.9725,289.5348,0.0000,0.0000,unch,Put,09/04/26
0.0000070s,10.05%,0.0133,174.8192,0.0000,0.0000,unch,Call,09/04/26,0.0069000,0.0004550s,10.05%,-0.9832,174.8192,0.0000,0.0000,unch,Put,09/04/26
0.0000050s,10.05%,0.0070,100.0405,0.0000,0.0000,unch,Call,09/04/26,0.0069500,0.0005030s,10.05%,-0.9895,100.0405,0.0000,0.0000,unch,Put,09/04/26
0.0000040s,10.05%,0.0035,54.3217,0.0000,0.0000,unch,Call,09/04/26,0.0070000,0.0005520s,10.05%,-0.9930,54.3217,0.0000,0.0000,unch,Put,09/04/26
0.0000030s,20.00%,0.0734,358.7256,0.0000,0.0000,+9.95%,Call,09/04/26,0.0070500,0.0006010s,20.00%,-0.9231,358.7256,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000025s,20.00%,0.0584,300.4757,0.0000,0.0000,+9.95%,Call,09/04/26,0.0071000,0.0006500s,20.00%,-0.9381,300.4757,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000020s,20.00%,0.0460,248.5773,0.0000,0.0000,+9.95%,Call,09/04/26,0.0071500,0.0007000s,20.00%,-0.9505,248.5773,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000015s,20.00%,0.0359,203.1586,0.0000,0.0000,+9.95%,Call,09/04/26,0.0072000,0.0007490s,20.00%,-0.9606,203.1586,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000010s,20.00%,0.0277,164.0755,0.0000,0.0000,+9.95%,Call,09/04/26,0.0072500,0.0007980s,20.00%,-0.9688,164.0755,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000010s,20.00%,0.0212,130.9779,0.0000,0.0000,+9.95%,Call,09/04/26,0.0073000,0.0008480s,20.00%,-0.9753,130.9779,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0160,103.3727,0.0000,0.0000,+9.95%,Call,09/04/26,0.0073500,0.0008970s,20.00%,-0.9805,103.3727,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0120,80.6810,0.0000,0.0000,+9.95%,Call,09/04/26,0.0074000,0.0009470s,20.00%,-0.9845,80.6810,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0089,62.2871,0.0000,0.0000,+9.95%,Call,09/04/26,0.0074500,0.0009960s,20.00%,-0.9876,62.2871,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0066,47.5757,0.0000,0.0000,+9.95%,Call,09/04/26,0.0075000,0.0010460s,20.00%,-0.9899,47.5757,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0035,26.9046,0.0000,0.0000,+9.95%,Call,09/04/26,0.0076000,0.0011460s,20.00%,-0.9930,26.9046,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0018,14.6167,0.0000,0.0000,+9.95%,Call,09/04/26,0.0077000,0.0012460s,20.00%,-0.9947,14.6167,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0009,7.6413,0.0000,0.0000,+9.95%,Call,09/04/26,0.0078000,0.0013450s,20.00%,-0.9956,7.6413,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0004,3.8500,0.0000,0.0000,+9.95%,Call,09/04/26,0.0079000,0.0014450s,20.00%,-0.9961,3.8500,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0002,1.8723,0.0000,0.0000,+9.95%,Call,09/04/26,0.0080000,0.0015450s,20.00%,-0.9963,1.8723,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0001,0.8801,0.0000,0.0000,+9.95%,Call,09/04/26,0.0081000,0.0016440s,20.00%,-0.9964,0.8801,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0000,0.4004,0.0000,0.0000,+9.95%,Call,09/04/26,0.0082000,0.0017440s,20.00%,-0.9965,0.4004,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0000,0.1766,0.0000,0.0000,+9.95%,Call,09/04/26,0.0083000,0.0018430s,20.00%,-0.9965,0.1766,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0000,0.0755,0.0000,0.0000,+9.95%,Call,09/04/26,0.0084000,0.0019430s,20.00%,-0.9965,0.0755,0.0000,0.0000,+9.95%,Put,09/04/26
0.0000005s,20.00%,0.0000,0.0314,0.0000,0.0000,+9.95%,Call,09/04/26,0.0085000,0.0020430s,20.00%,-0.9965,0.0314,0.0000,0.0000,+9.95%,Put,09/04/26
"Downloaded from Barchart.com as of 09-06-2026 04:30pm CDT"
