Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,214.30s,N/A,N/A,"80,362.50",100.00,Put,0.01s,N/A,26,3.75
Call,204.30s,N/A,N/A,"76,612.50",110.00,Put,0.01s,N/A,50,3.75
Call,194.30s,N/A,N/A,"72,862.50",120.00,Put,0.01s,N/A,96,3.75
Call,189.30s,N/A,N/A,"70,987.50",125.00,Put,0.01s,N/A,236,3.75
Call,184.30s,N/A,N/A,"69,112.50",130.00,Put,0.02s,N/A,35,7.50
Call,179.30s,N/A,N/A,"67,237.50",135.00,Put,0.03s,N/A,40,11.25
Call,174.30s,N/A,N/A,"65,362.50",140.00,Put,0.03s,N/A,60,11.25
Call,169.30s,N/A,N/A,"63,487.50",145.00,Put,0.05s,N/A,50,18.75
Call,166.80s,N/A,N/A,"62,550.00",147.50,Put,0.05s,N/A,50,18.75
Call,164.30s,N/A,N/A,"61,612.50",150.00,Put,0.06s,30,"2,967",22.50
Call,161.80s,N/A,N/A,"60,675.00",152.50,Put,0.07s,N/A,2,26.25
Call,159.30s,N/A,N/A,"59,737.50",155.00,Put,0.07s,N/A,46,26.25
Call,156.80s,N/A,N/A,"58,800.00",157.50,Put,0.08s,N/A,14,30.00
Call,154.30s,N/A,N/A,"57,862.50",160.00,Put,0.10s,N/A,"1,045",37.50
Call,151.80s,N/A,N/A,"56,925.00",162.50,Put,0.11s,N/A,11,41.25
Call,149.30s,N/A,N/A,"55,987.50",165.00,Put,0.12s,N/A,523,45.00
Call,146.80s,N/A,N/A,"55,050.00",167.50,Put,0.13s,N/A,47,48.75
Call,144.30s,N/A,N/A,"54,112.50",170.00,Put,0.15s,N/A,569,56.25
Call,141.80s,N/A,12,"53,175.00",172.50,Put,0.17s,N/A,20,63.75
Call,139.30s,N/A,N/A,"52,237.50",175.00,Put,0.19s,N/A,"1,177",71.25
Call,136.80s,N/A,N/A,"51,300.00",177.50,Put,0.21s,N/A,2,78.75
Call,134.30s,N/A,12,"50,362.50",180.00,Put,0.23s,N/A,"1,295",86.25
Call,131.81s,N/A,N/A,"49,428.75",182.50,Put,0.26s,N/A,19,97.50
Call,129.32s,N/A,N/A,"48,495.00",185.00,Put,0.29s,N/A,43,108.75
