Strike,Type,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Time
100.00,Call,222.65,0.00%,0.99158495335227,1.8118012894719E-9,-4.6040846774399E-8,1.9425742434643E-7,-45.07%,08/21/26
110.00,Call,212.65,0.00%,0.99158473413836,1.7862685735606E-8,-4.6217263134408E-7,1.9151986164663E-6,-45.07%,08/21/26
120.00,Call,202.65,0.00%,0.99158318996744,1.2223015286995E-7,-3.2155541066153E-6,1.3105253215106E-5,-45.07%,08/21/26
125.00,Call,197.65,0.00%,0.99158064687948,2.8531594104468E-7,-7.5652122726128E-6,3.0590959480148E-5,-45.07%,08/21/26
130.00,Call,192.65,0.00%,0.99157515545921,6.2340590866399E-7,-1.6655996843904E-5,6.684023620201E-5,-45.07%,08/21/26
135.00,Call,187.65,0.00%,0.99156399559654,1.2829456563429E-6,-3.4531034885827E-5,0.00013755466464551,-45.07%,08/21/26
140.00,Call,182.65,0.00%,0.99154253196142,2.5003536740232E-6,-6.7781373936699E-5,0.00026808252510541,-45.07%,08/21/26
145.00,Call,177.65,96.31%,0.96847104505174,0.00037328136658325,-0.048877967640552,0.083056449108917,+51.24%,08/21/26
147.50,Call,175.15,94.22%,0.96823563120354,0.00038483912985071,-0.04820668772597,0.083767639102024,+49.15%,08/21/26
150.00,Call,172.65,92.16%,0.96800157695389,0.00039673387831509,-0.047533470994732,0.084473206413368,+47.10%,08/21/26
152.50,Call,170.15,90.15%,0.96776931904697,0.00040897599149195,-0.046857342699504,0.085171877467158,+45.08%,08/21/26
155.00,Call,167.65,88.16%,0.96753821216681,0.00042158711118262,-0.046179782429582,0.085865633619148,+43.09%,08/21/26
157.50,Call,165.15,86.21%,0.96730869520854,0.00043457934861336,-0.045499836140884,0.08655319469465,+41.14%,08/21/26
160.00,Call,162.65,84.29%,0.9670805246155,0.0004479725226077,-0.044818060009241,0.087235328689198,+39.22%,08/21/26
162.50,Call,160.15,82.40%,0.96685365811665,0.00046178561960085,-0.044134557842701,0.087912196967067,+37.34%,08/21/26
165.00,Call,157.65,80.55%,0.96662811305993,0.0004760381965265,-0.043449312242357,0.088583781836785,+35.48%,08/21/26
167.50,Call,155.15,78.72%,0.96640379236896,0.00049075233053954,-0.042762533032777,0.089250405048108,+33.65%,08/21/26
170.00,Call,152.65,76.92%,0.96618083297701,0.00050594892858178,-0.042073977469629,0.089911692070149,+31.85%,08/21/26
172.50,Call,150.15,75.15%,0.96595906490727,0.00052165379664266,-0.041383992060901,0.090568178543097,+30.08%,08/21/26
175.00,Call,147.65,73.41%,0.96573835173024,0.00053789413594481,-0.040692835015211,0.091220296633136,+28.34%,08/21/26
177.50,Call,145.15,71.69%,0.96551900630667,0.00055469363945947,-0.03999996518003,0.091867151212291,+26.62%,08/21/26
180.00,Call,142.65,70.00%,0.96530058765241,0.0005720868777691,-0.039306172482265,0.092510070418708,+24.93%,08/21/26
182.50,Call,140.15,68.33%,0.96508352692631,0.00059010000058295,-0.038610738446824,0.093147812196898,+23.26%,08/21/26
185.00,Call,137.66,66.79%,0.96470831914927,0.000610820404937,-0.038169097681941,0.094247451336267,+21.72%,08/21/26
187.50,Call,135.17,65.27%,0.96432628592947,0.00063242452029559,-0.037725508196831,0.095363548572352,+20.20%,08/21/26
190.00,Call,132.68,63.77%,0.96393677910094,0.0006549706737249,-0.037280349979468,0.096497839663034,+18.70%,08/21/26
192.50,Call,130.19,62.30%,0.96353887333219,0.00067852538122658,-0.036834332371657,0.097652839094899,+17.23%,08/21/26
195.00,Call,127.71,60.94%,0.96295881715583,0.00070554818524995,-0.036637862190771,0.099329867240095,+15.87%,08/21/26
197.50,Call,125.23,59.60%,0.96236131061598,0.0007339098553882,-0.036438987051429,0.10104916546126,+14.53%,08/21/26
200.00,Call,122.75,58.27%,0.96174644119554,0.00076368703566549,-0.036236195837298,0.10280990388618,+13.20%,08/21/26
202.50,Call,120.28,57.06%,0.96092822942543,0.00079763375286865,-0.036277482513178,0.10513978213182,+11.99%,08/21/26
205.00,Call,117.82,55.94%,0.95989540923767,0.00083608174348056,-0.036557938461283,0.10805979698624,+10.88%,08/21/26
207.50,Call,115.36,54.84%,0.95882864596207,0.00087657002424041,-0.036826902784608,0.11105183770395,+9.77%,08/21/26
210.00,Call,112.9,53.74%,0.95772576602992,0.00091924756406045,-0.037084697827379,0.11412029196979,+8.67%,08/21/26
212.50,Call,110.46,52.81%,0.95619670148904,0.00096990554260516,-0.037804742382475,0.11833388221248,+7.74%,08/21/26
215.00,Call,108.02,51.88%,0.95461864984602,0.0010232043991681,-0.03850169970507,0.12263460776868,+6.81%,08/21/26
217.50,Call,105.58,50.94%,0.95298909914477,0.0010793332086676,-0.039175195544874,0.1270264585926,+5.87%,08/21/26
220.00,Call,103.16,50.15%,0.95090996413654,0.0011440928456948,-0.040276582946235,0.13256007877447,+5.08%,08/21/26
222.50,Call,100.74,49.35%,0.94876887019858,0.0012120666880715,-0.041339148366211,0.13817986990972,+4.28%,08/21/26
225.00,Call,98.33,48.60%,0.94636398436048,0.0012862056759477,-0.042580077076035,0.1444007711999,+3.53%,08/21/26
227.50,Call,95.93,47.89%,0.94369033516049,0.001366633231253,-0.043986787425862,0.15120841577824,+2.82%,08/21/26
230.00,Call,93.54,47.23%,0.94074372858724,0.0014534466225556,-0.045546065667789,0.15858469152736,+2.16%,08/21/26
232.50,Call,91.17,46.66%,0.93732566542337,0.0015491394722106,-0.047446276396446,0.16698302272149,+1.59%,08/21/26
235.00,Call,88.81,46.11%,0.93363134084585,0.0016511203324486,-0.049460857827356,0.17587852669348,+1.04%,08/21/26
237.50,Call,86.47,45.63%,0.92946741828508,0.0017615649660706,-0.051767358849797,0.18569020171778,+0.56%,08/21/26
240.00,Call,84.15,45.21%,0.92483952101658,0.0018800458743922,-0.054335159184163,0.19634240022226,+0.14%,08/21/26
242.50,Call,81.85,44.83%,0.91975443748132,0.0020060940040491,-0.057134089083746,0.20775667313737,-0.24%,08/21/26
245.00,Call,79.57,44.49%,0.91422076488699,0.0021392137934273,-0.060133593296331,0.2198514792109,-0.58%,08/21/26
247.50,Call,77.32,44.21%,0.90807176027021,0.0022802835279661,-0.063472022742012,0.23291427197423,-0.86%,08/21/26
250.00,Call,75.09,43.96%,0.90150021796242,0.0024270544663028,-0.066941984703359,0.24646036506852,-1.11%,08/21/26
252.50,Call,72.89,43.75%,0.89435048754742,0.0025800109358182,-0.070671566897639,0.26073892278908,-1.32%,08/21/26
255.00,Call,70.72,43.57%,0.88664652216678,0.0027381056937086,-0.074617853899003,0.27561774493998,-1.50%,08/21/26
257.50,Call,68.58,43.43%,0.87841199591187,0.0029003467773333,-0.078740372395763,0.29097150908427,-1.64%,08/21/26
260.00,Call,66.47,43.30%,0.869670658333,0.0030658085529108,-0.083000435228058,0.30668141398785,-1.77%,08/21/26
262.50,Call,64.4,43.22%,0.86030582536924,0.0032336825312,-0.087493001509585,0.32287358223129,-1.85%,08/21/26
265.00,Call,62.36,43.15%,0.8504907997347,0.0034027429373591,-0.092042988087816,0.33917079794477,-1.92%,08/21/26
267.50,Call,60.37,43.13%,0.83999476433777,0.0035715758315645,-0.096859571437752,0.35587311796823,-1.94%,08/21/26
270.00,Call,58.41,43.11%,0.82911418377233,0.0037395493195306,-0.10165483525085,0.3724324245682,-1.96%,08/21/26
272.50,Call,56.5,43.13%,0.81764332433864,0.0039046908234434,-0.10662356548302,0.38909509922853,-1.94%,08/21/26
275.00,Call,54.63,43.17%,0.80574366103629,0.0040664517888467,-0.11161049118819,0.40555508481803,-1.90%,08/21/26
277.50,Call,52.8,43.22%,0.79345006140848,0.0042240218676565,-0.11658307067938,0.42171283753824,-1.85%,08/21/26
280.00,Call,51.02,43.29%,0.7807056734679,0.0043754697094917,-0.12160825606391,0.43758907305343,-1.78%,08/21/26
282.50,Call,49.28,43.37%,0.76764636995008,0.0045211127934023,-0.12655547892711,0.45296799512787,-1.70%,08/21/26
285.00,Call,47.58,43.45%,0.75430236543874,0.0046604292458501,-0.13140192529858,0.46778361450772,-1.62%,08/21/26
287.50,Call,45.92,43.53%,0.74070315151664,0.0047929708172277,-0.13612679793897,0.48197768839432,-1.54%,08/21/26
290.00,Call,44.31,43.63%,0.7268137865872,0.0049166494443238,-0.1407946914199,0.49555949032053,-1.44%,08/21/26
292.50,Call,42.74,43.73%,0.7127378679205,0.0050326336076257,-0.14530127995847,0.50840602976064,-1.34%,08/21/26
295.00,Call,41.21,43.83%,0.69850154686223,0.0051406523839085,-0.14963359344287,0.52048304642015,-1.24%,08/21/26
297.50,Call,39.73,43.94%,0.68408725806273,0.0052385550479965,-0.15385485275845,0.5317943840355,-1.13%,08/21/26
300.00,Call,38.28,44.04%,0.66961299420645,0.0053299365273132,-0.15780460473249,0.5422443746256,-1.03%,08/21/26
302.50,Call,36.88,44.15%,0.65502317004313,0.0054107525941485,-0.16162234427581,0.55187435731214,-0.92%,08/21/26
305.00,Call,35.51,44.24%,0.6404098230344,0.0054848981621665,-0.16515978514791,0.5606264839455,-0.83%,08/21/26
307.50,Call,34.19,44.36%,0.62574170178977,0.0055481894680495,-0.16855177989038,0.56852633752249,-0.71%,08/21/26
310.00,Call,32.91,44.47%,0.61107338462143,0.0056026183017365,-0.17172575091939,0.57555186017667,-0.60%,08/21/26
312.50,Call,31.67,44.58%,0.59642860228613,0.0056481670578563,-0.17468106130455,0.58170442243897,-0.49%,08/21/26
315.00,Call,30.47,44.69%,0.58183109295137,0.0056848496454317,-0.17741840824183,0.58698935716074,-0.37%,08/21/26
317.50,Call,29.31,44.81%,0.56730459622636,0.005712709650792,-0.17993986817679,0.59141591877044,-0.26%,08/21/26
320.00,Call,28.19,44.93%,0.55287291845882,0.0057318086848788,-0.18224922312054,0.59499722729795,-0.14%,08/21/26
322.50,Call,27.12,45.08%,0.53857517330002,0.0057400845239865,-0.18441364577263,0.59774773649995,+0.01%,08/21/26
325.00,Call,26.08,45.21%,0.52441021955804,0.0057419996509458,-0.18631482993152,0.59969348904731,+0.14%,08/21/26
327.50,Call,25.08,45.35%,0.51041196459503,0.0057355416521348,-0.1880230912925,0.60085688289597,+0.28%,08/21/26
330.00,Call,24.11,45.48%,0.49657380469762,0.0057229970942988,-0.1894853775769,0.60126635584091,+0.41%,08/21/26
332.50,Call,23.18,45.62%,0.48294078043659,0.005702430527397,-0.19077349755788,0.60095019660971,+0.55%,08/21/26
335.00,Call,22.29,45.77%,0.46953750895786,0.005674080942385,-0.19189866120323,0.59994276516379,+0.70%,08/21/26
337.50,Call,21.42,45.90%,0.45629787378751,0.0056421996835237,-0.19274694038402,0.59826840993383,+0.83%,08/21/26
340.00,Call,20.59,46.04%,0.44331852024041,0.0056029338557278,-0.19345600818004,0.59596987005856,+0.97%,08/21/26
342.50,Call,19.8,46.20%,0.43062466832781,0.0055565941641877,-0.19404031761854,0.59309020142146,+1.13%,08/21/26
345.00,Call,19.03,46.34%,0.41812323905781,0.0055072288957316,-0.19438413410326,0.58964068681587,+1.28%,08/21/26
347.50,Call,18.29,46.49%,0.40587658359422,0.0054530940691643,-0.19456503628738,0.58566770121984,+1.42%,08/21/26
350.00,Call,17.58,46.64%,0.39389720526562,0.005394416267366,-0.19459697122745,0.58120901432874,+1.57%,08/21/26
352.50,Call,16.89,46.77%,0.38212623966801,0.0053331148512019,-0.19442551303228,0.57627225858897,+1.70%,08/21/26
355.00,Call,16.23,46.91%,0.37064063179894,0.00526764326124,-0.19413229778051,0.57091975096293,+1.84%,08/21/26
357.50,Call,15.59,47.05%,0.35937416041579,0.0051998257000248,-0.19366091853937,0.56515072027613,+1.98%,08/21/26
360.00,Call,14.97,47.17%,0.34832922844483,0.0051297475875577,-0.19302308007282,0.55899144470788,+2.10%,08/21/26
362.50,Call,14.38,47.30%,0.33759670140953,0.0050560781658824,-0.19230568086863,0.55252341283777,+2.23%,08/21/26
365.00,Call,13.81,47.43%,0.32709969123133,0.0049804862142677,-0.19144867761982,0.5457314291563,+2.36%,08/21/26
367.50,Call,13.26,47.55%,0.31684228586819,0.0049030857247605,-0.19046445509317,0.5386438786666,+2.48%,08/21/26
370.00,Call,12.73,47.67%,0.30682870728718,0.004824005741943,-0.18936525599201,0.53128951153017,+2.60%,08/21/26
372.50,Call,12.22,47.79%,0.29706410515569,0.0047433793673854,-0.18816390214697,0.52369812176525,+2.72%,08/21/26
375.00,Call,11.73,47.91%,0.28755410205204,0.0046613510254227,-0.18687346691398,0.51590037297098,+2.84%,08/21/26
377.50,Call,11.26,48.02%,0.27830406263528,0.0045780831252131,-0.18550675120217,0.50792725583258,+2.96%,08/21/26
380.00,Call,10.8,48.12%,0.26920669429106,0.004494658602705,-0.18398779959346,0.49970613764978,+3.05%,08/21/26
