Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
0.05s,0.00%,0.9942,0.0000,0.0000,0.0000,-39.85%,Call,09/18/26,90.00,619.50s,0.00%,0.0000,0.0000,0.0000,0.0000,-39.85%,Put,09/18/26
180.50s,0.00%,0.9942,0.0000,0.0000,0.0000,-39.85%,Call,09/18/26,100.00,0.01s,85.51%,-0.0004,0.0000,-0.0012,0.0015,+45.66%,Put,09/18/26
170.50s,0.00%,0.9942,0.0000,0.0000,0.0000,-39.85%,Call,09/18/26,110.00,0.01s,77.90%,-0.0004,0.0000,-0.0011,0.0016,+38.05%,Put,09/18/26
160.50s,0.00%,0.9942,0.0000,0.0000,0.0000,-39.85%,Call,09/18/26,120.00,0.01s,70.95%,-0.0005,0.0000,-0.0011,0.0018,+31.10%,Put,09/18/26
155.50s,0.00%,0.9942,0.0000,0.0000,0.0000,-39.85%,Call,09/18/26,125.00,0.02s,71.69%,-0.0009,0.0000,-0.0021,0.0032,+31.84%,Put,09/18/26
150.50s,0.00%,0.9942,0.0000,0.0000,0.0000,-39.85%,Call,09/18/26,130.00,0.02s,68.39%,-0.0009,0.0000,-0.0020,0.0034,+28.54%,Put,09/18/26
145.50s,0.00%,0.9942,0.0000,0.0000,0.0001,-39.85%,Call,09/18/26,135.00,0.03s,67.64%,-0.0014,0.0001,-0.0029,0.0048,+27.79%,Put,09/18/26
140.50s,97.49%,0.9752,0.0004,-0.0454,0.0490,+57.63%,Call,09/18/26,140.00,0.04s,66.26%,-0.0018,0.0001,-0.0037,0.0062,+26.41%,Put,09/18/26
135.50s,92.51%,0.9748,0.0005,-0.0438,0.0499,+52.66%,Call,09/18/26,145.00,0.04s,63.12%,-0.0019,0.0001,-0.0036,0.0065,+23.27%,Put,09/18/26
133.00s,90.09%,0.9746,0.0005,-0.0430,0.0503,+50.24%,Call,09/18/26,147.50,0.05s,62.98%,-0.0024,0.0001,-0.0044,0.0078,+23.13%,Put,09/18/26
130.50s,87.72%,0.9744,0.0005,-0.0422,0.0507,+47.86%,Call,09/18/26,150.00,0.05s,61.44%,-0.0024,0.0001,-0.0043,0.0080,+21.59%,Put,09/18/26
128.00s,85.38%,0.9742,0.0005,-0.0414,0.0511,+45.53%,Call,09/18/26,152.50,0.06s,61.07%,-0.0029,0.0001,-0.0051,0.0093,+21.22%,Put,09/18/26
125.50s,83.08%,0.9741,0.0006,-0.0405,0.0515,+43.23%,Call,09/18/26,155.00,0.07s,60.55%,-0.0033,0.0002,-0.0057,0.0107,+20.70%,Put,09/18/26
123.00s,80.82%,0.9739,0.0006,-0.0397,0.0519,+40.97%,Call,09/18/26,157.50,0.07s,59.04%,-0.0034,0.0002,-0.0057,0.0109,+19.19%,Put,09/18/26
