Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,122.2000s,N/A,N/A,"48,880.00",98.0000,Put,0.0125s,N/A,N/A,5.00
Call,120.2000s,N/A,N/A,"48,080.00",100.0000,Put,0.0125s,N/A,360,5.00
Call,118.2000s,N/A,N/A,"47,280.00",102.0000,Put,0.0125s,N/A,N/A,5.00
Call,116.2000s,N/A,N/A,"46,480.00",104.0000,Put,0.0125s,N/A,N/A,5.00
Call,114.2000s,N/A,N/A,"45,680.00",106.0000,Put,0.0125s,N/A,N/A,5.00
Call,112.2000s,N/A,N/A,"44,880.00",108.0000,Put,0.0125s,N/A,N/A,5.00
Call,110.2000s,N/A,N/A,"44,080.00",110.0000,Put,0.0125s,N/A,N/A,5.00
Call,108.2000s,N/A,N/A,"43,280.00",112.0000,Put,0.0125s,N/A,N/A,5.00
Call,106.2000s,N/A,N/A,"42,480.00",114.0000,Put,0.0125s,N/A,N/A,5.00
Call,104.2000s,N/A,N/A,"41,680.00",116.0000,Put,0.0125s,N/A,N/A,5.00
Call,102.2000s,N/A,N/A,"40,880.00",118.0000,Put,0.0125s,N/A,N/A,5.00
Call,100.2000s,N/A,N/A,"40,080.00",120.0000,Put,0.0125s,N/A,N/A,5.00
Call,98.2000s,N/A,N/A,"39,280.00",122.0000,Put,0.0125s,N/A,N/A,5.00
Call,96.2000s,N/A,N/A,"38,480.00",124.0000,Put,0.0125s,N/A,N/A,5.00
Call,94.2000s,N/A,N/A,"37,680.00",126.0000,Put,0.0125s,N/A,N/A,5.00
Call,92.2000s,N/A,N/A,"36,880.00",128.0000,Put,0.0125s,N/A,N/A,5.00
Call,90.2000s,N/A,N/A,"36,080.00",130.0000,Put,0.0125s,N/A,N/A,5.00
Call,88.2000s,N/A,N/A,"35,280.00",132.0000,Put,0.0125s,N/A,N/A,5.00
Call,86.2000s,N/A,N/A,"34,480.00",134.0000,Put,0.0125s,N/A,N/A,5.00
Call,84.2000s,N/A,N/A,"33,680.00",136.0000,Put,0.0125s,N/A,N/A,5.00
Call,82.2000s,N/A,N/A,"32,880.00",138.0000,Put,0.0125s,N/A,1,5.00
Call,80.2000s,N/A,N/A,"32,080.00",140.0000,Put,0.0125s,N/A,70,5.00
Call,78.2000s,N/A,N/A,"31,280.00",142.0000,Put,0.0125s,N/A,N/A,5.00
Call,76.2000s,N/A,N/A,"30,480.00",144.0000,Put,0.0125s,N/A,N/A,5.00
Call,74.2000s,N/A,N/A,"29,680.00",146.0000,Put,0.0125s,N/A,N/A,5.00
Call,72.2000s,N/A,N/A,"28,880.00",148.0000,Put,0.0125s,N/A,17,5.00
Call,70.2000s,N/A,N/A,"28,080.00",150.0000,Put,0.0250s,N/A,N/A,10.00
Call,68.2000s,N/A,N/A,"27,280.00",152.0000,Put,0.0250s,N/A,17,10.00
Call,66.2000s,N/A,N/A,"26,480.00",154.0000,Put,0.0250s,N/A,N/A,10.00
Call,64.2000s,N/A,N/A,"25,680.00",156.0000,Put,0.0250s,N/A,25,10.00
Call,62.2000s,N/A,N/A,"24,880.00",158.0000,Put,0.0250s,N/A,34,10.00
Call,61.2000s,N/A,N/A,"24,480.00",159.0000,Put,0.0250s,N/A,N/A,10.00
Call,60.2000s,N/A,N/A,"24,080.00",160.0000,Put,0.0500s,N/A,24,20.00
Call,59.2000s,N/A,N/A,"23,680.00",161.0000,Put,0.0500s,N/A,N/A,20.00
Call,58.2000s,N/A,N/A,"23,280.00",162.0000,Put,0.0500s,N/A,19,20.00
Call,57.2000s,N/A,N/A,"22,880.00",163.0000,Put,0.0500s,N/A,N/A,20.00
Call,56.2000s,N/A,N/A,"22,480.00",164.0000,Put,0.0500s,N/A,24,20.00
Call,55.2000s,N/A,N/A,"22,080.00",165.0000,Put,0.0500s,N/A,37,20.00
Call,54.2000s,N/A,N/A,"21,680.00",166.0000,Put,0.0500s,N/A,46,20.00
Call,53.2000s,N/A,N/A,"21,280.00",167.0000,Put,0.0500s,N/A,16,20.00
Call,52.2000s,N/A,N/A,"20,880.00",168.0000,Put,0.0500s,N/A,106,20.00
Call,51.2000s,N/A,N/A,"20,480.00",169.0000,Put,0.0750s,N/A,N/A,30.00
Call,50.2000s,N/A,N/A,"20,080.00",170.0000,Put,0.0750s,N/A,89,30.00
Call,49.2000s,N/A,N/A,"19,680.00",171.0000,Put,0.0750s,N/A,N/A,30.00
Call,48.2000s,N/A,N/A,"19,280.00",172.0000,Put,0.1000s,N/A,44,40.00
Call,47.2000s,N/A,N/A,"18,880.00",173.0000,Put,0.1000s,N/A,N/A,40.00
Call,46.2000s,N/A,N/A,"18,480.00",174.0000,Put,0.1000s,N/A,159,40.00
Call,45.2000s,N/A,N/A,"18,080.00",175.0000,Put,0.1250s,N/A,5,50.00
Call,44.2250s,N/A,N/A,"17,690.00",176.0000,Put,0.1250s,N/A,183,50.00
Call,43.2250s,N/A,N/A,"17,290.00",177.0000,Put,0.1500s,N/A,25,60.00
Call,42.2250s,1,1,"16,890.00",178.0000,Put,0.1750s,N/A,120,70.00
Call,41.2500s,N/A,N/A,"16,500.00",179.0000,Put,0.1750s,N/A,24,70.00
Call,40.2500s,N/A,N/A,"16,100.00",180.0000,Put,0.2000s,N/A,203,80.00
Call,39.2750s,N/A,N/A,"15,710.00",181.0000,Put,0.2250s,N/A,47,90.00
Call,38.3000s,1,5,"15,320.00",182.0000,Put,0.2250s,N/A,289,90.00
Call,37.3000s,4,6,"14,920.00",183.0000,Put,0.2500s,N/A,2,100.00
Call,36.3250s,4,4,"14,530.00",184.0000,Put,0.2750s,N/A,188,110.00
Call,35.3500s,N/A,N/A,"14,140.00",185.0000,Put,0.3000s,N/A,117,120.00
Call,34.3750s,N/A,N/A,"13,750.00",186.0000,Put,0.3250s,N/A,358,130.00
Call,33.4250s,N/A,N/A,"13,370.00",187.0000,Put,0.3750s,N/A,24,150.00
Call,32.4500s,5,5,"12,980.00",188.0000,Put,0.4000s,N/A,340,160.00
Call,31.4750s,N/A,N/A,"12,590.00",189.0000,Put,0.4250s,N/A,26,170.00
Call,30.5250s,N/A,3,"12,210.00",190.0000,Put,0.4750s,43,643,190.00
Call,29.5750s,N/A,N/A,"11,830.00",191.0000,Put,0.5250s,19,50,210.00
