Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
124.0000s,0.00%,0.9919,0.0000,0.0000,0.0000,-17.35%,Call,09/21/26,98.0000,0.0125s,59.97%,-0.0007,0.0000,-0.0009,0.0025,+42.62%,Put,09/21/26
122.0000s,0.00%,0.9919,0.0000,0.0000,0.0000,-17.35%,Call,09/21/26,100.0000,0.0125s,58.56%,-0.0007,0.0000,-0.0009,0.0025,+41.22%,Put,09/21/26
120.0000s,97.98%,0.9690,0.0006,-0.0357,0.0538,+80.63%,Call,09/21/26,102.0000,0.0125s,57.18%,-0.0008,0.0000,-0.0009,0.0026,+39.83%,Put,09/21/26
118.0000s,95.49%,0.9687,0.0006,-0.0351,0.0543,+78.14%,Call,09/21/26,104.0000,0.0125s,55.82%,-0.0008,0.0000,-0.0009,0.0026,+38.47%,Put,09/21/26
116.0000s,93.06%,0.9685,0.0006,-0.0346,0.0548,+75.71%,Call,09/21/26,106.0000,0.0125s,54.49%,-0.0008,0.0001,-0.0009,0.0027,+37.14%,Put,09/21/26
114.0000s,90.67%,0.9682,0.0006,-0.0340,0.0554,+73.32%,Call,09/21/26,108.0000,0.0125s,53.19%,-0.0008,0.0001,-0.0009,0.0028,+35.84%,Put,09/21/26
112.0000s,88.33%,0.9679,0.0006,-0.0334,0.0559,+70.98%,Call,09/21/26,110.0000,0.0125s,51.90%,-0.0008,0.0001,-0.0009,0.0028,+34.56%,Put,09/21/26
110.0000s,86.04%,0.9677,0.0007,-0.0328,0.0564,+68.69%,Call,09/21/26,112.0000,0.0125s,50.64%,-0.0009,0.0001,-0.0009,0.0029,+33.30%,Put,09/21/26
108.0000s,83.79%,0.9674,0.0007,-0.0322,0.0569,+66.44%,Call,09/21/26,114.0000,0.0125s,49.40%,-0.0009,0.0001,-0.0009,0.0030,+32.06%,Put,09/21/26
106.0000s,81.57%,0.9672,0.0007,-0.0316,0.0574,+64.23%,Call,09/21/26,116.0000,0.0125s,48.19%,-0.0009,0.0001,-0.0009,0.0030,+30.84%,Put,09/21/26
104.0000s,79.40%,0.9669,0.0007,-0.0310,0.0579,+62.05%,Call,09/21/26,118.0000,0.0125s,46.99%,-0.0009,0.0001,-0.0009,0.0031,+29.64%,Put,09/21/26
102.0000s,77.27%,0.9667,0.0008,-0.0304,0.0583,+59.92%,Call,09/21/26,120.0000,0.0125s,45.82%,-0.0009,0.0001,-0.0009,0.0032,+28.47%,Put,09/21/26
100.0000s,75.17%,0.9664,0.0008,-0.0298,0.0588,+57.83%,Call,09/21/26,122.0000,0.0125s,44.66%,-0.0010,0.0001,-0.0009,0.0032,+27.31%,Put,09/21/26
98.0000s,73.11%,0.9662,0.0008,-0.0292,0.0593,+55.77%,Call,09/21/26,124.0000,0.0125s,43.52%,-0.0010,0.0001,-0.0009,0.0033,+26.17%,Put,09/21/26
96.0000s,71.09%,0.9659,0.0009,-0.0286,0.0598,+53.74%,Call,09/21/26,126.0000,0.0125s,42.39%,-0.0010,0.0001,-0.0008,0.0034,+25.04%,Put,09/21/26
94.0000s,69.10%,0.9657,0.0009,-0.0280,0.0602,+51.75%,Call,09/21/26,128.0000,0.0125s,41.28%,-0.0010,0.0001,-0.0008,0.0035,+23.94%,Put,09/21/26
92.0000s,67.14%,0.9654,0.0009,-0.0274,0.0607,+49.79%,Call,09/21/26,130.0000,0.0125s,40.20%,-0.0011,0.0001,-0.0008,0.0036,+22.85%,Put,09/21/26
90.0000s,65.21%,0.9652,0.0010,-0.0268,0.0612,+47.86%,Call,09/21/26,132.0000,0.0125s,39.12%,-0.0011,0.0001,-0.0008,0.0037,+21.77%,Put,09/21/26
88.0000s,63.31%,0.9650,0.0010,-0.0262,0.0616,+45.96%,Call,09/21/26,134.0000,0.0125s,38.06%,-0.0011,0.0001,-0.0008,0.0037,+20.71%,Put,09/21/26
86.0000s,61.44%,0.9647,0.0010,-0.0256,0.0621,+44.09%,Call,09/21/26,136.0000,0.0125s,37.02%,-0.0012,0.0001,-0.0008,0.0038,+19.67%,Put,09/21/26
84.0000s,59.60%,0.9645,0.0011,-0.0250,0.0625,+42.25%,Call,09/21/26,138.0000,0.0125s,35.99%,-0.0012,0.0001,-0.0008,0.0039,+18.64%,Put,09/21/26
82.0000s,57.78%,0.9642,0.0011,-0.0244,0.0630,+40.43%,Call,09/21/26,140.0000,0.0125s,34.97%,-0.0012,0.0001,-0.0008,0.0040,+17.62%,Put,09/21/26
80.0000s,56.00%,0.9640,0.0011,-0.0238,0.0634,+38.65%,Call,09/21/26,142.0000,0.0125s,33.96%,-0.0013,0.0001,-0.0008,0.0041,+16.62%,Put,09/21/26
78.0000s,54.23%,0.9638,0.0012,-0.0231,0.0639,+36.89%,Call,09/21/26,144.0000,0.0125s,32.97%,-0.0013,0.0001,-0.0008,0.0042,+15.63%,Put,09/21/26
76.0000s,52.50%,0.9635,0.0012,-0.0225,0.0643,+35.15%,Call,09/21/26,146.0000,0.0125s,32.00%,-0.0013,0.0001,-0.0008,0.0044,+14.65%,Put,09/21/26
74.0000s,50.79%,0.9633,0.0013,-0.0219,0.0648,+33.44%,Call,09/21/26,148.0000,0.0125s,31.03%,-0.0014,0.0001,-0.0008,0.0045,+13.68%,Put,09/21/26
72.0000s,49.10%,0.9631,0.0013,-0.0213,0.0652,+31.75%,Call,09/21/26,150.0000,0.0250s,32.12%,-0.0025,0.0002,-0.0014,0.0078,+14.78%,Put,09/21/26
70.0000s,47.43%,0.9628,0.0014,-0.0207,0.0656,+30.08%,Call,09/21/26,152.0000,0.0250s,31.12%,-0.0026,0.0003,-0.0014,0.0080,+13.77%,Put,09/21/26
68.0000s,45.79%,0.9626,0.0015,-0.0201,0.0661,+28.44%,Call,09/21/26,154.0000,0.0250s,30.14%,-0.0027,0.0003,-0.0014,0.0082,+12.79%,Put,09/21/26
66.0000s,44.17%,0.9624,0.0015,-0.0195,0.0665,+26.82%,Call,09/21/26,156.0000,0.0250s,29.16%,-0.0028,0.0003,-0.0014,0.0085,+11.81%,Put,09/21/26
64.0000s,42.57%,0.9622,0.0016,-0.0189,0.0669,+25.22%,Call,09/21/26,158.0000,0.0250s,28.19%,-0.0029,0.0003,-0.0014,0.0087,+10.85%,Put,09/21/26
63.0000s,41.78%,0.9620,0.0016,-0.0185,0.0671,+24.43%,Call,09/21/26,159.0000,0.0250s,27.71%,-0.0029,0.0003,-0.0013,0.0088,+10.37%,Put,09/21/26
62.0000s,40.99%,0.9619,0.0017,-0.0182,0.0673,+23.64%,Call,09/21/26,160.0000,0.0500s,29.36%,-0.0052,0.0005,-0.0024,0.0148,+12.01%,Put,09/21/26
61.0000s,40.21%,0.9618,0.0017,-0.0179,0.0675,+22.86%,Call,09/21/26,161.0000,0.0500s,28.86%,-0.0053,0.0005,-0.0024,0.0151,+11.51%,Put,09/21/26
60.0000s,39.43%,0.9617,0.0017,-0.0176,0.0677,+22.08%,Call,09/21/26,162.0000,0.0500s,28.35%,-0.0054,0.0005,-0.0024,0.0153,+11.01%,Put,09/21/26
59.0000s,38.66%,0.9616,0.0018,-0.0173,0.0680,+21.31%,Call,09/21/26,163.0000,0.0500s,27.85%,-0.0055,0.0006,-0.0024,0.0155,+10.50%,Put,09/21/26
58.0000s,37.89%,0.9615,0.0018,-0.0170,0.0682,+20.54%,Call,09/21/26,164.0000,0.0500s,27.35%,-0.0056,0.0006,-0.0024,0.0157,+10.01%,Put,09/21/26
