Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
,,,,,1.250,Put,0.001s,N/A,64,10.00
,,,,,1.300,Put,0.001s,N/A,46,10.00
,,,,,1.600,Put,0.001s,N/A,27,10.00
,,,,,1.650,Put,0.001s,N/A,3,10.00
,,,,,1.700,Put,0.001s,N/A,6,10.00
,,,,,1.750,Put,0.001s,N/A,147,10.00
,,,,,1.800,Put,0.001s,N/A,100,10.00
,,,,,1.850,Put,0.001s,N/A,3,10.00
,,,,,1.900,Put,0.001s,N/A,51,10.00
,,,,,1.950,Put,0.001s,N/A,29,10.00
,,,,,2.000,Put,0.001s,N/A,55,10.00
,,,,,2.050,Put,0.001s,21,58,10.00
,,,,,2.100,Put,0.001s,N/A,362,10.00
,,,,,2.150,Put,0.001s,N/A,42,10.00
,,,,,2.200,Put,0.001s,38,50,10.00
,,,,,2.250,Put,0.001s,N/A,6,10.00
,,,,,2.300,Put,0.001s,N/A,278,10.00
,,,,,2.350,Put,0.001s,27,298,10.00
,,,,,2.400,Put,0.001s,N/A,129,10.00
Call,0.796s,N/A,4,"7,960.00",2.450,Put,0.001s,N/A,174,10.00
Call,0.746s,4,33,"7,460.00",2.500,Put,0.003s,62,122,30.00
,,,,,2.550,Put,0.003s,9,419,30.00
,,,,,2.600,Put,0.005s,10,386,50.00
Call,0.599s,N/A,2,"5,990.00",2.650,Put,0.005s,N/A,338,50.00
Call,0.551s,N/A,3,"5,510.00",2.700,Put,0.007,1,107,70.00
,,,,,2.750,Put,0.009s,4,145,90.00
Call,0.457s,11,4,"4,570.00",2.800,Put,0.017s,3,257,170.00
Call,0.411s,N/A,2,"4,110.00",2.850,Put,0.017s,1,371,170.00
,,,,,2.900,Put,0.025s,197,"1,105",250.00
Call,0.325s,N/A,1,"3,250.00",2.950,Put,0.037s,148,"1,263",370.00
Call,0.286s,N/A,138,"2,860.00",3.000,Put,0.038,1,"1,216",380.00
Call,0.249s,N/A,4,"2,490.00",3.050,Put,0.053,6,"1,291",530.00
Call,0.195s,6,81,"1,950.00",3.100,Put,0.068,16,525,680.00
Call,0.169s,9,414,"1,690.00",3.150,Put,0.091s,114,341,910.00
Call,0.158s,37,262,"1,580.00",3.200,Put,0.115s,91,650,"1,150.00"
Call,0.140s,1,456,"1,400.00",3.250,Put,0.139s,3,313,"1,390.00"
Call,0.127,41,427,"1,270.00",3.300,Put,0.170s,6,329,"1,700.00"
Call,0.111,11,347,"1,110.00",3.350,Put,0.202s,N/A,82,"2,020.00"
Call,0.085,2,287,850.00,3.400,Put,0.236s,N/A,86,"2,360.00"
Call,0.070,1,495,700.00,3.450,Put,0.273s,N/A,34,"2,730.00"
Call,0.059s,104,484,590.00,3.500,Put,0.311s,1,15,"3,110.00"
Call,0.052s,2,841,520.00,3.550,,,,,
Call,0.046s,2,633,460.00,3.600,Put,0.394s,3,27,"3,940.00"
Call,0.031s,20,"1,422",310.00,3.650,Put,0.437s,N/A,5,"4,370.00"
Call,0.026s,42,"1,006",260.00,3.700,Put,0.482s,N/A,1,"4,820.00"
Call,0.028s,4,217,280.00,3.750,,,,,
Call,0.020s,1,384,200.00,3.800,,,,,
Call,0.017s,N/A,73,170.00,3.850,,,,,
Call,0.014s,1,277,140.00,3.900,,,,,
Call,0.013s,5,309,130.00,3.950,Put,0.716s,N/A,42,"7,160.00"
Call,0.015s,8,270,150.00,4.000,Put,0.765s,N/A,1,"7,650.00"
Call,0.009s,5,130,90.00,4.050,,,,,
Call,0.008s,5,114,80.00,4.100,,,,,
Call,0.007s,N/A,67,70.00,4.150,Put,0.911s,N/A,4,"9,110.00"
Call,0.010s,1,54,100.00,4.200,,,,,
Call,0.005s,N/A,287,50.00,4.250,Put,1.009s,N/A,1,"10,090.00"
Call,0.005s,16,135,50.00,4.300,,,,,
Call,0.006s,14,74,60.00,4.350,Put,1.117s,3,3,"11,170.00"
Call,0.004s,N/A,37,40.00,4.400,,,,,
Call,0.004s,6,65,40.00,4.450,,,,,
Call,0.003s,6,"1,106",30.00,4.500,Put,1.302s,1,1,"13,020.00"
Call,0.003s,N/A,181,30.00,4.550,,,,,
Call,0.003s,7,84,30.00,4.600,Put,1.356s,N/A,1,"13,560.00"
Call,0.002s,N/A,141,20.00,4.650,,,,,
Call,0.002s,36,46,20.00,4.700,Put,1.456s,N/A,1,"14,560.00"
Call,0.002s,8,552,20.00,4.750,,,,,
Call,0.001s,32,78,10.00,4.800,,,,,
Call,0.002s,34,35,20.00,4.850,Put,1.605s,N/A,1,"16,050.00"
Call,0.002s,N/A,206,20.00,4.900,Put,1.655s,N/A,1,"16,550.00"
Call,0.001s,N/A,40,10.00,4.950,,,,,
Call,0.001s,N/A,123,10.00,5.000,,,,,
Call,0.001s,N/A,47,10.00,5.050,,,,,
Call,0.001s,N/A,47,10.00,5.100,,,,,
Call,0.001s,N/A,48,10.00,5.150,,,,,
Call,0.001s,N/A,30,10.00,5.200,Put,2.004s,N/A,N/A,"20,040.00"
Call,0.002s,37,34,20.00,5.250,Put,2.054s,N/A,N/A,"20,540.00"
Call,0.001s,17,21,10.00,5.350,,,,,
Call,0.001s,N/A,67,10.00,5.400,,,,,
Call,0.001s,N/A,72,10.00,5.450,,,,,
Call,0.001s,N/A,83,10.00,5.500,,,,,
Call,0.001s,N/A,100,10.00,5.550,,,,,
Call,0.001s,N/A,327,10.00,5.600,,,,,
Call,0.001s,N/A,99,10.00,5.650,,,,,
Call,0.001s,N/A,8,10.00,5.700,,,,,
Call,0.001s,N/A,150,10.00,5.750,,,,,
Call,0.001s,N/A,58,10.00,5.850,,,,,
Call,0.001s,N/A,8,10.00,5.900,,,,,
Call,0.001s,N/A,293,10.00,6.000,,,,,
Call,0.001s,N/A,1,10.00,6.050,,,,,
Call,0.001s,N/A,55,10.00,6.100,,,,,
Call,0.001s,N/A,83,10.00,6.150,,,,,
Call,0.001s,N/A,38,10.00,6.200,,,,,
Call,0.001s,N/A,19,10.00,6.300,,,,,
Call,0.001s,N/A,100,10.00,6.350,,,,,
Call,0.001s,N/A,12,10.00,6.400,,,,,
Call,0.001s,N/A,114,10.00,6.500,,,,,
Call,0.001s,N/A,38,10.00,6.750,,,,,
Call,0.001s,N/A,240,10.00,7.000,,,,,
Call,0.001s,N/A,34,10.00,7.250,,,,,
Call,0.001s,N/A,97,10.00,7.500,,,,,
Call,0.001s,N/A,64,10.00,7.750,,,,,
Call,0.001s,N/A,110,10.00,8.000,,,,,
Call,0.001s,N/A,48,10.00,8.250,,,,,
Call,0.001s,N/A,152,10.00,8.750,,,,,
"Downloaded from Barchart.com as of 07-07-2026 02:22am CDT"
