Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
,,,,,,,,,1.250,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-45.24%,Put,07/14/26
,,,,,,,,,1.300,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-45.24%,Put,07/14/26
,,,,,,,,,1.600,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-45.24%,Put,07/14/26
,,,,,,,,,1.650,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-45.24%,Put,07/14/26
,,,,,,,,,1.700,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-45.24%,Put,07/14/26
,,,,,,,,,1.750,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-45.24%,Put,07/14/26
,,,,,,,,,1.800,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-45.24%,Put,07/14/26
,,,,,,,,,1.850,0.001s,98.59%,-0.0055,0.0288,-0.0003,0.0001,+53.36%,Put,07/14/26
,,,,,,,,,1.900,0.001s,93.28%,-0.0057,0.0318,-0.0003,0.0001,+48.04%,Put,07/14/26
,,,,,,,,,1.950,0.001s,88.13%,-0.0060,0.0353,-0.0003,0.0001,+42.89%,Put,07/14/26
0.875s,0.00%,0.9987,0.0000,0.0000,0.0000,-45.24%,Call,07/14/26,2.000,0.001s,83.13%,-0.0064,0.0393,-0.0003,0.0001,+37.89%,Put,07/14/26
,,,,,,,,,2.050,0.001s,78.28%,-0.0068,0.0442,-0.0003,0.0001,+33.04%,Put,07/14/26
,,,,,,,,,2.100,0.001s,73.44%,-0.0072,0.0495,-0.0003,0.0001,+28.20%,Put,07/14/26
0.725s,0.00%,0.9986,0.0000,0.0000,0.0000,-45.24%,Call,07/14/26,2.150,0.001s,68.75%,-0.0077,0.0561,-0.0003,0.0001,+23.51%,Put,07/14/26
,,,,,,,,,2.200,0.001s,64.06%,-0.0082,0.0635,-0.0003,0.0001,+18.83%,Put,07/14/26
0.655s,0.00%,0.9986,0.0006,0.0000,0.0000,-45.24%,Call,07/14/26,2.250,0.001s,59.53%,-0.0088,0.0727,-0.0003,0.0001,+14.29%,Put,07/14/26
0.605s,0.00%,0.9985,0.0022,0.0000,0.0000,-45.24%,Call,07/14/26,2.300,0.001s,55.00%,-0.0094,0.0835,-0.0003,0.0001,+9.76%,Put,07/14/26
0.555s,0.00%,0.9983,0.0072,0.0000,0.0000,-45.24%,Call,07/14/26,2.350,0.002s,55.86%,-0.0174,0.1399,-0.0005,0.0002,+10.62%,Put,07/14/26
,,,,,,,,,2.400,0.002s,51.09%,-0.0188,0.1632,-0.0005,0.0003,+5.86%,Put,07/14/26
0.457s,0.00%,0.9955,0.0508,-0.0001,0.0001,-45.24%,Call,07/14/26,2.450,0.004s,52.27%,-0.0340,0.2617,-0.0008,0.0004,+7.03%,Put,07/14/26
0.409s,0.00%,0.9908,0.1131,-0.0002,0.0001,-45.24%,Call,07/14/26,2.500,0.006s,51.21%,-0.0492,0.3611,-0.0011,0.0006,+5.97%,Put,07/14/26
0.362s,0.00%,0.9813,0.2256,-0.0003,0.0002,-45.24%,Call,07/14/26,2.550,0.008s,48.93%,-0.0655,0.4728,-0.0013,0.0007,+3.69%,Put,07/14/26
0.316s,0.00%,0.9638,0.4056,-0.0006,0.0004,-45.24%,Call,07/14/26,2.600,0.014s,50.21%,-0.1022,0.6441,-0.0018,0.0010,+4.98%,Put,07/14/26
0.273s,32.79%,0.9432,0.6199,-0.0008,0.0006,-12.44%,Call,07/14/26,2.650,0.019s,48.51%,-0.1351,0.8125,-0.0022,0.0012,+3.27%,Put,07/14/26
0.232s,37.27%,0.8725,1.0086,-0.0016,0.0011,-7.97%,Call,07/14/26,2.700,0.028s,48.44%,-0.1841,0.9969,-0.0026,0.0015,+3.20%,Put,07/14/26
0.194s,39.42%,0.7981,1.2904,-0.0024,0.0015,-5.81%,Call,07/14/26,2.750,0.044s,50.74%,-0.2509,1.1382,-0.0033,0.0018,+5.51%,Put,07/14/26
0.142s,30.86%,0.7705,1.7772,-0.0020,0.0017,-14.38%,Call,07/14/26,2.800,0.054s,47.77%,-0.3058,1.3314,-0.0034,0.0019,+2.54%,Put,07/14/26
0.129s,41.69%,0.6335,1.6354,-0.0034,0.0021,-3.55%,Call,07/14/26,2.850,0.074s,48.37%,-0.3786,1.4261,-0.0038,0.0021,+3.13%,Put,07/14/26
0.103s,42.62%,0.5476,1.6845,-0.0037,0.0022,-2.62%,Call,07/14/26,2.900,0.097s,48.57%,-0.4528,1.4787,-0.0039,0.0022,+3.34%,Put,07/14/26
