Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
,,,,,1.250,Put,0.001s,N/A,1,10.00
,,,,,1.300,Put,0.001s,N/A,1,10.00
,,,,,1.500,Put,0.001s,N/A,1,10.00
,,,,,1.600,Put,0.001s,N/A,67,10.00
Call,1.067s,N/A,N/A,"10,670.00",1.700,Put,0.001s,N/A,1,10.00
Call,1.017s,N/A,N/A,"10,170.00",1.750,Put,0.001s,N/A,65,10.00
Call,1.004s,N/A,2,"10,040.00",1.800,Put,0.001s,N/A,55,10.00
Call,0.954s,N/A,2,"9,540.00",1.850,Put,0.001s,N/A,21,10.00
Call,0.904s,N/A,3,"9,040.00",1.900,Put,0.001s,N/A,432,10.00
Call,0.854s,N/A,3,"8,540.00",1.950,Put,0.001s,N/A,13,10.00
Call,0.804s,N/A,2,"8,040.00",2.000,Put,0.001s,N/A,277,10.00
,,,,,2.050,Put,0.001s,N/A,515,10.00
Call,0.705s,N/A,2,"7,050.00",2.100,Put,0.001s,1,375,10.00
Call,0.655s,N/A,5,"6,550.00",2.150,Put,0.001s,N/A,349,10.00
Call,0.623s,1,1,"6,230.00",2.200,Put,0.002s,N/A,543,20.00
,,,,,2.250,Put,0.002s,9,542,20.00
Call,0.506s,N/A,4,"5,060.00",2.300,Put,0.003s,1,161,30.00
Call,0.458s,N/A,6,"4,580.00",2.350,Put,0.004s,30,"1,118",40.00
Call,0.409s,N/A,43,"4,090.00",2.400,Put,0.008s,284,164,80.00
Call,0.362s,N/A,3,"3,620.00",2.450,Put,0.009s,254,679,90.00
Call,0.316s,N/A,3,"3,160.00",2.500,Put,0.014s,490,"1,279",140.00
Call,0.264s,3,13,"2,640.00",2.550,Put,0.018s,11,"1,979",180.00
Call,0.230s,N/A,59,"2,300.00",2.600,Put,0.026s,7,"1,104",260.00
Call,0.191s,N/A,125,"1,910.00",2.650,Put,0.035s,281,"1,161",350.00
Call,0.149s,1,625,"1,490.00",2.700,Put,0.049s,145,"1,229",490.00
Call,0.135s,27,272,"1,350.00",2.750,Put,0.071s,1,611,710.00
Call,0.097s,128,424,970.00,2.800,Put,0.090s,66,595,900.00
Call,0.075s,63,755,750.00,2.850,Put,0.116s,3,587,"1,160.00"
Call,0.058s,131,"1,332",580.00,2.900,Put,0.153s,1,572,"1,530.00"
Call,0.045s,26,841,450.00,2.950,Put,0.189s,1,348,"1,890.00"
Call,0.031s,270,"1,315",310.00,3.000,Put,0.228s,1,189,"2,280.00"
Call,0.027s,6,906,270.00,3.050,Put,0.270s,N/A,227,"2,700.00"
Call,0.019s,11,376,190.00,3.100,Put,0.314s,N/A,131,"3,140.00"
Call,0.015s,68,"1,077",150.00,3.150,Put,0.360s,N/A,277,"3,600.00"
Call,0.011s,34,"1,157",110.00,3.200,Put,0.405s,1,234,"4,050.00"
Call,0.009s,34,"1,353",90.00,3.250,Put,0.455s,N/A,68,"4,550.00"
Call,0.008s,N/A,268,80.00,3.300,Put,0.503s,N/A,160,"5,030.00"
Call,0.007s,156,408,70.00,3.350,Put,0.552s,N/A,10,"5,520.00"
Call,0.005s,1,651,50.00,3.400,Put,0.601s,N/A,37,"6,010.00"
