Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
,,,,,,,,,1.250,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-41.32%,Put,08/14/26
,,,,,,,,,1.300,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-41.32%,Put,08/14/26
,,,,,,,,,1.500,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-41.32%,Put,08/14/26
,,,,,,,,,1.600,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-41.32%,Put,08/14/26
,,,,,,,,,1.700,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-41.32%,Put,08/14/26
,,,,,,,,,1.750,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-41.32%,Put,08/14/26
0.927s,0.00%,0.9988,0.0000,0.0000,0.0000,-41.32%,Call,08/13/26,1.800,0.001s,95.47%,-0.0062,0.0371,-0.0003,0.0001,+54.15%,Put,08/14/26
0.883s,90.78%,0.9917,0.0437,-0.0004,0.0001,+49.46%,Call,08/14/26,1.850,0.001s,89.69%,-0.0065,0.0413,-0.0003,0.0001,+48.36%,Put,08/14/26
0.834s,92.50%,0.9866,0.0689,-0.0006,0.0002,+51.18%,Call,08/14/26,1.900,0.001s,84.22%,-0.0070,0.0467,-0.0003,0.0001,+42.90%,Put,08/14/26
0.784s,86.25%,0.9861,0.0764,-0.0006,0.0002,+44.93%,Call,08/14/26,1.950,0.001s,78.75%,-0.0074,0.0526,-0.0003,0.0001,+37.43%,Put,08/14/26
0.734s,80.16%,0.9856,0.0851,-0.0006,0.0002,+38.83%,Call,08/14/26,2.000,0.001s,73.44%,-0.0079,0.0598,-0.0003,0.0001,+32.11%,Put,08/14/26
,,,,,,,,,2.050,0.001s,68.28%,-0.0085,0.0686,-0.0003,0.0001,+26.96%,Put,08/14/26
0.634s,68.36%,0.9844,0.1075,-0.0005,0.0002,+27.04%,Call,08/14/26,2.100,0.001s,63.13%,-0.0091,0.0788,-0.0003,0.0001,+21.80%,Put,08/14/26
0.584s,62.66%,0.9837,0.1222,-0.0005,0.0002,+21.33%,Call,08/14/26,2.150,0.001s,58.13%,-0.0099,0.0918,-0.0003,0.0001,+16.80%,Put,08/14/26
0.534s,57.11%,0.9829,0.1405,-0.0005,0.0002,+15.79%,Call,08/14/26,2.200,0.001s,53.13%,-0.0107,0.1074,-0.0003,0.0001,+11.80%,Put,08/14/26
,,,,,,,,,2.250,0.002s,53.44%,-0.0199,0.1820,-0.0005,0.0002,+12.11%,Put,08/14/26
0.436s,53.16%,0.9657,0.2795,-0.0008,0.0004,+11.84%,Call,08/14/26,2.300,0.003s,51.64%,-0.0294,0.2615,-0.0007,0.0003,+10.32%,Put,08/14/26
0.387s,49.80%,0.9558,0.3696,-0.0009,0.0005,+8.48%,Call,08/14/26,2.350,0.005s,52.93%,-0.0524,0.4082,-0.0011,0.0005,+11.61%,Put,08/14/26
0.340s,49.26%,0.9320,0.5304,-0.0013,0.0006,+7.93%,Call,08/14/26,2.400,0.007s,48.59%,-0.0643,0.5222,-0.0012,0.0006,+7.27%,Put,08/14/26
0.293s,46.95%,0.9065,0.7104,-0.0016,0.0008,+5.63%,Call,08/14/26,2.450,0.010s,46.52%,-0.0903,0.7061,-0.0015,0.0008,+5.20%,Put,08/14/26
0.248s,45.43%,0.8682,0.9421,-0.0020,0.0011,+4.11%,Call,08/14/26,2.500,0.016s,46.09%,-0.1338,0.9442,-0.0020,0.0011,+4.77%,Put,08/14/26
0.206s,44.67%,0.8139,1.2047,-0.0025,0.0013,+3.34%,Call,08/14/26,2.550,0.023s,44.49%,-0.1840,1.2060,-0.0024,0.0013,+3.17%,Put,08/14/26
0.166s,43.24%,0.7494,1.4801,-0.0029,0.0016,+1.92%,Call,08/14/26,2.600,0.033s,43.13%,-0.2489,1.4823,-0.0027,0.0016,+1.81%,Put,08/14/26
0.130s,42.17%,0.6698,1.7297,-0.0032,0.0018,+0.84%,Call,08/14/26,2.650,0.047s,42.11%,-0.3288,1.7317,-0.0030,0.0018,+0.79%,Put,08/14/26
0.099s,41.52%,0.5781,1.8984,-0.0035,0.0019,+0.20%,Call,08/14/26,2.700,0.066s,41.49%,-0.4206,1.8997,-0.0032,0.0019,+0.17%,Put,08/14/26
0.073s,41.01%,0.4810,1.9587,-0.0035,0.0020,-0.32%,Call,08/14/26,2.750,0.090s,41.03%,-0.5178,1.9578,-0.0032,0.0020,-0.30%,Put,08/14/26
0.053s,41.11%,0.3863,1.8765,-0.0034,0.0019,-0.21%,Call,08/14/26,2.800,0.120s,41.16%,-0.6123,1.8745,-0.0031,0.0019,-0.16%,Put,08/14/26
0.038s,41.56%,0.3017,1.6912,-0.0032,0.0017,+0.24%,Call,08/14/26,2.850,0.155s,41.64%,-0.6967,1.6890,-0.0028,0.0017,+0.32%,Put,08/14/26
