Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
,,,,,1.400,Put,0.001s,N/A,25,10.00
,,,,,1.600,Put,0.001s,N/A,252,10.00
,,,,,1.650,Put,0.001s,N/A,204,10.00
,,,,,1.700,Put,0.001s,N/A,76,10.00
,,,,,1.750,Put,0.001s,N/A,188,10.00
Call,1.175s,1,1,"11,750.00",1.800,Put,0.001s,N/A,364,10.00
,,,,,1.850,Put,0.001s,N/A,599,10.00
Call,1.075s,27,27,"10,750.00",1.900,Put,0.001s,N/A,220,10.00
Call,1.025s,N/A,N/A,"10,250.00",1.950,Put,0.001s,N/A,403,10.00
Call,0.975s,N/A,16,"9,750.00",2.000,Put,0.001s,N/A,343,10.00
Call,0.925s,N/A,9,"9,250.00",2.050,Put,0.001s,N/A,305,10.00
Call,0.875s,N/A,38,"8,750.00",2.100,Put,0.001s,N/A,318,10.00
Call,0.825s,N/A,4,"8,250.00",2.150,Put,0.001s,N/A,278,10.00
Call,0.776s,N/A,2,"7,760.00",2.200,Put,0.002s,171,581,20.00
Call,0.726s,N/A,10,"7,260.00",2.250,Put,0.002s,N/A,787,20.00
Call,0.677s,N/A,36,"6,770.00",2.300,Put,0.002s,N/A,275,20.00
Call,0.627s,N/A,11,"6,270.00",2.350,Put,0.003s,2,872,30.00
Call,0.579s,N/A,1,"5,790.00",2.400,Put,0.004s,N/A,488,40.00
Call,0.530s,1,5,"5,300.00",2.450,Put,0.006s,N/A,683,60.00
Call,0.483s,N/A,35,"4,830.00",2.500,Put,0.009s,1,"1,368",90.00
Call,0.436s,N/A,40,"4,360.00",2.550,Put,0.012s,41,907,120.00
Call,0.390s,N/A,58,"3,900.00",2.600,Put,0.016s,133,"1,520",160.00
Call,0.346s,N/A,45,"3,460.00",2.650,Put,0.022s,54,"1,107",220.00
Call,0.304s,2,58,"3,040.00",2.700,Put,0.032s,33,"1,599",320.00
Call,0.264s,N/A,217,"2,640.00",2.750,Put,0.040s,101,"1,451",400.00
