Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
,,,,,,,,,1.400,0.001s,86.56%,-0.0038,0.0147,-0.0001,0.0001,+42.17%,Put,08/18/26
,,,,,,,,,1.600,0.001s,71.25%,-0.0047,0.0214,-0.0001,0.0001,+26.86%,Put,08/18/26
1.153s,0.00%,0.9962,0.0000,0.0000,0.0000,-44.39%,Call,08/18/26,1.650,0.001s,67.66%,-0.0049,0.0236,-0.0001,0.0001,+23.26%,Put,08/18/26
1.103s,0.00%,0.9962,0.0000,0.0000,0.0000,-44.39%,Call,08/18/26,1.700,0.001s,64.06%,-0.0051,0.0258,-0.0001,0.0001,+19.67%,Put,08/18/26
,,,,,,,,,1.750,0.001s,60.78%,-0.0055,0.0287,-0.0001,0.0001,+16.39%,Put,08/18/26
1.003s,0.00%,0.9962,0.0001,0.0000,0.0000,-44.39%,Call,08/18/26,1.800,0.002s,62.73%,-0.0099,0.0469,-0.0002,0.0002,+18.34%,Put,08/18/26
0.954s,0.00%,0.9961,0.0002,0.0000,0.0000,-44.39%,Call,08/18/26,1.850,0.002s,59.30%,-0.0104,0.0522,-0.0002,0.0002,+14.90%,Put,08/18/26
0.904s,0.00%,0.9961,0.0006,0.0000,0.0000,-44.39%,Call,08/18/26,1.900,0.003s,59.22%,-0.0150,0.0712,-0.0003,0.0003,+14.82%,Put,08/18/26
0.855s,0.00%,0.9960,0.0016,0.0000,0.0000,-44.39%,Call,08/18/26,1.950,0.003,55.78%,-0.0159,0.0796,-0.0003,0.0004,+11.39%,Put,"22:48 CT"
0.806s,0.00%,0.9959,0.0039,0.0000,0.0000,-44.39%,Call,08/18/26,2.000,0.005s,56.88%,-0.0244,0.1125,-0.0004,0.0005,+12.48%,Put,08/18/26
0.757s,0.00%,0.9954,0.0089,0.0000,0.0000,-44.39%,Call,08/18/26,2.050,0.007s,56.68%,-0.0329,0.1448,-0.0005,0.0007,+12.29%,Put,08/18/26
