Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
,,,,,1.500,Put,0.001s,N/A,1,10.00
,,,,,1.550,Put,0.001s,N/A,20,10.00
,,,,,1.600,Put,0.001s,N/A,68,10.00
,,,,,1.700,Put,0.001s,N/A,38,10.00
,,,,,1.750,Put,0.001s,N/A,67,10.00
,,,,,1.800,Put,0.001s,17,186,10.00
,,,,,1.850,Put,0.001s,1,116,10.00
Call,1.150s,N/A,2,"11,500.00",1.900,Put,0.001s,59,172,10.00
,,,,,1.950,Put,0.002s,N/A,291,20.00
Call,1.050s,N/A,1,"10,500.00",2.000,Put,0.002s,15,308,20.00
,,,,,2.050,Put,0.003s,N/A,338,30.00
Call,0.944s,1,2,"9,440.00",2.100,Put,0.004s,N/A,150,40.00
Call,0.902s,N/A,1,"9,020.00",2.150,Put,0.005s,4,185,50.00
Call,0.854s,N/A,1,"8,540.00",2.200,Put,0.006s,2,171,60.00
Call,0.806s,N/A,2,"8,060.00",2.250,Put,0.006,4,288,60.00
,,,,,2.300,Put,0.012s,25,368,120.00
,,,,,2.350,Put,0.013s,26,137,130.00
,,,,,2.400,Put,0.017s,3,435,170.00
Call,0.620s,N/A,1,"6,200.00",2.450,Put,0.022s,7,93,220.00
Call,0.575s,N/A,107,"5,750.00",2.500,Put,0.027s,14,411,270.00
Call,0.545s,34,34,"5,450.00",2.550,Put,0.033s,26,557,330.00
Call,0.489s,N/A,1,"4,890.00",2.600,Put,0.039s,134,306,390.00
Call,0.446s,1,1,"4,460.00",2.650,Put,0.049s,5,469,490.00
Call,0.409s,1,80,"4,090.00",2.700,Put,0.057,1,484,570.00
Call,0.371s,N/A,16,"3,710.00",2.750,Put,0.065,4,992,650.00
,,,,,2.800,Put,0.080,2,252,800.00
Call,0.303s,N/A,2,"3,030.00",2.850,Put,0.103s,33,252,"1,030.00"
Call,0.273s,N/A,3,"2,730.00",2.900,Put,0.123s,41,212,"1,230.00"
Call,0.244s,N/A,17,"2,440.00",2.950,Put,0.144s,33,223,"1,440.00"
Call,0.231s,1,270,"2,310.00",3.000,Put,0.169s,2,467,"1,690.00"
Call,0.194s,7,174,"1,940.00",3.050,Put,0.192s,8,225,"1,920.00"
Call,0.176s,41,450,"1,760.00",3.100,Put,0.222s,37,200,"2,220.00"
Call,0.151s,1,316,"1,510.00",3.150,Put,0.251s,5,118,"2,510.00"
Call,0.135s,35,256,"1,350.00",3.200,Put,0.285s,N/A,46,"2,850.00"
Call,0.118s,3,173,"1,180.00",3.250,Put,0.319s,N/A,4,"3,190.00"
Call,0.104s,3,242,"1,040.00",3.300,Put,0.355s,N/A,2,"3,550.00"
Call,0.093s,34,129,930.00,3.350,,,,,
