Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
,,,,,,,,,1.500,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-62.94%,Put,09/25/26
,,,,,,,,,1.550,0.001s,96.09%,-0.0033,0.0108,-0.0001,0.0001,+33.15%,Put,09/25/26
,,,,,,,,,1.600,0.001s,92.19%,-0.0034,0.0117,-0.0001,0.0001,+29.25%,Put,09/25/26
,,,,,,,,,1.700,0.001s,84.84%,-0.0037,0.0137,-0.0001,0.0001,+21.90%,Put,09/25/26
,,,,,,,,,1.750,0.001s,81.25%,-0.0039,0.0148,-0.0001,0.0001,+18.31%,Put,09/25/26
,,,,,,,,,1.800,0.001s,77.81%,-0.0041,0.0161,-0.0001,0.0001,+14.87%,Put,09/25/26
,,,,,,,,,1.850,0.001s,74.38%,-0.0042,0.0174,-0.0001,0.0001,+11.43%,Put,09/25/26
,,,,,,,,,1.900,0.001s,71.09%,-0.0044,0.0190,-0.0001,0.0001,+8.15%,Put,09/25/26
,,,,,,,,,1.950,0.001s,67.97%,-0.0046,0.0208,-0.0001,0.0001,+5.03%,Put,09/25/26
1.225s,79.06%,0.9809,0.0513,-0.0004,0.0004,+16.12%,Call,09/25/26,2.000,0.001s,64.84%,-0.0049,0.0228,-0.0001,0.0001,+1.90%,Put,09/25/26
1.175s,74.96%,0.9807,0.0548,-0.0004,0.0004,+12.02%,Call,09/25/26,2.050,0.001s,61.72%,-0.0051,0.0248,-0.0001,0.0001,-1.22%,Put,09/25/26
1.125s,70.94%,0.9805,0.0585,-0.0004,0.0004,+8.00%,Call,09/25/26,2.100,0.001s,58.75%,-0.0053,0.0272,-0.0001,0.0001,-4.19%,Put,09/25/26
1.075s,67.03%,0.9803,0.0626,-0.0004,0.0004,+4.09%,Call,09/25/26,2.150,0.002s,60.86%,-0.0096,0.0442,-0.0002,0.0002,-2.08%,Put,09/25/26
1.026s,65.63%,0.9770,0.0751,-0.0005,0.0004,+2.68%,Call,09/25/26,2.200,0.002s,57.81%,-0.0101,0.0488,-0.0002,0.0003,-5.13%,Put,09/25/26
0.977s,63.91%,0.9735,0.0887,-0.0005,0.0005,+0.97%,Call,09/25/26,2.250,0.003s,57.97%,-0.0145,0.0662,-0.0003,0.0004,-4.97%,Put,09/25/26
0.928s,61.99%,0.9698,0.1036,-0.0006,0.0006,-0.95%,Call,09/25/26,2.300,0.004s,57.34%,-0.0189,0.0842,-0.0004,0.0004,-5.60%,Put,09/25/26
0.879s,59.90%,0.9659,0.1202,-0.0006,0.0007,-3.04%,Call,09/25/26,2.350,0.006s,57.97%,-0.0267,0.1115,-0.0005,0.0006,-4.97%,Put,09/25/26
0.831s,58.98%,0.9589,0.1450,-0.0007,0.0008,-3.96%,Call,09/25/26,2.400,0.008s,57.66%,-0.0346,0.1388,-0.0006,0.0007,-5.28%,Put,09/25/26
0.784s,58.75%,0.9488,0.1766,-0.0009,0.0009,-4.19%,Call,09/25/26,2.450,0.011s,57.85%,-0.0453,0.1725,-0.0008,0.0009,-5.09%,Put,09/25/26
0.738s,58.79%,0.9360,0.2130,-0.0010,0.0011,-4.15%,Call,09/25/26,2.500,0.014s,57.30%,-0.0562,0.2067,-0.0009,0.0011,-5.64%,Put,09/25/26
0.692s,58.14%,0.9231,0.2502,-0.0012,0.0013,-4.80%,Call,09/25/26,2.550,0.018s,57.02%,-0.0698,0.2459,-0.0011,0.0013,-5.92%,Put,09/25/26
0.647s,57.69%,0.9076,0.2914,-0.0014,0.0015,-5.26%,Call,09/25/26,2.600,0.024s,57.50%,-0.0881,0.2909,-0.0013,0.0015,-5.44%,Put,09/25/26
0.603s,57.27%,0.8898,0.3357,-0.0016,0.0018,-5.68%,Call,09/25/26,2.650,0.030s,57.21%,-0.1064,0.3356,-0.0015,0.0018,-5.73%,Put,09/25/26
0.561s,57.32%,0.8679,0.3828,-0.0018,0.0020,-5.62%,Call,09/25/26,2.700,0.038s,57.37%,-0.1286,0.3828,-0.0017,0.0020,-5.57%,Put,09/25/26
0.521s,57.66%,0.8427,0.4297,-0.0021,0.0023,-5.28%,Call,09/25/26,2.750,0.047s,57.33%,-0.1525,0.4300,-0.0019,0.0022,-5.61%,Put,09/25/26
0.483s,58.13%,0.8148,0.4746,-0.0023,0.0025,-4.81%,Call,09/25/26,2.800,0.059s,57.91%,-0.1808,0.4752,-0.0022,0.0025,-5.03%,Put,09/25/26
0.446s,58.31%,0.7859,0.5174,-0.0026,0.0028,-4.63%,Call,09/25/26,2.850,0.072s,51.80%,-0.1880,0.5443,-0.0020,0.0026,-11.14%,Put,09/25/26
0.412s,58.92%,0.7541,0.5545,-0.0028,0.0030,-4.02%,Call,09/25/26,2.900,0.088s,58.86%,-0.2421,0.5548,-0.0026,0.0030,-4.08%,Put,09/25/26
0.379s,59.22%,0.7218,0.5885,-0.0030,0.0032,-3.72%,Call,09/25/26,2.950,0.105s,59.22%,-0.2746,0.5885,-0.0028,0.0032,-3.72%,Put,09/25/26
0.349s,59.86%,0.6878,0.6147,-0.0032,0.0034,-3.08%,Call,09/25/26,3.000,0.125s,59.91%,-0.3087,0.6142,-0.0030,0.0034,-3.03%,Put,09/25/26
0.321s,60.50%,0.6534,0.6348,-0.0034,0.0035,-2.44%,Call,09/25/26,3.050,0.146s,60.32%,-0.3427,0.6366,-0.0031,0.0035,-2.62%,Put,09/25/26
