Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,"23,190.00s",N/A,N/A,"463,800.00","5,000.00",Put,0.05s,N/A,1,1.00
Call,"22,690.00s",N/A,N/A,"453,800.00","5,500.00",Put,0.05s,N/A,11,1.00
Call,"22,190.00s",N/A,N/A,"443,800.00","6,000.00",Put,0.05s,N/A,3,1.00
Call,"21,690.00s",N/A,N/A,"433,800.00","6,500.00",Put,0.05s,N/A,N/A,1.00
Call,"21,190.00s",N/A,N/A,"423,800.00","7,000.00",Put,0.10s,N/A,10,2.00
Call,"20,690.00s",N/A,N/A,"413,800.00","7,500.00",Put,0.20s,N/A,2,4.00
Call,"20,190.00s",N/A,N/A,"403,800.00","8,000.00",Put,0.30s,N/A,3,6.00
Call,"19,690.00s",N/A,N/A,"393,800.00","8,500.00",Put,0.40s,N/A,41,8.00
Call,"19,190.00s",N/A,N/A,"383,800.00","9,000.00",Put,0.60s,N/A,66,12.00
Call,"18,690.00s",N/A,N/A,"373,800.00","9,500.00",Put,0.90s,N/A,58,18.00
Call,"18,190.00s",N/A,N/A,"363,800.00","10,000.00",Put,1.25s,N/A,552,25.00
Call,"17,690.00s",N/A,N/A,"353,800.00","10,500.00",Put,1.55s,N/A,174,31.00
Call,"17,190.00s",N/A,N/A,"343,800.00","11,000.00",Put,1.95s,N/A,514,39.00
Call,"16,690.00s",N/A,N/A,"333,800.00","11,500.00",Put,2.35s,N/A,322,47.00
Call,"16,190.00s",N/A,N/A,"323,800.00","12,000.00",Put,2.85s,N/A,76,57.00
Call,"15,690.00s",N/A,N/A,"313,800.00","12,500.00",Put,3.40s,N/A,59,68.00
Call,"15,190.00s",N/A,N/A,"303,800.00","13,000.00",Put,4.00s,N/A,202,80.00
Call,"14,690.00s",N/A,N/A,"293,800.00","13,500.00",Put,4.70s,N/A,45,94.00
Call,"14,190.00s",N/A,N/A,"283,800.00","14,000.00",Put,5.50s,12,78,110.00
Call,"13,690.00s",N/A,N/A,"273,800.00","14,500.00",Put,6.50s,N/A,47,130.00
Call,"13,190.00s",N/A,N/A,"263,800.00","15,000.00",Put,7.75s,6,95,155.00
Call,"12,690.00s",N/A,N/A,"253,800.00","15,500.00",Put,9.00s,4,53,180.00
