Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
"25,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"5,000.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-19.18%,Put,08/14/26
"24,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"5,500.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-19.18%,Put,08/14/26
"24,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"6,000.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-19.18%,Put,08/14/26
"23,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"6,500.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-19.18%,Put,08/14/26
"23,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"7,000.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-19.18%,Put,08/14/26
"22,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"7,500.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-19.18%,Put,08/14/26
"22,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"8,000.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-19.18%,Put,08/14/26
"21,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"8,500.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-19.18%,Put,08/14/26
"21,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"9,000.00",0.05s,0.00%,0.0000,0.0000,0.0000,0.0000,-19.18%,Put,08/14/26
"20,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"9,500.00",0.05s,99.49%,0.0000,0.0000,-0.0135,0.0091,+80.32%,Put,08/14/26
"20,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"10,000.00",0.10s,99.03%,0.0000,0.0000,-0.0252,0.0170,+79.86%,Put,08/14/26
"19,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"10,500.00",0.10s,94.77%,0.0000,0.0000,-0.0251,0.0178,+75.59%,Put,08/14/26
"19,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"11,000.00",0.10s,90.70%,-0.0001,0.0000,-0.0250,0.0185,+71.52%,Put,08/14/26
"18,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"11,500.00",0.15s,88.99%,-0.0001,0.0000,-0.0358,0.0271,+69.81%,Put,08/14/26
"18,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"12,000.00",0.25s,88.02%,-0.0001,0.0000,-0.0564,0.0431,+68.84%,Put,08/14/26
"17,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"12,500.00",0.30s,85.28%,-0.0002,0.0000,-0.0660,0.0522,+66.11%,Put,08/14/26
"17,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"13,000.00",0.40s,83.26%,-0.0002,0.0000,-0.0849,0.0687,+64.08%,Put,08/14/26
"16,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"13,500.00",0.50s,80.94%,-0.0003,0.0000,-0.1029,0.0858,+61.77%,Put,08/14/26
"16,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"14,000.00",0.65s,78.94%,-0.0003,0.0000,-0.1291,0.1104,+59.76%,Put,08/14/26
"15,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"14,500.00",0.75s,76.31%,-0.0004,0.0000,-0.1456,0.1290,+57.13%,Put,08/14/26
"15,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"15,000.00",0.95s,74.29%,-0.0005,0.0000,-0.1782,0.1623,+55.11%,Put,08/14/26
"14,641.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"15,500.00",1.10s,71.81%,-0.0006,0.0000,-0.2014,0.1900,+52.64%,Put,08/14/26
"14,141.75s",0.00%,0.9967,0.0000,0.0000,0.0000,-19.18%,Call,08/14/26,"16,000.00",1.35s,69.73%,-0.0008,0.0000,-0.2393,0.2327,+50.55%,Put,08/14/26
"13,641.75s",98.37%,0.9833,0.0000,-4.6418,3.0571,+79.19%,Call,08/14/26,"16,500.00",1.60s,67.49%,-0.0009,0.0000,-0.2755,0.2772,+48.31%,Put,08/14/26
"13,391.75s",95.90%,0.9832,0.0000,-4.5566,3.0795,+76.72%,Call,08/14/26,"16,750.00",1.75s,66.42%,-0.0010,0.0000,-0.2968,0.3035,+47.24%,Put,08/14/26
"13,141.75s",93.46%,0.9831,0.0000,-4.4713,3.1017,+74.29%,Call,08/14/26,"17,000.00",1.90s,65.31%,-0.0011,0.0000,-0.3175,0.3305,+46.13%,Put,08/14/26
"12,891.75s",91.07%,0.9830,0.0000,-4.3858,3.1238,+71.89%,Call,08/14/26,"17,250.00",2.05s,64.18%,-0.0012,0.0000,-0.3378,0.3581,+45.00%,Put,08/14/26
"12,641.75s",88.71%,0.9829,0.0000,-4.3003,3.1457,+69.53%,Call,08/14/26,"17,500.00",2.25s,63.16%,-0.0013,0.0000,-0.3647,0.3930,+43.98%,Put,08/14/26
"12,391.75s",86.38%,0.9828,0.0000,-4.2146,3.1675,+67.20%,Call,08/14/26,"17,750.00",2.45s,62.10%,-0.0015,0.0000,-0.3909,0.4288,+42.92%,Put,08/14/26
"12,141.75s",84.09%,0.9827,0.0000,-4.1289,3.1892,+64.91%,Call,08/14/26,"18,000.00",2.70s,61.12%,-0.0016,0.0000,-0.4233,0.4720,+41.94%,Put,08/14/26
"11,891.75s",81.82%,0.9825,0.0000,-4.0430,3.2107,+62.65%,Call,08/14/26,"18,250.00",2.95s,60.09%,-0.0018,0.0000,-0.4548,0.5161,+40.92%,Put,08/14/26
"11,641.75s",79.60%,0.9824,0.0000,-3.9571,3.2321,+60.42%,Call,08/14/26,"18,500.00",3.25s,59.13%,-0.0020,0.0000,-0.4920,0.5678,+39.95%,Put,08/14/26
"11,391.75s",77.40%,0.9823,0.0000,-3.8711,3.2533,+58.22%,Call,08/14/26,"18,750.00",3.55s,58.12%,-0.0022,0.0000,-0.5282,0.6206,+38.94%,Put,08/14/26
"11,141.75s",75.23%,0.9822,0.0000,-3.7850,3.2744,+56.05%,Call,08/14/26,"19,000.00",3.85s,57.07%,-0.0024,0.0000,-0.5634,0.6746,+37.90%,Put,08/14/26
"10,891.75s",73.09%,0.9821,0.0000,-3.6988,3.2954,+53.91%,Call,08/14/26,"19,250.00",4.20s,56.07%,-0.0027,0.0000,-0.6039,0.7365,+36.90%,Put,08/14/26
"10,641.75s",70.98%,0.9820,0.0000,-3.6126,3.3163,+51.80%,Call,08/14/26,"19,500.00",4.60s,55.10%,-0.0030,0.0000,-0.6492,0.8063,+35.92%,Put,08/14/26
"10,391.75s",68.89%,0.9819,0.0000,-3.5263,3.3370,+49.72%,Call,08/14/26,"19,750.00",5.00s,54.08%,-0.0033,0.0000,-0.6932,0.8778,+34.91%,Put,08/14/26
"10,141.75s",66.84%,0.9818,0.0000,-3.4399,3.3577,+47.66%,Call,08/14/26,"20,000.00",5.50s,53.14%,-0.0036,0.0000,-0.7474,0.9639,+33.97%,Put,08/14/26
"9,891.75s",64.81%,0.9817,0.0000,-3.3535,3.3781,+45.63%,Call,08/14/26,"20,250.00",6.00s,52.16%,-0.0040,0.0000,-0.7999,1.0519,+32.98%,Put,08/14/26
"9,641.75s",62.80%,0.9816,0.0000,-3.2670,3.3985,+43.63%,Call,08/14/26,"20,500.00",6.50s,51.14%,-0.0044,0.0000,-0.8507,1.1421,+31.96%,Put,08/14/26
"9,391.75s",60.82%,0.9815,0.0000,-3.1804,3.4188,+41.65%,Call,08/14/26,"20,750.00",7.00s,50.09%,-0.0048,0.0000,-0.8999,1.2347,+30.91%,Put,08/14/26
"9,141.75s",58.87%,0.9814,0.0000,-3.0938,3.4390,+39.69%,Call,08/14/26,"21,000.00",7.50s,49.01%,-0.0052,0.0000,-0.9476,1.3301,+29.84%,Put,08/14/26
"8,892.00s",57.01%,0.9812,0.0000,-3.0276,3.4778,+37.83%,Call,08/14/26,"21,250.00",8.25s,48.09%,-0.0057,0.0000,-1.0196,1.4599,+28.91%,Put,08/14/26
