Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,"24,917.25s",N/A,N/A,"498,345.00","5,000.00",Put,0.75s,N/A,3,15.00
Call,"24,417.25s",N/A,N/A,"488,345.00","5,500.00",Put,0.75s,N/A,20,15.00
Call,"23,917.25s",N/A,N/A,"478,345.00","6,000.00",Put,0.75s,N/A,39,15.00
Call,"23,417.25s",N/A,N/A,"468,345.00","6,500.00",Put,0.75s,N/A,116,15.00
Call,"22,917.25s",N/A,N/A,"458,345.00","7,000.00",Put,0.75s,N/A,51,15.00
Call,"22,417.25s",N/A,N/A,"448,345.00","7,500.00",Put,0.75s,N/A,176,15.00
Call,"21,917.25s",N/A,N/A,"438,345.00","8,000.00",Put,0.85s,N/A,175,17.00
Call,"21,417.25s",N/A,N/A,"428,345.00","8,500.00",Put,1.05s,N/A,N/A,21.00
Call,"20,917.25s",N/A,N/A,"418,345.00","9,000.00",Put,1.35s,N/A,5,27.00
Call,"20,417.25s",N/A,N/A,"408,345.00","9,500.00",Put,1.80s,N/A,85,36.00
Call,"19,917.25s",N/A,N/A,"398,345.00","10,000.00",Put,2.35s,N/A,175,47.00
Call,"19,417.25s",N/A,N/A,"388,345.00","10,500.00",Put,2.75s,43,162,55.00
Call,"18,917.25s",N/A,N/A,"378,345.00","11,000.00",Put,3.45s,1,49,69.00
Call,"18,417.25s",N/A,N/A,"368,345.00","11,500.00",Put,3.95s,N/A,36,79.00
Call,"17,917.25s",N/A,N/A,"358,345.00","12,000.00",Put,5.00s,5,624,100.00
Call,"17,417.25s",N/A,N/A,"348,345.00","12,500.00",Put,5.25s,1,85,105.00
Call,"16,917.25s",N/A,N/A,"338,345.00","13,000.00",Put,6.00s,N/A,97,120.00
Call,"16,417.25s",N/A,N/A,"328,345.00","13,500.00",Put,8.25s,50,186,165.00
Call,"15,917.25s",N/A,N/A,"318,345.00","14,000.00",Put,8.00s,N/A,330,160.00
Call,"15,417.25s",N/A,N/A,"308,345.00","14,500.00",Put,11.00s,1,265,220.00
Call,"14,917.25s",N/A,N/A,"298,345.00","15,000.00",Put,11.25s,N/A,130,225.00
Call,"14,417.25s",N/A,N/A,"288,345.00","15,500.00",Put,13.25s,N/A,63,265.00
