Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
"24,917.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"5,000.00",0.75s,0.00%,0.0000,0.0000,0.0000,0.0000,-18.39%,Put,09/18/26
"24,417.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"5,500.00",0.75s,98.84%,-0.0002,0.0000,-0.0482,0.1034,+80.45%,Put,09/18/26
"23,917.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"6,000.00",0.75s,93.83%,-0.0002,0.0000,-0.0480,0.1088,+75.44%,Put,09/18/26
"23,417.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"6,500.00",0.75s,89.22%,-0.0002,0.0000,-0.0477,0.1144,+70.83%,Put,09/18/26
"22,917.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"7,000.00",0.75s,84.97%,-0.0002,0.0000,-0.0474,0.1200,+66.58%,Put,09/18/26
"22,417.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"7,500.00",0.75s,81.03%,-0.0002,0.0000,-0.0472,0.1257,+62.64%,Put,09/18/26
"21,917.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"8,000.00",0.85s,78.06%,-0.0002,0.0000,-0.0524,0.1454,+59.67%,Put,09/18/26
"21,417.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"8,500.00",1.05s,75.78%,-0.0003,0.0000,-0.0628,0.1799,+57.39%,Put,09/18/26
"20,917.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"9,000.00",1.35s,73.89%,-0.0004,0.0000,-0.0780,0.2292,+55.50%,Put,09/18/26
"20,417.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"9,500.00",1.80s,72.35%,-0.0005,0.0000,-0.0998,0.2998,+53.97%,Put,09/18/26
"19,917.25s",95.86%,0.9824,0.0000,-1.4009,2.9375,+77.47%,Call,09/18/26,"10,000.00",2.35s,70.82%,-0.0007,0.0000,-0.1253,0.3846,+52.44%,Put,09/18/26
"19,417.25s",89.98%,0.9828,0.0000,-1.2312,2.7598,+71.59%,Call,09/18/26,"10,500.00",2.75s,68.74%,-0.0009,0.0000,-0.1427,0.4525,+50.35%,Put,09/18/26
"18,917.25s",86.81%,0.9823,0.0000,-1.2772,2.9694,+68.41%,Call,09/18/26,"11,000.00",3.45s,67.19%,-0.0011,0.0000,-0.1727,0.5607,+48.80%,Put,09/18/26
"18,417.25s",78.50%,0.9841,0.0000,-0.8764,2.2721,+60.11%,Call,09/18/26,"11,500.00",3.95s,65.16%,-0.0013,0.0000,-0.1928,0.6469,+46.77%,Put,09/18/26
"17,917.25s",72.70%,0.9849,0.0000,-0.6888,1.9407,+54.31%,Call,09/18/26,"12,000.00",5.00s,63.84%,-0.0016,0.0000,-0.2347,0.8042,+45.45%,Put,09/18/26
"17,417.25s",66.58%,0.9859,0.0000,-0.4913,1.5250,+48.19%,Call,09/18/26,"12,500.00",5.25s,61.44%,-0.0017,0.0000,-0.2428,0.8678,+43.05%,Put,09/18/26
"16,917.25s",59.50%,0.9871,0.0000,-0.2781,0.9806,+41.11%,Call,09/18/26,"13,000.00",6.00s,59.63%,-0.0020,0.0000,-0.2701,0.9971,+41.24%,Put,09/18/26
"16,417.25s",45.60%,0.9889,0.0000,-0.0265,0.1294,+27.21%,Call,09/18/26,"13,500.00",8.25s,59.02%,-0.0027,0.0000,-0.3520,1.3111,+40.63%,Put,09/18/26
"15,917.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"14,000.00",8.00s,56.33%,-0.0028,0.0000,-0.3396,1.3333,+37.94%,Put,09/18/26
"15,417.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"14,500.00",11.00s,55.83%,-0.0038,0.0000,-0.4416,1.7460,+37.44%,Put,09/18/26
"14,917.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"15,000.00",11.25s,53.55%,-0.0040,0.0000,-0.4455,1.8453,+35.16%,Put,09/18/26
"14,417.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"15,500.00",13.25s,52.19%,-0.0048,0.0000,-0.5065,2.1561,+33.80%,Put,09/18/26
"13,917.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"16,000.00",15.25s,50.74%,-0.0056,0.0000,-0.5642,2.4761,+32.35%,Put,09/18/26
"13,417.25s",0.00%,0.9891,0.0000,0.0000,0.0000,-18.39%,Call,09/18/26,"16,500.00",18.00s,49.47%,-0.0066,0.0000,-0.6413,2.8909,+31.08%,Put,09/18/26
"12,917.25s",0.00%,0.9891,0.0000,0.0000,0.0001,-18.39%,Call,09/18/26,"17,000.00",22.75s,48.68%,-0.0083,0.0000,-0.7710,3.5309,+30.29%,Put,09/18/26
"12,417.25s",0.00%,0.9891,0.0000,0.0000,0.0005,-18.39%,Call,09/18/26,"17,500.00",23.75s,46.70%,-0.0090,0.0000,-0.7889,3.7840,+28.31%,Put,09/18/26
"12,167.25s",0.00%,0.9891,0.0000,-0.0001,0.0009,-18.39%,Call,09/18/26,"17,750.00",25.50s,46.04%,-0.0097,0.0000,-0.8314,4.0501,+27.65%,Put,09/18/26
"11,917.25s",0.00%,0.9891,0.0000,-0.0001,0.0015,-18.39%,Call,09/18/26,"18,000.00",27.25s,45.36%,-0.0105,0.0000,-0.8726,4.3202,+26.97%,Put,09/18/26
"11,667.50s",0.00%,0.9891,0.0000,-0.0002,0.0027,-18.39%,Call,09/18/26,"18,250.00",29.00s,44.65%,-0.0112,0.0000,-0.9124,4.5949,+26.26%,Put,09/18/26
"11,418.00s",0.00%,0.9891,0.0000,-0.0003,0.0045,-18.39%,Call,09/18/26,"18,500.00",33.25s,44.43%,-0.0128,0.0000,-1.0144,5.1297,+26.04%,Put,09/18/26
"11,168.50s",0.00%,0.9891,0.0000,-0.0006,0.0075,-18.39%,Call,09/18/26,"18,750.00",33.00s,43.29%,-0.0130,0.0000,-1.0005,5.2114,+24.90%,Put,09/18/26
"10,919.50s",0.00%,0.9891,0.0000,-0.0010,0.0123,-18.39%,Call,09/18/26,"19,000.00",37.25s,42.98%,-0.0146,0.0000,-1.0971,5.7537,+24.59%,Put,09/18/26
"10,670.75s",0.00%,0.9891,0.0000,-0.0016,0.0197,-18.39%,Call,09/18/26,"19,250.00",37.50s,41.94%,-0.0150,0.0000,-1.0943,5.9009,+23.55%,Put,09/18/26
"10,422.25s",0.00%,0.9891,0.0000,-0.0025,0.0310,-18.39%,Call,09/18/26,"19,500.00",40.00s,41.27%,-0.0161,0.0000,-1.1445,6.2799,+22.88%,Put,09/18/26
"10,174.00s",0.00%,0.9890,0.0000,-0.0039,0.0478,-18.39%,Call,09/18/26,"19,750.00",42.50s,40.59%,-0.0173,0.0000,-1.1927,6.6655,+22.20%,Put,09/18/26
"9,926.00s",0.00%,0.9890,0.0000,-0.0060,0.0724,-18.39%,Call,09/18/26,"20,000.00",42.25,39.49%,-0.0177,0.0000,-1.1765,6.7855,+21.10%,Put,"01:45 CT"
"9,678.50s",0.00%,0.9889,0.0000,-0.0090,0.1077,-18.39%,Call,09/18/26,"20,250.00",48.25s,39.26%,-0.0200,0.0000,-1.2997,7.5321,+20.87%,Put,09/18/26
"9,431.25s",0.00%,0.9888,0.0000,-0.0133,0.1576,-18.39%,Call,09/18/26,"20,500.00",51.50s,38.62%,-0.0215,0.0000,-1.3578,8.0131,+20.23%,Put,09/18/26
"9,184.25s",0.00%,0.9887,0.0000,-0.0194,0.2270,-18.39%,Call,09/18/26,"20,750.00",55.00s,37.98%,-0.0231,0.0000,-1.4186,8.5259,+19.59%,Put,09/18/26
"8,937.50s",0.00%,0.9885,0.0000,-0.0278,0.3219,-18.39%,Call,09/18/26,"21,000.00",58.75s,37.34%,-0.0249,0.0000,-1.4816,9.0707,+18.95%,Put,09/18/26
"8,691.50s",0.00%,0.9883,0.0000,-0.0392,0.4495,-18.39%,Call,09/18/26,"21,250.00",62.75s,36.71%,-0.0268,0.0000,-1.5465,9.6475,+18.32%,Put,09/18/26
"8,445.50s",0.00%,0.9879,0.0000,-0.0546,0.6185,-18.39%,Call,09/18/26,"21,500.00",70.00s,36.37%,-0.0298,0.0000,-1.6709,10.5221,+17.98%,Put,09/18/26
"8,200.25s",0.00%,0.9874,0.0000,-0.0750,0.8392,-18.39%,Call,09/18/26,"21,750.00",71.75s,35.46%,-0.0311,0.0000,-1.6854,10.9205,+17.07%,Put,09/18/26
"7,955.25s",0.00%,0.9868,0.0000,-0.1015,1.1229,-18.39%,Call,09/18/26,"22,000.00",70.75,34.32%,-0.0317,0.0000,-1.6470,11.0872,+15.93%,Put,"23:13 CT"
"7,711.00s",0.00%,0.9860,0.0000,-0.1356,1.4827,-18.39%,Call,09/18/26,"22,250.00",82.25s,34.24%,-0.0362,0.0000,-1.8362,12.3663,+15.85%,Put,09/18/26
"7,467.00s",0.00%,0.9849,0.0000,-0.1788,1.9326,-18.39%,Call,09/18/26,"22,500.00",98.25s,34.38%,-0.0421,0.0000,-2.0891,13.9680,+15.99%,Put,09/18/26
"7,223.75s",0.00%,0.9835,0.0000,-0.2328,2.4876,-18.39%,Call,09/18/26,"22,750.00",109.50s,34.06%,-0.0466,0.0000,-2.2465,15.1596,+15.67%,Put,09/18/26
"6,981.00s",0.00%,0.9818,0.0000,-0.2994,3.1633,-18.39%,Call,09/18/26,"23,000.00",115.50s,33.35%,-0.0497,0.0000,-2.3111,15.9675,+14.96%,Put,09/18/26
"6,739.00s",0.00%,0.9796,0.0000,-0.3806,3.9754,-18.39%,Call,09/18/26,"23,250.00",120.50s,32.56%,-0.0527,0.0000,-2.3555,16.7217,+14.17%,Put,09/18/26
