Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
851.90s,0.00%,0.9957,0.0000,0.0000,0.0000,-38.38%,Call,08/05/26,895.00,0.10s,67.29%,-0.0009,0.0000,-0.0134,0.0174,+28.90%,Put,08/05/26
846.90s,0.00%,0.9957,0.0000,0.0000,0.0000,-38.38%,Call,08/05/26,900.00,0.10s,66.77%,-0.0009,0.0000,-0.0133,0.0175,+28.38%,Put,08/05/26
841.90s,0.00%,0.9957,0.0000,0.0000,0.0000,-38.38%,Call,08/05/26,905.00,0.10s,66.25%,-0.0009,0.0000,-0.0133,0.0177,+27.87%,Put,08/05/26
836.90s,0.00%,0.9957,0.0000,0.0000,0.0000,-38.38%,Call,08/05/26,910.00,0.10s,65.74%,-0.0009,0.0000,-0.0133,0.0178,+27.35%,Put,08/05/26
831.90s,0.00%,0.9957,0.0000,0.0000,0.0000,-38.38%,Call,08/05/26,915.00,0.10s,65.23%,-0.0009,0.0000,-0.0133,0.0179,+26.84%,Put,08/05/26
826.90s,0.00%,0.9957,0.0000,0.0000,0.0000,-38.38%,Call,08/05/26,920.00,0.10s,64.72%,-0.0009,0.0000,-0.0133,0.0180,+26.33%,Put,08/05/26
821.90s,0.00%,0.9957,0.0000,0.0000,0.0000,-38.38%,Call,08/05/26,925.00,0.10s,64.21%,-0.0009,0.0000,-0.0133,0.0182,+25.83%,Put,08/05/26
816.90s,0.00%,0.9957,0.0000,0.0000,0.0000,-38.38%,Call,08/05/26,930.00,0.10s,63.71%,-0.0009,0.0000,-0.0132,0.0183,+25.32%,Put,08/05/26
811.90s,0.00%,0.9957,0.0000,0.0000,0.0000,-38.38%,Call,08/05/26,935.00,0.10s,63.21%,-0.0009,0.0000,-0.0132,0.0184,+24.82%,Put,08/05/26
806.90s,0.00%,0.9957,0.0000,0.0000,0.0000,-38.38%,Call,08/05/26,940.00,0.10s,62.71%,-0.0009,0.0000,-0.0132,0.0186,+24.32%,Put,08/05/26
