Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,9.24s,N/A,N/A,"10,348.80",9.00,Put,0.01s,N/A,N/A,11.20
Call,8.24s,N/A,N/A,"9,228.80",10.00,Put,0.01s,N/A,75,11.20
Call,7.74s,N/A,N/A,"8,668.80",10.50,Put,0.01s,N/A,50,11.20
Call,7.24s,N/A,N/A,"8,108.80",11.00,Put,0.01s,N/A,827,11.20
Call,6.74s,N/A,N/A,"7,548.80",11.50,Put,0.01s,N/A,935,11.20
Call,6.24s,N/A,N/A,"6,988.80",12.00,Put,0.01s,N/A,604,11.20
Call,5.99s,N/A,1,"6,708.80",12.25,Put,0.01s,N/A,602,11.20
Call,5.74s,N/A,N/A,"6,428.80",12.50,Put,0.02s,N/A,"1,843",22.40
Call,5.49s,N/A,1,"6,148.80",12.75,Put,0.02s,N/A,404,22.40
Call,5.24s,N/A,150,"5,868.80",13.00,Put,0.02s,N/A,"4,504",22.40
Call,4.99s,N/A,N/A,"5,588.80",13.25,Put,0.03s,N/A,874,33.60
Call,4.75s,N/A,10,"5,320.00",13.50,Put,0.03s,N/A,"6,550",33.60
Call,4.50s,N/A,40,"5,040.00",13.75,Put,0.04s,10,417,44.80
Call,4.26s,N/A,61,"4,771.20",14.00,Put,0.05s,N/A,"9,362",56.00
Call,4.03s,N/A,22,"4,513.60",14.25,Put,0.07s,N/A,921,78.40
Call,3.79s,N/A,83,"4,244.80",14.50,Put,0.08s,N/A,"8,943",89.60
Call,3.56s,N/A,215,"3,987.20",14.75,Put,0.10s,"1,000","6,800",112.00
Call,3.34s,5,"2,841","3,740.80",15.00,Put,0.13s,72,"6,732",145.60
Call,3.13s,N/A,"2,278","3,505.60",15.25,Put,0.16s,N/A,"3,037",179.20
Call,2.92s,N/A,"1,464","3,270.40",15.50,Put,0.20s,N/A,"15,170",224.00
Call,2.72s,N/A,"1,238","3,046.40",15.75,Put,0.25s,N/A,"3,072",280.00
Call,2.52s,N/A,"8,757","2,822.40",16.00,Put,0.31s,"4,117","10,852",347.20
Call,2.34s,N/A,"1,972","2,620.80",16.25,Put,0.37s,1,"1,351",414.40
Call,2.16s,N/A,"13,457","2,419.20",16.50,Put,0.44s,20,"4,983",492.80
Call,2.00s,N/A,"6,918","2,240.00",16.75,Put,0.53s,11,"5,855",593.60
Call,1.84s,N/A,"13,573","2,060.80",17.00,Put,0.62s,"1,066","22,453",694.40
Call,1.70s,N/A,"4,180","1,904.00",17.25,Put,0.72s,N/A,"2,906",806.40
Call,1.56s,N/A,"4,569","1,747.20",17.50,Put,0.83s,250,"7,765",929.60
Call,1.44s,N/A,"3,205","1,612.80",17.75,Put,0.95s,N/A,330,"1,064.00"
Call,1.32s,114,"11,293","1,478.40",18.00,Put,1.08s,"7,013","6,640","1,209.60"
Call,1.21s,22,"4,048","1,355.20",18.25,Put,1.22s,24,257,"1,366.40"
Call,1.11s,"3,001","9,891","1,243.20",18.50,Put,1.37s,"1,521","1,182","1,534.40"
Call,1.02s,N/A,"4,065","1,142.40",18.75,Put,1.53s,N/A,293,"1,713.60"
Call,0.94s,42,"12,621","1,052.80",19.00,Put,1.69s,1,"3,403","1,892.80"
Call,0.86s,N/A,"1,224",963.20,19.25,Put,1.86s,N/A,466,"2,083.20"
Call,0.79s,N/A,"4,971",884.80,19.50,Put,2.04s,N/A,113,"2,284.80"
Call,0.73s,7,389,817.60,19.75,Put,2.22s,N/A,53,"2,486.40"
Call,0.67s,734,"22,867",750.40,20.00,Put,2.41s,N/A,611,"2,699.20"
Call,0.62s,N/A,594,694.40,20.25,Put,2.60s,N/A,112,"2,912.00"
Call,0.57s,20,891,638.40,20.50,Put,2.80s,1,29,"3,136.00"
Call,0.52s,N/A,623,582.40,20.75,Put,3.01s,N/A,6,"3,371.20"
Call,0.48s,"3,642","15,632",537.60,21.00,Put,3.21s,N/A,191,"3,595.20"
Call,0.45s,N/A,700,504.00,21.25,Put,3.42s,N/A,45,"3,830.40"
Call,0.41s,101,"3,962",459.20,21.50,Put,3.64s,N/A,44,"4,076.80"
Call,0.38s,N/A,287,425.60,21.75,Put,3.85s,N/A,25,"4,312.00"
Call,0.35s,260,"13,233",392.00,22.00,Put,4.07s,N/A,1,"4,558.40"
Call,0.32s,N/A,"1,806",358.40,22.25,Put,4.29s,N/A,2,"4,804.80"
Call,0.30s,281,"2,697",336.00,22.50,Put,4.52s,N/A,N/A,"5,062.40"
Call,0.26s,225,"8,773",291.20,23.00,Put,4.97s,N/A,1,"5,566.40"
Call,0.22s,59,585,246.40,23.50,Put,5.43s,N/A,1,"6,081.60"
Call,0.19s,168,"6,144",212.80,24.00,Put,5.90s,N/A,N/A,"6,608.00"
Call,0.18s,N/A,156,201.60,24.25,Put,6.14s,N/A,N/A,"6,876.80"
Call,0.17s,N/A,2,190.40,24.50,Put,6.38s,N/A,N/A,"7,145.60"
Call,0.15s,21,"10,225",168.00,25.00,Put,6.85s,N/A,1,"7,672.00"
Call,0.13s,N/A,2,145.60,25.50,Put,7.33s,N/A,N/A,"8,209.60"
Call,0.11s,20,"3,367",123.20,26.00,Put,7.82s,N/A,1,"8,758.40"
Call,0.10s,N/A,108,112.00,26.50,Put,8.30s,N/A,N/A,"9,296.00"
