Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
9.24s,72.04%,0.9458,0.0098,-0.0023,0.0095,+45.34%,Call,09/18/26,9.00,0.01s,46.22%,-0.0053,0.0029,-0.0002,0.0018,+19.52%,Put,09/18/26
8.24s,61.15%,0.9432,0.0122,-0.0021,0.0101,+34.44%,Call,09/18/26,10.00,0.01s,39.84%,-0.0062,0.0038,-0.0002,0.0020,+13.14%,Put,09/18/26
7.74s,56.13%,0.9419,0.0136,-0.0019,0.0103,+29.42%,Call,09/18/26,10.50,0.01s,36.88%,-0.0067,0.0043,-0.0002,0.0022,+10.18%,Put,09/18/26
7.24s,51.36%,0.9407,0.0152,-0.0018,0.0106,+24.65%,Call,09/18/26,11.00,0.01s,34.05%,-0.0072,0.0050,-0.0002,0.0023,+7.34%,Put,09/18/26
6.74s,46.81%,0.9394,0.0171,-0.0017,0.0108,+20.10%,Call,09/18/26,11.50,0.01s,31.33%,-0.0078,0.0059,-0.0002,0.0025,+4.62%,Put,09/18/26
6.24s,42.46%,0.9382,0.0193,-0.0015,0.0110,+15.76%,Call,09/18/26,12.00,0.01s,28.72%,-0.0085,0.0069,-0.0002,0.0027,+2.01%,Put,09/18/26
5.99s,40.36%,0.9376,0.0205,-0.0015,0.0112,+13.65%,Call,09/18/26,12.25,0.01s,27.44%,-0.0089,0.0075,-0.0002,0.0028,+0.74%,Put,09/18/26
5.74s,38.30%,0.9370,0.0218,-0.0014,0.0113,+11.59%,Call,09/18/26,12.50,0.02s,28.90%,-0.0157,0.0117,-0.0003,0.0046,+2.19%,Put,09/18/26
5.49s,36.28%,0.9365,0.0233,-0.0013,0.0114,+9.58%,Call,09/18/26,12.75,0.02s,27.56%,-0.0164,0.0127,-0.0003,0.0047,+0.86%,Put,09/18/26
5.24s,34.31%,0.9359,0.0249,-0.0013,0.0115,+7.60%,Call,09/18/26,13.00,0.02s,26.25%,-0.0172,0.0139,-0.0003,0.0049,-0.45%,Put,09/18/26
4.99s,32.37%,0.9353,0.0266,-0.0012,0.0116,+5.67%,Call,09/18/26,13.25,0.03s,26.67%,-0.0242,0.0183,-0.0005,0.0066,-0.04%,Put,09/18/26
4.75s,31.30%,0.9307,0.0296,-0.0013,0.0125,+4.59%,Call,09/18/26,13.50,0.03s,25.33%,-0.0254,0.0201,-0.0004,0.0069,-1.37%,Put,09/18/26
4.50s,29.43%,0.9299,0.0318,-0.0012,0.0126,+2.72%,Call,09/18/26,13.75,0.04s,25.29%,-0.0327,0.0248,-0.0005,0.0085,-1.42%,Put,09/18/26
4.26s,28.35%,0.9247,0.0355,-0.0013,0.0136,+1.64%,Call,09/18/26,14.00,0.05s,24.99%,-0.0401,0.0296,-0.0006,0.0100,-1.71%,Put,09/18/26
4.03s,27.91%,0.9150,0.0406,-0.0014,0.0153,+1.20%,Call,09/18/26,14.25,0.07s,25.35%,-0.0528,0.0365,-0.0008,0.0125,-1.35%,Put,09/18/26
3.79s,26.72%,0.9090,0.0452,-0.0014,0.0163,+0.02%,Call,09/18/26,14.50,0.08s,24.65%,-0.0607,0.0418,-0.0009,0.0139,-2.06%,Put,09/18/26
3.56s,26.08%,0.8984,0.0512,-0.0016,0.0180,-0.63%,Call,09/18/26,14.75,0.10s,24.49%,-0.0737,0.0489,-0.0010,0.0162,-2.22%,Put,09/18/26
3.34s,25.83%,0.8834,0.0583,-0.0018,0.0203,-0.88%,Call,09/18/26,15.00,0.13s,24.65%,-0.0912,0.0570,-0.0012,0.0190,-2.06%,Put,09/18/26
3.13s,25.83%,0.8647,0.0659,-0.0020,0.0230,-0.87%,Call,09/18/26,15.25,0.16s,24.53%,-0.1086,0.0651,-0.0014,0.0215,-2.18%,Put,09/18/26
2.92s,25.61%,0.8458,0.0736,-0.0023,0.0254,-1.10%,Call,09/18/26,15.50,0.20s,24.61%,-0.1298,0.0736,-0.0016,0.0244,-2.10%,Put,09/18/26
2.72s,25.55%,0.8235,0.0815,-0.0025,0.0281,-1.15%,Call,09/18/26,15.75,0.25s,24.80%,-0.1541,0.0819,-0.0018,0.0274,-1.90%,Put,09/18/26
2.52s,25.29%,0.8011,0.0896,-0.0028,0.0306,-1.42%,Call,09/18/26,16.00,0.31s,25.06%,-0.1808,0.0898,-0.0020,0.0304,-1.64%,Put,09/18/26
2.34s,25.44%,0.7735,0.0969,-0.0031,0.0333,-1.26%,Call,09/18/26,16.25,0.37s,25.06%,-0.2073,0.0976,-0.0022,0.0330,-1.65%,Put,09/18/26
2.16s,25.36%,0.7461,0.1041,-0.0033,0.0356,-1.34%,Call,09/18/26,16.50,0.44s,25.12%,-0.2359,0.1048,-0.0024,0.0355,-1.58%,Put,09/18/26
2.00s,25.61%,0.7152,0.1099,-0.0037,0.0380,-1.09%,Call,09/18/26,16.75,0.53s,25.49%,-0.2678,0.1103,-0.0026,0.0379,-1.21%,Put,09/18/26
1.84s,25.63%,0.6846,0.1156,-0.0039,0.0400,-1.07%,Call,09/18/26,17.00,0.62s,25.62%,-0.2990,0.1156,-0.0027,0.0400,-1.08%,Put,09/18/26
1.70s,25.93%,0.6521,0.1193,-0.0042,0.0417,-0.78%,Call,09/18/26,17.25,0.72s,25.78%,-0.3310,0.1199,-0.0028,0.0417,-0.93%,Put,09/18/26
1.56s,26.01%,0.6200,0.1229,-0.0045,0.0431,-0.69%,Call,09/18/26,17.50,0.83s,25.96%,-0.3634,0.1231,-0.0029,0.0431,-0.74%,Put,09/18/26
1.44s,26.35%,0.5874,0.1244,-0.0047,0.0442,-0.35%,Call,09/18/26,17.75,0.95s,26.17%,-0.3959,0.1252,-0.0030,0.0442,-0.53%,Put,09/18/26
1.32s,26.50%,0.5554,0.1258,-0.0049,0.0450,-0.21%,Call,09/18/26,18.00,1.08s,26.41%,-0.4282,0.1262,-0.0031,0.0450,-0.30%,Put,09/18/26
1.21s,26.68%,0.5238,0.1262,-0.0051,0.0454,-0.02%,Call,09/18/26,18.25,1.22s,26.69%,-0.4598,0.1262,-0.0031,0.0454,-0.02%,Put,09/18/26
1.11s,26.91%,0.4930,0.1255,-0.0053,0.0456,+0.20%,Call,09/18/26,18.50,1.37s,27.00%,-0.4904,0.1251,-0.0031,0.0456,+0.30%,Put,09/18/26
1.02s,27.19%,0.4633,0.1239,-0.0054,0.0455,+0.49%,Call,09/18/26,18.75,1.53s,27.37%,-0.5196,0.1231,-0.0031,0.0455,+0.67%,Put,09/18/26
0.94s,27.53%,0.4350,0.1214,-0.0055,0.0451,+0.83%,Call,09/18/26,19.00,1.69s,27.59%,-0.5483,0.1212,-0.0031,0.0451,+0.88%,Put,09/18/26
0.86s,27.73%,0.4073,0.1190,-0.0056,0.0445,+1.02%,Call,09/18/26,19.25,1.86s,27.87%,-0.5755,0.1184,-0.0030,0.0445,+1.17%,Put,09/18/26
