Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,6.66s,N/A,N/A,"7,459.20",8.00,Put,0.01s,N/A,"1,590",11.20
Call,5.66s,N/A,N/A,"6,339.20",9.00,Put,0.01s,N/A,"1,771",11.20
Call,4.66s,N/A,N/A,"5,219.20",10.00,Put,0.01s,N/A,"2,183",11.20
Call,4.16s,N/A,N/A,"4,659.20",10.50,Put,0.01s,N/A,611,11.20
Call,3.66s,N/A,N/A,"4,099.20",11.00,Put,0.01s,N/A,871,11.20
Call,3.41s,N/A,N/A,"3,819.20",11.25,Put,0.01s,N/A,527,11.20
Call,3.16s,N/A,N/A,"3,539.20",11.50,Put,0.01s,N/A,203,11.20
Call,2.91s,N/A,N/A,"3,259.20",11.75,Put,0.01s,N/A,279,11.20
Call,2.67s,N/A,N/A,"2,990.40",12.00,Put,0.01s,N/A,"4,025",11.20
Call,2.42s,N/A,N/A,"2,710.40",12.25,Put,0.01s,N/A,"7,484",11.20
Call,2.17s,N/A,13,"2,430.40",12.50,Put,0.02s,N/A,"3,897",22.40
Call,1.93s,N/A,3,"2,161.60",12.75,Put,0.03s,N/A,429,33.60
Call,1.69s,N/A,38,"1,892.80",13.00,Put,0.04s,"1,050","7,713",44.80
Call,1.46s,N/A,50,"1,635.20",13.25,Put,0.05s,72,"2,920",56.00
Call,1.24s,N/A,260,"1,388.80",13.50,Put,0.08s,256,"10,827",89.60
Call,1.03s,N/A,412,"1,153.60",13.75,Put,0.13s,207,"4,155",145.60
Call,0.84s,40,"2,050",940.80,14.00,Put,0.18s,916,"11,486",201.60
Call,0.67s,N/A,"2,124",750.40,14.25,Put,0.27s,307,"14,485",302.40
Call,0.53s,11,"4,371",593.60,14.50,Put,0.37s,"2,027","7,933",414.40
Call,0.41s,40,"2,318",459.20,14.75,Put,0.50s,50,"2,818",560.00
Call,0.32s,"1,706","12,916",358.40,15.00,Put,0.65s,1,"9,637",728.00
Call,0.24s,N/A,"3,658",268.80,15.25,Put,0.83s,N/A,451,929.60
Call,0.18s,265,"15,954",201.60,15.50,Put,1.02s,2,"4,015","1,142.40"
Call,0.14s,139,"5,373",156.80,15.75,Put,1.22s,N/A,151,"1,366.40"
Call,0.11s,772,"28,351",123.20,16.00,Put,1.44s,3,"3,473","1,612.80"
Call,0.08s,75,"1,914",89.60,16.25,Put,1.67s,N/A,290,"1,870.40"
Call,0.06s,33,"13,459",67.20,16.50,Put,1.90s,N/A,"1,166","2,128.00"
Call,0.05s,25,"1,873",56.00,16.75,Put,2.13s,N/A,66,"2,385.60"
Call,0.04s,25,"41,167",44.80,17.00,Put,2.37s,N/A,"1,698","2,654.40"
Call,0.03s,1,"2,221",33.60,17.25,Put,2.61s,N/A,"1,016","2,923.20"
Call,0.02s,N/A,"4,803",22.40,17.50,Put,2.86s,N/A,"2,477","3,203.20"
Call,0.02s,N/A,587,22.40,17.75,Put,3.10s,N/A,507,"3,472.00"
Call,0.02s,N/A,"14,368",22.40,18.00,Put,3.35s,N/A,653,"3,752.00"
Call,0.01s,N/A,"1,305",11.20,18.25,Put,3.60s,N/A,"1,109","4,032.00"
Call,0.01s,N/A,"2,437",11.20,18.50,Put,3.84s,N/A,101,"4,300.80"
Call,0.01s,N/A,"1,814",11.20,18.75,Put,4.09s,N/A,775,"4,580.80"
Call,0.01s,"1,000","6,691",11.20,19.00,Put,4.34s,N/A,26,"4,860.80"
Call,0.01s,N/A,"1,066",11.20,19.25,Put,4.59s,N/A,N/A,"5,140.80"
Call,0.01s,N/A,"1,186",11.20,19.50,Put,4.84s,N/A,N/A,"5,420.80"
Call,0.01s,N/A,709,11.20,19.75,Put,5.09s,N/A,N/A,"5,700.80"
Call,0.01s,5,"31,845",11.20,20.00,Put,5.34s,N/A,N/A,"5,980.80"
Call,0.01s,N/A,494,11.20,20.25,Put,5.59s,N/A,N/A,"6,260.80"
Call,0.01s,N/A,635,11.20,20.50,Put,5.84s,N/A,N/A,"6,540.80"
Call,0.01s,N/A,506,11.20,20.75,Put,6.09s,N/A,N/A,"6,820.80"
Call,0.01s,N/A,"1,556",11.20,21.00,Put,6.34s,N/A,N/A,"7,100.80"
Call,0.01s,N/A,229,11.20,21.25,Put,6.59s,N/A,N/A,"7,380.80"
Call,0.01s,N/A,416,11.20,21.50,Put,6.84s,N/A,N/A,"7,660.80"
Call,0.01s,N/A,284,11.20,21.75,Put,7.09s,N/A,N/A,"7,940.80"
Call,0.01s,N/A,"1,620",11.20,22.00,Put,7.34s,N/A,N/A,"8,220.80"
Call,0.01s,N/A,10,11.20,22.25,Put,7.59s,N/A,N/A,"8,500.80"
Call,0.01s,N/A,653,11.20,22.50,Put,7.84s,N/A,N/A,"8,780.80"
Call,0.01s,N/A,20,11.20,22.75,Put,8.09s,N/A,N/A,"9,060.80"
Call,0.01s,N/A,788,11.20,23.00,Put,8.34s,N/A,N/A,"9,340.80"
Call,0.01s,N/A,170,11.20,23.25,Put,8.59s,N/A,N/A,"9,620.80"
Call,0.01s,N/A,245,11.20,23.50,Put,8.84s,N/A,N/A,"9,900.80"
Call,0.01s,N/A,571,11.20,24.00,Put,9.34s,N/A,N/A,"10,460.80"
Call,0.01s,N/A,500,11.20,24.50,Put,9.84s,N/A,N/A,"11,020.80"
Call,0.01s,N/A,"1,415",11.20,25.00,Put,10.34s,N/A,N/A,"11,580.80"
Call,0.01s,N/A,544,11.20,26.00,Put,11.34s,N/A,N/A,"12,700.80"
Call,0.01s,N/A,15,11.20,27.00,Put,12.34s,N/A,N/A,"13,820.80"
Call,0.01s,N/A,472,11.20,30.00,Put,15.34s,N/A,N/A,"17,180.80"
Call,0.01s,N/A,N/A,11.20,60.00,Put,45.34s,N/A,N/A,"50,780.80"
"Downloaded from Barchart.com as of 08-02-2026 05:02pm CDT"
