Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
8.42s,0.00%,0.9965,0.0000,0.0000,0.0000,-29.60%,Call,08/12/26,8.00,0.01s,99.14%,-0.0057,0.0033,-0.0011,0.0008,+69.54%,Put,08/12/26
7.42s,96.15%,0.9825,0.0074,-0.0025,0.0018,+66.56%,Call,08/12/26,9.00,0.01s,84.12%,-0.0067,0.0045,-0.0011,0.0009,+54.52%,Put,08/12/26
6.42s,79.22%,0.9816,0.0095,-0.0022,0.0019,+49.62%,Call,08/12/26,10.00,0.01s,70.63%,-0.0080,0.0062,-0.0011,0.0011,+41.03%,Put,08/12/26
5.92s,71.39%,0.9812,0.0108,-0.0020,0.0019,+41.79%,Call,08/12/26,10.50,0.01s,64.32%,-0.0087,0.0073,-0.0011,0.0012,+34.72%,Put,08/12/26
5.42s,63.94%,0.9808,0.0123,-0.0018,0.0020,+34.34%,Call,08/12/26,11.00,0.01s,58.28%,-0.0096,0.0088,-0.0010,0.0013,+28.68%,Put,08/12/26
5.17s,60.34%,0.9806,0.0132,-0.0017,0.0020,+30.74%,Call,08/12/26,11.25,0.01s,55.35%,-0.0101,0.0097,-0.0010,0.0013,+25.75%,Put,08/12/26
4.92s,56.83%,0.9804,0.0141,-0.0016,0.0020,+27.23%,Call,08/12/26,11.50,0.01s,52.48%,-0.0106,0.0106,-0.0010,0.0014,+22.88%,Put,08/12/26
4.67s,53.39%,0.9802,0.0152,-0.0016,0.0020,+23.79%,Call,08/12/26,11.75,0.01s,49.66%,-0.0112,0.0118,-0.0010,0.0015,+20.06%,Put,08/12/26
4.42s,50.02%,0.9800,0.0164,-0.0015,0.0021,+20.42%,Call,08/12/26,12.00,0.01s,46.88%,-0.0118,0.0131,-0.0010,0.0015,+17.29%,Put,08/12/26
4.17s,46.73%,0.9798,0.0177,-0.0014,0.0021,+17.13%,Call,08/12/26,12.25,0.01s,44.16%,-0.0125,0.0146,-0.0010,0.0016,+14.56%,Put,08/12/26
3.92s,43.50%,0.9796,0.0192,-0.0013,0.0021,+13.90%,Call,08/12/26,12.50,0.01s,41.46%,-0.0132,0.0163,-0.0010,0.0017,+11.87%,Put,08/12/26
3.67s,40.33%,0.9794,0.0209,-0.0012,0.0021,+10.73%,Call,08/12/26,12.75,0.01s,38.82%,-0.0141,0.0184,-0.0009,0.0018,+9.22%,Put,08/12/26
3.42s,37.24%,0.9792,0.0229,-0.0011,0.0021,+7.64%,Call,08/12/26,13.00,0.01s,36.20%,-0.0150,0.0208,-0.0009,0.0019,+6.60%,Put,08/12/26
