Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,35.498s,N/A,N/A,"177,490.00",25.250,Put,0.001s,N/A,N/A,5.00
Call,35.248s,N/A,N/A,"176,240.00",25.500,Put,0.001s,N/A,N/A,5.00
Call,34.998s,N/A,N/A,"174,990.00",25.750,Put,0.001s,N/A,N/A,5.00
Call,34.748s,N/A,N/A,"173,740.00",26.000,Put,0.001s,N/A,N/A,5.00
Call,34.498s,N/A,N/A,"172,490.00",26.250,Put,0.001s,N/A,N/A,5.00
Call,34.248s,N/A,N/A,"171,240.00",26.500,Put,0.001s,N/A,N/A,5.00
Call,33.998s,N/A,N/A,"169,990.00",26.750,Put,0.001s,N/A,N/A,5.00
Call,33.748s,N/A,N/A,"168,740.00",27.000,Put,0.001s,N/A,1,5.00
Call,33.498s,N/A,N/A,"167,490.00",27.250,Put,0.002s,N/A,N/A,10.00
Call,33.248s,N/A,N/A,"166,240.00",27.500,Put,0.002s,N/A,N/A,10.00
Call,32.998s,N/A,N/A,"164,990.00",27.750,Put,0.002s,N/A,1,10.00
Call,32.748s,N/A,N/A,"163,740.00",28.000,Put,0.002s,1,2,10.00
Call,32.498s,N/A,N/A,"162,490.00",28.250,Put,0.002s,N/A,N/A,10.00
Call,32.248s,N/A,N/A,"161,240.00",28.500,Put,0.002s,N/A,N/A,10.00
Call,31.998s,N/A,N/A,"159,990.00",28.750,Put,0.003s,N/A,N/A,15.00
Call,31.748s,N/A,N/A,"158,740.00",29.000,Put,0.003s,N/A,N/A,15.00
Call,31.498s,N/A,N/A,"157,490.00",29.250,Put,0.003s,N/A,N/A,15.00
Call,31.248s,N/A,N/A,"156,240.00",29.500,Put,0.003s,N/A,N/A,15.00
Call,30.998s,N/A,N/A,"154,990.00",29.750,Put,0.003s,N/A,N/A,15.00
Call,30.748s,N/A,N/A,"153,740.00",30.000,Put,0.004s,1,2,20.00
Call,30.498s,N/A,N/A,"152,490.00",30.250,Put,0.004s,N/A,N/A,20.00
Call,30.248s,N/A,N/A,"151,240.00",30.500,Put,0.004s,N/A,20,20.00
Call,29.998s,N/A,N/A,"149,990.00",30.750,Put,0.004s,N/A,N/A,20.00
Call,29.748s,N/A,N/A,"148,740.00",31.000,Put,0.005s,N/A,1,25.00
Call,29.498s,N/A,N/A,"147,490.00",31.250,Put,0.005s,N/A,N/A,25.00
Call,29.248s,N/A,N/A,"146,240.00",31.500,Put,0.005s,N/A,N/A,25.00
Call,28.998s,N/A,N/A,"144,990.00",31.750,Put,0.005s,N/A,N/A,25.00
Call,28.748s,N/A,N/A,"143,740.00",32.000,Put,0.006s,N/A,11,30.00
Call,28.498s,N/A,N/A,"142,490.00",32.250,Put,0.006s,N/A,N/A,30.00
Call,28.248s,N/A,N/A,"141,240.00",32.500,Put,0.007s,N/A,N/A,35.00
Call,27.998s,N/A,N/A,"139,990.00",32.750,Put,0.007s,N/A,N/A,35.00
Call,27.748s,N/A,N/A,"138,740.00",33.000,Put,0.007s,N/A,3,35.00
Call,27.498s,N/A,N/A,"137,490.00",33.250,Put,0.008s,N/A,N/A,40.00
Call,27.248s,N/A,N/A,"136,240.00",33.500,Put,0.008s,N/A,1,40.00
Call,26.998s,N/A,N/A,"134,990.00",33.750,Put,0.009s,N/A,N/A,45.00
Call,26.748s,N/A,N/A,"133,740.00",34.000,Put,0.009s,N/A,N/A,45.00
Call,26.498s,N/A,N/A,"132,490.00",34.250,Put,0.010s,N/A,N/A,50.00
Call,26.248s,N/A,N/A,"131,240.00",34.500,Put,0.010s,N/A,N/A,50.00
Call,25.998s,N/A,N/A,"129,990.00",34.750,Put,0.011s,N/A,N/A,55.00
Call,25.748s,N/A,N/A,"128,740.00",35.000,Put,0.012s,N/A,65,60.00
Call,25.498s,N/A,N/A,"127,490.00",35.250,Put,0.012s,N/A,N/A,60.00
Call,25.248s,N/A,N/A,"126,240.00",35.500,Put,0.013s,N/A,N/A,65.00
Call,24.999s,N/A,N/A,"124,995.00",35.750,Put,0.014s,N/A,N/A,70.00
Call,24.749s,N/A,N/A,"123,745.00",36.000,Put,0.014s,N/A,N/A,70.00
Call,24.499s,N/A,N/A,"122,495.00",36.250,Put,0.015s,N/A,N/A,75.00
Call,24.250s,N/A,N/A,"121,250.00",36.500,Put,0.016s,N/A,N/A,80.00
Call,24.000s,N/A,N/A,"120,000.00",36.750,Put,0.017s,N/A,N/A,85.00
Call,23.751s,N/A,N/A,"118,755.00",37.000,Put,0.018s,N/A,1,90.00
Call,23.501s,N/A,N/A,"117,505.00",37.250,Put,0.019s,N/A,N/A,95.00
Call,23.252s,N/A,N/A,"116,260.00",37.500,Put,0.020s,N/A,N/A,100.00
Call,23.003s,N/A,N/A,"115,015.00",37.750,Put,0.021s,N/A,N/A,105.00
Call,22.754s,N/A,N/A,"113,770.00",38.000,Put,0.023s,N/A,7,115.00
Call,22.505s,N/A,N/A,"112,525.00",38.250,Put,0.024s,N/A,N/A,120.00
Call,22.256s,N/A,N/A,"111,280.00",38.500,Put,0.025s,N/A,N/A,125.00
Call,22.007s,N/A,N/A,"110,035.00",38.750,Put,0.027s,N/A,N/A,135.00
Call,21.758s,N/A,N/A,"108,790.00",39.000,Put,0.028s,N/A,4,140.00
Call,21.509s,N/A,N/A,"107,545.00",39.250,Put,0.030s,N/A,N/A,150.00
Call,21.261s,N/A,N/A,"106,305.00",39.500,Put,0.031s,N/A,N/A,155.00
Call,21.012s,N/A,N/A,"105,060.00",39.750,Put,0.033s,N/A,N/A,165.00
Call,20.764s,N/A,7,"103,820.00",40.000,Put,0.031s,2,148,155.00
Call,20.516s,N/A,N/A,"102,580.00",40.250,Put,0.036s,N/A,6,180.00
Call,20.267s,N/A,N/A,"101,335.00",40.500,Put,0.038s,N/A,13,190.00
Call,20.018s,N/A,N/A,"100,090.00",40.750,Put,0.039s,N/A,1,195.00
Call,19.770s,N/A,N/A,"98,850.00",41.000,Put,0.041s,N/A,1,205.00
Call,19.521s,N/A,N/A,"97,605.00",41.250,Put,0.042s,N/A,N/A,210.00
Call,19.273s,N/A,N/A,"96,365.00",41.500,Put,0.044s,N/A,N/A,220.00
Call,19.025s,N/A,N/A,"95,125.00",41.750,Put,0.046s,N/A,1,230.00
Call,18.777s,N/A,N/A,"93,885.00",42.000,Put,0.048s,N/A,14,240.00
Call,18.528s,N/A,N/A,"92,640.00",42.250,Put,0.049s,N/A,N/A,245.00
Call,18.280s,N/A,N/A,"91,400.00",42.500,Put,0.051s,N/A,1,255.00
Call,18.032s,N/A,N/A,"90,160.00",42.750,Put,0.053s,N/A,N/A,265.00
Call,17.785s,N/A,N/A,"88,925.00",43.000,Put,0.055s,N/A,20,275.00
Call,17.537s,N/A,N/A,"87,685.00",43.250,Put,0.058s,N/A,N/A,290.00
Call,17.289s,N/A,N/A,"86,445.00",43.500,Put,0.060s,6,6,300.00
Call,17.042s,N/A,N/A,"85,210.00",43.750,Put,0.062s,1,162,310.00
Call,16.794s,N/A,N/A,"83,970.00",44.000,Put,0.065s,1,24,325.00
Call,16.547s,N/A,N/A,"82,735.00",44.250,Put,0.068s,N/A,N/A,340.00
Call,16.300s,N/A,N/A,"81,500.00",44.500,Put,0.070s,N/A,7,350.00
Call,16.053s,N/A,N/A,"80,265.00",44.750,Put,0.073s,N/A,1,365.00
Call,15.806s,N/A,N/A,"79,030.00",45.000,Put,0.070s,13,89,350.00
Call,15.559s,N/A,N/A,"77,795.00",45.250,Put,0.079s,N/A,6,395.00
Call,15.313s,N/A,N/A,"76,565.00",45.500,Put,0.083s,N/A,20,415.00
Call,15.066s,N/A,N/A,"75,330.00",45.750,Put,0.086s,N/A,6,430.00
Call,14.820s,N/A,N/A,"74,100.00",46.000,Put,0.090s,N/A,50,450.00
Call,14.574s,N/A,N/A,"72,870.00",46.250,Put,0.094s,N/A,3,470.00
Call,14.329s,N/A,N/A,"71,645.00",46.500,Put,0.098s,12,29,490.00
Call,14.083s,N/A,N/A,"70,415.00",46.750,Put,0.103s,N/A,9,515.00
