Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,32.279s,N/A,N/A,"161,395.00",25.250,Put,0.007s,N/A,N/A,35.00
Call,32.029s,N/A,N/A,"160,145.00",25.500,Put,0.008s,N/A,N/A,40.00
Call,31.779s,N/A,N/A,"158,895.00",25.750,Put,0.008s,N/A,N/A,40.00
Call,31.529s,N/A,N/A,"157,645.00",26.000,Put,0.009s,N/A,N/A,45.00
Call,31.279s,N/A,N/A,"156,395.00",26.250,Put,0.010s,N/A,N/A,50.00
Call,31.029s,N/A,N/A,"155,145.00",26.500,Put,0.010s,N/A,N/A,50.00
Call,30.779s,N/A,N/A,"153,895.00",26.750,Put,0.011s,N/A,N/A,55.00
Call,30.529s,N/A,N/A,"152,645.00",27.000,Put,0.011s,N/A,N/A,55.00
Call,30.279s,N/A,N/A,"151,395.00",27.250,Put,0.012s,N/A,N/A,60.00
Call,30.029s,N/A,N/A,"150,145.00",27.500,Put,0.013s,N/A,N/A,65.00
Call,29.779s,N/A,N/A,"148,895.00",27.750,Put,0.014s,N/A,N/A,70.00
Call,29.529s,N/A,N/A,"147,645.00",28.000,Put,0.014s,N/A,N/A,70.00
Call,29.279s,N/A,N/A,"146,395.00",28.250,Put,0.015s,N/A,N/A,75.00
Call,29.029s,N/A,N/A,"145,145.00",28.500,Put,0.016s,N/A,N/A,80.00
Call,28.779s,N/A,N/A,"143,895.00",28.750,Put,0.017s,N/A,N/A,85.00
Call,28.529s,N/A,N/A,"142,645.00",29.000,Put,0.018s,N/A,N/A,90.00
Call,28.279s,N/A,N/A,"141,395.00",29.250,Put,0.019s,N/A,N/A,95.00
Call,28.029s,N/A,N/A,"140,145.00",29.500,Put,0.020s,N/A,N/A,100.00
Call,27.779s,N/A,N/A,"138,895.00",29.750,Put,0.021s,N/A,N/A,105.00
Call,27.529s,N/A,N/A,"137,645.00",30.000,Put,0.022s,1,49,110.00
Call,27.280s,N/A,N/A,"136,400.00",30.250,Put,0.022s,N/A,N/A,110.00
Call,27.030s,N/A,N/A,"135,150.00",30.500,Put,0.022s,N/A,N/A,110.00
Call,26.780s,N/A,N/A,"133,900.00",30.750,Put,0.023s,N/A,N/A,115.00
Call,26.530s,N/A,N/A,"132,650.00",31.000,Put,0.023s,N/A,N/A,115.00
Call,26.280s,N/A,N/A,"131,400.00",31.250,Put,0.023s,N/A,N/A,115.00
Call,26.030s,N/A,N/A,"130,150.00",31.500,Put,0.023s,N/A,N/A,115.00
Call,25.780s,N/A,N/A,"128,900.00",31.750,Put,0.023s,N/A,N/A,115.00
Call,25.530s,N/A,N/A,"127,650.00",32.000,Put,0.023s,N/A,N/A,115.00
Call,25.280s,N/A,N/A,"126,400.00",32.250,Put,0.024s,N/A,N/A,120.00
Call,25.030s,N/A,N/A,"125,150.00",32.500,Put,0.024s,N/A,51,120.00
Call,24.781s,N/A,N/A,"123,905.00",32.750,Put,0.024s,N/A,N/A,120.00
Call,24.531s,N/A,N/A,"122,655.00",33.000,Put,0.024s,N/A,N/A,120.00
Call,24.281s,N/A,N/A,"121,405.00",33.250,Put,0.024s,N/A,N/A,120.00
Call,24.031s,N/A,N/A,"120,155.00",33.500,Put,0.025s,N/A,N/A,125.00
Call,23.781s,N/A,N/A,"118,905.00",33.750,Put,0.025s,N/A,N/A,125.00
Call,23.532s,N/A,N/A,"117,660.00",34.000,Put,0.025s,N/A,1,125.00
Call,23.282s,N/A,N/A,"116,410.00",34.250,Put,0.026s,N/A,N/A,130.00
