Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,39.685s,N/A,N/A,"198,425.00",25.250,Put,0.001s,N/A,N/A,5.00
Call,39.435s,N/A,N/A,"197,175.00",25.500,Put,0.001s,N/A,N/A,5.00
Call,39.185s,N/A,N/A,"195,925.00",25.750,Put,0.001s,N/A,N/A,5.00
Call,38.935s,N/A,N/A,"194,675.00",26.000,Put,0.001s,N/A,N/A,5.00
Call,38.685s,N/A,N/A,"193,425.00",26.250,Put,0.001s,N/A,N/A,5.00
Call,38.435s,N/A,N/A,"192,175.00",26.500,Put,0.001s,N/A,N/A,5.00
Call,38.185s,N/A,N/A,"190,925.00",26.750,Put,0.001s,N/A,N/A,5.00
Call,37.935s,N/A,N/A,"189,675.00",27.000,Put,0.001s,N/A,N/A,5.00
Call,37.685s,N/A,N/A,"188,425.00",27.250,Put,0.001s,N/A,N/A,5.00
Call,37.435s,N/A,N/A,"187,175.00",27.500,Put,0.002s,N/A,N/A,10.00
Call,37.185s,N/A,N/A,"185,925.00",27.750,Put,0.002s,N/A,N/A,10.00
Call,36.935s,N/A,N/A,"184,675.00",28.000,Put,0.002s,N/A,N/A,10.00
Call,36.685s,N/A,N/A,"183,425.00",28.250,Put,0.002s,N/A,N/A,10.00
Call,36.435s,N/A,N/A,"182,175.00",28.500,Put,0.002s,N/A,N/A,10.00
Call,36.185s,N/A,N/A,"180,925.00",28.750,Put,0.003s,N/A,N/A,15.00
Call,35.935s,N/A,N/A,"179,675.00",29.000,Put,0.003s,N/A,N/A,15.00
Call,35.685s,N/A,N/A,"178,425.00",29.250,Put,0.003s,N/A,N/A,15.00
Call,35.435s,N/A,N/A,"177,175.00",29.500,Put,0.003s,N/A,N/A,15.00
Call,35.185s,N/A,N/A,"175,925.00",29.750,Put,0.003s,N/A,N/A,15.00
Call,34.935s,N/A,N/A,"174,675.00",30.000,Put,0.009s,5,60,45.00
Call,34.685s,N/A,N/A,"173,425.00",30.250,Put,0.004s,N/A,N/A,20.00
Call,34.435s,N/A,N/A,"172,175.00",30.500,Put,0.004s,N/A,N/A,20.00
Call,34.185s,N/A,N/A,"170,925.00",30.750,Put,0.004s,N/A,N/A,20.00
Call,33.935s,N/A,N/A,"169,675.00",31.000,Put,0.004s,N/A,N/A,20.00
Call,33.685s,N/A,N/A,"168,425.00",31.250,Put,0.004s,N/A,N/A,20.00
Call,33.435s,N/A,N/A,"167,175.00",31.500,Put,0.005s,N/A,N/A,25.00
Call,33.185s,N/A,N/A,"165,925.00",31.750,Put,0.005s,N/A,N/A,25.00
Call,32.935s,N/A,N/A,"164,675.00",32.000,Put,0.005s,N/A,1,25.00
Call,32.685s,N/A,N/A,"163,425.00",32.250,Put,0.005s,N/A,N/A,25.00
Call,32.435s,N/A,N/A,"162,175.00",32.500,Put,0.005s,N/A,51,25.00
