Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
32.183s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,25.250,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
31.933s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,25.500,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
31.683s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,25.750,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
31.433s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,26.000,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
31.183s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,26.250,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
30.933s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,26.500,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
30.683s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,26.750,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
30.433s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,27.000,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
30.183s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,27.250,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
29.933s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,27.500,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
29.683s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,27.750,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
29.433s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,28.000,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
29.183s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,28.250,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
28.933s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,28.500,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
28.683s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,28.750,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
28.433s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,29.000,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
28.183s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,29.250,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
27.933s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,29.500,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
27.683s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,29.750,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
27.433s,0.00%,0.9987,0.0000,0.0000,0.0000,-42.76%,Call,07/15/26,30.000,0.010s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.76%,Put,07/15/26
