Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
39.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,25.250,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
39.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,25.500,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
39.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,25.750,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
38.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,26.000,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
38.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,26.250,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
38.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,26.500,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
38.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,26.750,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
37.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,27.000,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
37.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,27.250,0.001s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
37.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,27.500,0.002s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
37.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,27.750,0.002s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
36.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,28.000,0.002s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.49%,Put,08/11/26
36.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,28.250,0.002s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
36.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,28.500,0.002s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
36.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,28.750,0.003s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
35.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,29.000,0.003s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
35.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,29.250,0.003s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
35.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,29.500,0.003s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
35.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,29.750,0.003s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
34.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,30.000,0.009s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
34.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,30.250,0.004s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
34.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,30.500,0.004s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
34.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,30.750,0.004s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
33.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,31.000,0.004s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
33.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,31.250,0.004s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
33.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,31.500,0.005s,0.00%,0.0000,0.0000,0.0000,0.0000,-42.49%,Put,08/11/26
33.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,31.750,0.005s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
32.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,32.000,0.005s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
32.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,32.250,0.005s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
32.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,32.500,0.005s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
32.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,32.750,0.006s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
31.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,33.000,0.006s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
31.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,33.250,0.006s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
31.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,33.500,0.006s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
31.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,33.750,0.006s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
30.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,34.000,0.007s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
30.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,34.250,0.007s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
30.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,34.500,0.007s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
30.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,34.750,0.007s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
29.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,35.000,0.008s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
29.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,35.250,0.008s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
29.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,35.500,0.008s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
29.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,35.750,0.009s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
28.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,36.000,0.009s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
28.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,36.250,0.010s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
28.435s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,36.500,0.010s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
28.185s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,36.750,0.011s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
27.935s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,37.000,0.011s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
27.685s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,37.250,0.012s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
27.436s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,37.500,0.012s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
27.186s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,37.750,0.013s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
26.936s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,38.000,0.014s,0.00%,0.0000,0.0000,0.0000,0.0000,-43.15%,Put,08/11/26
26.686s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,38.250,0.014s,99.82%,-0.0033,0.0008,-0.0043,0.0013,+56.67%,Put,08/11/26
26.437s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,38.500,0.015s,99.41%,-0.0035,0.0008,-0.0045,0.0014,+56.26%,Put,08/11/26
26.187s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,38.750,0.015s,98.28%,-0.0036,0.0008,-0.0045,0.0014,+55.13%,Put,08/11/26
25.938s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,39.000,0.016s,97.85%,-0.0038,0.0009,-0.0047,0.0015,+54.70%,Put,08/11/26
25.688s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,39.250,0.017s,97.36%,-0.0040,0.0009,-0.0050,0.0016,+54.21%,Put,08/11/26
25.438s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,39.500,0.017s,96.24%,-0.0041,0.0010,-0.0050,0.0016,+53.09%,Put,08/11/26
25.189s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,39.750,0.018s,95.73%,-0.0043,0.0010,-0.0052,0.0017,+52.58%,Put,08/11/26
24.940s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,40.000,0.012s,90.53%,-0.0032,0.0008,-0.0037,0.0013,+47.38%,Put,08/11/26
24.690s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,40.250,0.020s,94.62%,-0.0048,0.0011,-0.0057,0.0018,+51.47%,Put,08/11/26
24.440s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,40.500,0.020s,93.51%,-0.0049,0.0011,-0.0056,0.0019,+50.36%,Put,08/11/26
24.191s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,40.750,0.021s,92.91%,-0.0051,0.0012,-0.0059,0.0019,+49.76%,Put,08/11/26
23.941s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,41.000,0.021s,91.80%,-0.0052,0.0012,-0.0059,0.0020,+48.65%,Put,08/11/26
23.692s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,41.250,0.022s,91.19%,-0.0054,0.0013,-0.0061,0.0021,+48.04%,Put,08/11/26
23.442s,0.00%,0.9984,0.0000,0.0000,0.0000,-43.15%,Call,08/11/26,41.500,0.022s,90.09%,-0.0055,0.0013,-0.0061,0.0021,+46.94%,Put,08/11/26
23.193s,99.95%,0.9872,0.0022,-0.0128,0.0039,+56.80%,Call,08/11/26,41.750,0.023s,89.45%,-0.0058,0.0014,-0.0063,0.0022,+46.30%,Put,08/11/26
22.943s,98.64%,0.9871,0.0023,-0.0127,0.0039,+55.49%,Call,08/11/26,42.000,0.023s,88.36%,-0.0058,0.0014,-0.0063,0.0022,+45.21%,Put,08/11/26
22.694s,97.60%,0.9869,0.0024,-0.0128,0.0040,+54.45%,Call,08/11/26,42.250,0.023s,87.27%,-0.0059,0.0015,-0.0062,0.0022,+44.11%,Put,08/11/26
22.444s,96.30%,0.9868,0.0024,-0.0127,0.0040,+53.15%,Call,08/11/26,42.500,0.024s,86.62%,-0.0062,0.0015,-0.0065,0.0023,+43.47%,Put,08/11/26
22.194s,95.02%,0.9867,0.0024,-0.0126,0.0040,+51.87%,Call,08/11/26,42.750,0.024s,85.53%,-0.0063,0.0016,-0.0064,0.0023,+42.38%,Put,08/11/26
21.944s,93.75%,0.9866,0.0025,-0.0125,0.0040,+50.59%,Call,08/11/26,43.000,0.024s,84.45%,-0.0063,0.0016,-0.0064,0.0023,+41.30%,Put,08/11/26
21.695s,92.72%,0.9864,0.0026,-0.0126,0.0041,+49.57%,Call,08/11/26,43.250,0.024s,83.38%,-0.0064,0.0016,-0.0064,0.0024,+40.23%,Put,08/11/26
21.445s,91.46%,0.9863,0.0026,-0.0125,0.0041,+48.30%,Call,08/11/26,43.500,0.024s,82.30%,-0.0065,0.0017,-0.0064,0.0024,+39.15%,Put,08/11/26
