Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,38.606s,N/A,N/A,"193,030.00",25.250,Put,0.008s,N/A,N/A,40.00
Call,38.356s,N/A,N/A,"191,780.00",25.500,Put,0.009s,N/A,N/A,45.00
Call,38.106s,N/A,N/A,"190,530.00",25.750,Put,0.009s,N/A,N/A,45.00
Call,37.856s,N/A,N/A,"189,280.00",26.000,Put,0.010s,N/A,N/A,50.00
Call,37.606s,N/A,N/A,"188,030.00",26.250,Put,0.010s,N/A,N/A,50.00
Call,37.356s,N/A,N/A,"186,780.00",26.500,Put,0.011s,N/A,N/A,55.00
Call,37.106s,N/A,N/A,"185,530.00",26.750,Put,0.012s,N/A,N/A,60.00
Call,36.856s,N/A,N/A,"184,280.00",27.000,Put,0.012s,N/A,N/A,60.00
Call,36.606s,N/A,N/A,"183,030.00",27.250,Put,0.013s,N/A,N/A,65.00
Call,36.356s,N/A,N/A,"181,780.00",27.500,Put,0.014s,N/A,N/A,70.00
Call,36.106s,N/A,N/A,"180,530.00",27.750,Put,0.014s,N/A,N/A,70.00
Call,35.856s,N/A,N/A,"179,280.00",28.000,Put,0.015s,N/A,N/A,75.00
Call,35.606s,N/A,N/A,"178,030.00",28.250,Put,0.016s,N/A,N/A,80.00
Call,35.356s,N/A,N/A,"176,780.00",28.500,Put,0.017s,N/A,N/A,85.00
Call,35.106s,N/A,N/A,"175,530.00",28.750,Put,0.018s,N/A,N/A,90.00
Call,34.856s,N/A,N/A,"174,280.00",29.000,Put,0.019s,N/A,N/A,95.00
Call,34.606s,N/A,N/A,"173,030.00",29.250,Put,0.019s,N/A,N/A,95.00
Call,34.356s,N/A,N/A,"171,780.00",29.500,Put,0.020s,N/A,N/A,100.00
Call,34.106s,N/A,N/A,"170,530.00",29.750,Put,0.021s,N/A,N/A,105.00
Call,33.856s,N/A,N/A,"169,280.00",30.000,Put,0.022s,N/A,95,110.00
Call,33.606s,N/A,N/A,"168,030.00",30.250,Put,0.023s,N/A,N/A,115.00
Call,33.356s,N/A,N/A,"166,780.00",30.500,Put,0.025s,N/A,N/A,125.00
Call,33.106s,N/A,N/A,"165,530.00",30.750,Put,0.026s,N/A,N/A,130.00
Call,32.856s,N/A,N/A,"164,280.00",31.000,Put,0.027s,N/A,1,135.00
Call,32.606s,N/A,N/A,"163,030.00",31.250,Put,0.028s,N/A,N/A,140.00
Call,32.356s,N/A,N/A,"161,780.00",31.500,Put,0.029s,N/A,1,145.00
Call,32.106s,N/A,N/A,"160,530.00",31.750,Put,0.031s,N/A,N/A,155.00
Call,31.856s,N/A,N/A,"159,280.00",32.000,Put,0.032s,N/A,1,160.00
Call,31.606s,N/A,N/A,"158,030.00",32.250,Put,0.033s,N/A,N/A,165.00
Call,31.356s,N/A,N/A,"156,780.00",32.500,Put,0.035s,N/A,N/A,175.00
Call,31.106s,N/A,N/A,"155,530.00",32.750,Put,0.036s,N/A,N/A,180.00
Call,30.856s,N/A,N/A,"154,280.00",33.000,Put,0.037s,N/A,N/A,185.00
Call,30.606s,N/A,N/A,"153,030.00",33.250,Put,0.039s,N/A,N/A,195.00
Call,30.356s,N/A,N/A,"151,780.00",33.500,Put,0.041s,N/A,N/A,205.00
Call,30.106s,N/A,N/A,"150,530.00",33.750,Put,0.042s,N/A,N/A,210.00
Call,29.856s,N/A,N/A,"149,280.00",34.000,Put,0.044s,N/A,N/A,220.00
Call,29.606s,N/A,N/A,"148,030.00",34.250,Put,0.045s,N/A,N/A,225.00
Call,29.356s,N/A,N/A,"146,780.00",34.500,Put,0.047s,N/A,N/A,235.00
Call,29.106s,N/A,N/A,"145,530.00",34.750,Put,0.049s,N/A,N/A,245.00
Call,28.856s,N/A,N/A,"144,280.00",35.000,Put,0.051s,N/A,37,255.00
Call,28.606s,N/A,N/A,"143,030.00",35.250,Put,0.052s,N/A,N/A,260.00
Call,28.357s,N/A,N/A,"141,785.00",35.500,Put,0.054s,N/A,N/A,270.00
Call,28.107s,N/A,N/A,"140,535.00",35.750,Put,0.056s,N/A,N/A,280.00
Call,27.857s,N/A,N/A,"139,285.00",36.000,Put,0.058s,N/A,1,290.00
Call,27.608s,N/A,N/A,"138,040.00",36.250,Put,0.060s,N/A,N/A,300.00
Call,27.359s,N/A,N/A,"136,795.00",36.500,Put,0.062s,N/A,N/A,310.00
Call,27.110s,N/A,N/A,"135,550.00",36.750,Put,0.064s,N/A,N/A,320.00
Call,26.861s,N/A,N/A,"134,305.00",37.000,Put,0.067s,N/A,2,335.00
Call,26.612s,N/A,N/A,"133,060.00",37.250,Put,0.069s,N/A,N/A,345.00
Call,26.363s,N/A,N/A,"131,815.00",37.500,Put,0.071s,N/A,N/A,355.00
Call,26.114s,N/A,N/A,"130,570.00",37.750,Put,0.073s,N/A,N/A,365.00
Call,25.866s,N/A,N/A,"129,330.00",38.000,Put,0.076s,N/A,2,380.00
Call,25.618s,N/A,N/A,"128,090.00",38.250,Put,0.078s,N/A,N/A,390.00
Call,25.369s,N/A,N/A,"126,845.00",38.500,Put,0.081s,N/A,1,405.00
Call,25.121s,N/A,1,"125,605.00",38.750,Put,0.084s,N/A,N/A,420.00
Call,24.873s,N/A,N/A,"124,365.00",39.000,Put,0.087s,N/A,N/A,435.00
Call,24.625s,N/A,N/A,"123,125.00",39.250,Put,0.090s,N/A,1,450.00
Call,24.378s,N/A,N/A,"121,890.00",39.500,Put,0.093s,N/A,N/A,465.00
Call,24.130s,N/A,N/A,"120,650.00",39.750,Put,0.096s,N/A,N/A,480.00
Call,23.883s,N/A,N/A,"119,415.00",40.000,Put,0.099s,1,109,495.00
Call,23.636s,N/A,N/A,"118,180.00",40.250,Put,0.103s,N/A,N/A,515.00
Call,23.389s,N/A,N/A,"116,945.00",40.500,Put,0.107s,N/A,N/A,535.00
Call,23.143s,N/A,N/A,"115,715.00",40.750,Put,0.111s,N/A,N/A,555.00
Call,22.896s,N/A,N/A,"114,480.00",41.000,Put,0.115s,N/A,3,575.00
Call,22.650s,N/A,N/A,"113,250.00",41.250,Put,0.119s,N/A,N/A,595.00
Call,22.404s,N/A,N/A,"112,020.00",41.500,Put,0.124s,N/A,N/A,620.00
Call,22.158s,N/A,N/A,"110,790.00",41.750,Put,0.128s,N/A,N/A,640.00
Call,21.913s,N/A,N/A,"109,565.00",42.000,Put,0.134s,N/A,198,670.00
Call,21.668s,N/A,N/A,"108,340.00",42.250,Put,0.139s,N/A,N/A,695.00
Call,21.423s,N/A,N/A,"107,115.00",42.500,Put,0.145s,N/A,N/A,725.00
Call,21.179s,N/A,N/A,"105,895.00",42.750,Put,0.151s,N/A,N/A,755.00
Call,20.935s,N/A,N/A,"104,675.00",43.000,Put,0.157s,N/A,19,785.00
Call,20.692s,N/A,N/A,"103,460.00",43.250,Put,0.163s,N/A,N/A,815.00
Call,20.448s,N/A,N/A,"102,240.00",43.500,Put,0.170s,N/A,N/A,850.00
Call,20.205s,N/A,N/A,"101,025.00",43.750,Put,0.178s,N/A,N/A,890.00
Call,19.963s,N/A,N/A,"99,815.00",44.000,Put,0.186s,N/A,3,930.00
Call,19.721s,N/A,N/A,"98,605.00",44.250,Put,0.194s,N/A,N/A,970.00
Call,19.480s,N/A,N/A,"97,400.00",44.500,Put,0.202s,N/A,N/A,"1,010.00"
Call,19.238s,N/A,N/A,"96,190.00",44.750,Put,0.211s,N/A,N/A,"1,055.00"
Call,18.998s,N/A,N/A,"94,990.00",45.000,Put,0.221s,11,425,"1,105.00"
Call,18.758s,N/A,N/A,"93,790.00",45.250,Put,0.230s,N/A,N/A,"1,150.00"
Call,18.518s,N/A,N/A,"92,590.00",45.500,Put,0.241s,N/A,N/A,"1,205.00"
Call,18.280s,N/A,N/A,"91,400.00",45.750,Put,0.252s,N/A,N/A,"1,260.00"
Call,18.041s,N/A,N/A,"90,205.00",46.000,Put,0.307s,2,11,"1,535.00"
Call,17.803s,N/A,N/A,"89,015.00",46.250,Put,0.275s,N/A,N/A,"1,375.00"
Call,17.566s,N/A,N/A,"87,830.00",46.500,Put,0.288s,N/A,2,"1,440.00"
Call,17.330s,N/A,N/A,"86,650.00",46.750,Put,0.301s,N/A,1,"1,505.00"
Call,17.094s,N/A,N/A,"85,470.00",47.000,Put,0.315s,33,48,"1,575.00"
Call,16.859s,N/A,N/A,"84,295.00",47.250,Put,0.330s,N/A,N/A,"1,650.00"
Call,16.625s,N/A,N/A,"83,125.00",47.500,Put,0.345s,N/A,8,"1,725.00"
Call,16.391s,N/A,N/A,"81,955.00",47.750,Put,0.361s,N/A,N/A,"1,805.00"
Call,16.158s,N/A,N/A,"80,790.00",48.000,Put,0.330s,3,448,"1,650.00"
Call,15.926s,N/A,N/A,"79,630.00",48.250,Put,0.395s,N/A,N/A,"1,975.00"
Call,15.695s,N/A,N/A,"78,475.00",48.500,Put,0.413s,5,5,"2,065.00"
Call,15.465s,N/A,N/A,"77,325.00",48.750,Put,0.432s,1,4,"2,160.00"
Call,15.235s,N/A,N/A,"76,175.00",49.000,Put,0.452s,3,13,"2,260.00"
Call,15.007s,N/A,N/A,"75,035.00",49.250,Put,0.497s,1,359,"2,485.00"
Call,14.779s,N/A,N/A,"73,895.00",49.500,Put,0.495s,N/A,17,"2,475.00"
Call,14.553s,N/A,N/A,"72,765.00",49.750,Put,0.518s,N/A,74,"2,590.00"
Call,14.328s,3,35,"71,640.00",50.000,Put,0.550s,1,637,"2,750.00"
Call,14.103s,N/A,N/A,"70,515.00",50.250,Put,0.567s,N/A,33,"2,835.00"
Call,13.880s,N/A,N/A,"69,400.00",50.500,Put,0.593s,N/A,10,"2,965.00"
Call,13.658s,N/A,N/A,"68,290.00",50.750,Put,0.620s,N/A,5,"3,100.00"
Call,13.438s,N/A,N/A,"67,190.00",51.000,Put,0.649s,N/A,26,"3,245.00"
Call,13.219s,N/A,N/A,"66,095.00",51.250,Put,0.679s,N/A,3,"3,395.00"
Call,13.001s,N/A,N/A,"65,005.00",51.500,Put,0.710s,N/A,13,"3,550.00"
Call,12.784s,N/A,N/A,"63,920.00",51.750,Put,0.743s,N/A,2,"3,715.00"
Call,12.569s,N/A,N/A,"62,845.00",52.000,Put,0.777s,N/A,98,"3,885.00"
Call,12.356s,N/A,N/A,"61,780.00",52.250,Put,0.812s,N/A,3,"4,060.00"
Call,12.144s,N/A,50,"60,720.00",52.500,Put,0.849s,N/A,50,"4,245.00"
Call,11.934s,N/A,N/A,"59,670.00",52.750,Put,0.888s,N/A,N/A,"4,440.00"
Call,11.725s,N/A,N/A,"58,625.00",53.000,Put,0.929s,10,273,"4,645.00"
Call,11.519s,N/A,N/A,"57,595.00",53.250,Put,0.971s,N/A,8,"4,855.00"
Call,11.314s,N/A,N/A,"56,570.00",53.500,Put,1.015s,N/A,3,"5,075.00"
Call,11.111s,N/A,N/A,"55,555.00",53.750,Put,1.061s,N/A,2,"5,305.00"
Call,10.909s,N/A,N/A,"54,545.00",54.000,Put,1.108s,33,66,"5,540.00"
Call,10.710s,N/A,N/A,"53,550.00",54.250,Put,1.136s,1,4,"5,680.00"
Call,10.513s,N/A,N/A,"52,565.00",54.500,Put,1.209s,N/A,5,"6,045.00"
Call,10.317s,N/A,N/A,"51,585.00",54.750,Put,1.263s,N/A,N/A,"6,315.00"
Call,10.124s,N/A,1,"50,620.00",55.000,Put,1.411s,3,704,"7,055.00"
Call,9.933s,N/A,N/A,"49,665.00",55.250,Put,1.376s,N/A,N/A,"6,880.00"
Call,9.744s,N/A,4,"48,720.00",55.500,Put,1.436s,N/A,5,"7,180.00"
Call,9.557s,N/A,N/A,"47,785.00",55.750,Put,1.497s,174,174,"7,485.00"
Call,9.372s,N/A,1,"46,860.00",56.000,Put,1.561s,7,129,"7,805.00"
Call,9.190s,N/A,N/A,"45,950.00",56.250,Put,1.628s,N/A,2,"8,140.00"
Call,9.010s,N/A,N/A,"45,050.00",56.500,Put,1.696s,N/A,30,"8,480.00"
Call,8.832s,N/A,N/A,"44,160.00",56.750,Put,1.767s,N/A,1,"8,835.00"
Call,8.657s,N/A,1,"43,285.00",57.000,Put,1.789s,2,117,"8,945.00"
Call,8.483s,N/A,N/A,"42,415.00",57.250,Put,1.916s,N/A,106,"9,580.00"
Call,8.313s,N/A,N/A,"41,565.00",57.500,Put,1.994s,N/A,109,"9,970.00"
