Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,38.752s,N/A,N/A,"193,760.00",25.250,Put,0.003s,N/A,N/A,15.00
Call,38.502s,N/A,N/A,"192,510.00",25.500,Put,0.003s,N/A,N/A,15.00
Call,38.252s,N/A,N/A,"191,260.00",25.750,Put,0.003s,N/A,N/A,15.00
Call,38.002s,N/A,N/A,"190,010.00",26.000,Put,0.003s,N/A,N/A,15.00
Call,37.752s,N/A,N/A,"188,760.00",26.250,Put,0.003s,N/A,N/A,15.00
Call,37.502s,N/A,N/A,"187,510.00",26.500,Put,0.004s,N/A,N/A,20.00
Call,37.252s,N/A,N/A,"186,260.00",26.750,Put,0.004s,N/A,N/A,20.00
Call,37.002s,N/A,N/A,"185,010.00",27.000,Put,0.004s,N/A,N/A,20.00
Call,36.752s,N/A,N/A,"183,760.00",27.250,Put,0.004s,N/A,N/A,20.00
Call,36.502s,N/A,N/A,"182,510.00",27.500,Put,0.005s,N/A,N/A,25.00
Call,36.252s,N/A,N/A,"181,260.00",27.750,Put,0.005s,N/A,N/A,25.00
Call,36.002s,N/A,N/A,"180,010.00",28.000,Put,0.005s,N/A,N/A,25.00
Call,35.752s,N/A,N/A,"178,760.00",28.250,Put,0.006s,N/A,N/A,30.00
Call,35.502s,N/A,N/A,"177,510.00",28.500,Put,0.006s,N/A,N/A,30.00
Call,35.252s,N/A,N/A,"176,260.00",28.750,Put,0.006s,N/A,N/A,30.00
Call,35.002s,N/A,N/A,"175,010.00",29.000,Put,0.007s,N/A,N/A,35.00
Call,34.752s,N/A,N/A,"173,760.00",29.250,Put,0.007s,N/A,N/A,35.00
Call,34.502s,N/A,N/A,"172,510.00",29.500,Put,0.007s,N/A,N/A,35.00
Call,34.252s,N/A,N/A,"171,260.00",29.750,Put,0.008s,N/A,N/A,40.00
Call,34.002s,N/A,N/A,"170,010.00",30.000,Put,0.008s,N/A,95,40.00
Call,33.752s,N/A,N/A,"168,760.00",30.250,Put,0.009s,N/A,N/A,45.00
Call,33.502s,N/A,N/A,"167,510.00",30.500,Put,0.009s,N/A,N/A,45.00
Call,33.252s,N/A,N/A,"166,260.00",30.750,Put,0.010s,N/A,N/A,50.00
Call,33.002s,N/A,N/A,"165,010.00",31.000,Put,0.010s,N/A,1,50.00
Call,32.752s,N/A,N/A,"163,760.00",31.250,Put,0.011s,N/A,N/A,55.00
Call,32.502s,N/A,N/A,"162,510.00",31.500,Put,0.011s,N/A,1,55.00
Call,32.252s,N/A,N/A,"161,260.00",31.750,Put,0.012s,N/A,N/A,60.00
Call,32.002s,N/A,N/A,"160,010.00",32.000,Put,0.012s,N/A,1,60.00
Call,31.752s,N/A,N/A,"158,760.00",32.250,Put,0.013s,N/A,N/A,65.00
Call,31.502s,N/A,N/A,"157,510.00",32.500,Put,0.014s,N/A,N/A,70.00
Call,31.252s,N/A,N/A,"156,260.00",32.750,Put,0.014s,N/A,N/A,70.00
Call,31.002s,N/A,N/A,"155,010.00",33.000,Put,0.015s,N/A,N/A,75.00
Call,30.752s,N/A,N/A,"153,760.00",33.250,Put,0.016s,N/A,N/A,80.00
Call,30.502s,N/A,N/A,"152,510.00",33.500,Put,0.016s,N/A,N/A,80.00
