Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time,Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,Time
39.551s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,25.250,0.002s,72.19%,-0.0004,0.0001,-0.0002,0.0004,+37.01%,Put,09/25/26
39.301s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,25.500,0.002s,71.48%,-0.0004,0.0001,-0.0002,0.0004,+36.30%,Put,09/25/26
39.051s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,25.750,0.002s,70.74%,-0.0004,0.0001,-0.0002,0.0004,+35.56%,Put,09/25/26
38.801s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,26.000,0.002s,70.04%,-0.0004,0.0001,-0.0002,0.0004,+34.86%,Put,09/25/26
38.551s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,26.250,0.003s,71.60%,-0.0006,0.0001,-0.0003,0.0005,+36.42%,Put,09/25/26
38.301s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,26.500,0.003s,70.86%,-0.0006,0.0001,-0.0003,0.0005,+35.68%,Put,09/25/26
38.051s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,26.750,0.003s,70.16%,-0.0006,0.0001,-0.0003,0.0005,+34.97%,Put,09/25/26
37.801s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,27.000,0.003s,69.45%,-0.0006,0.0001,-0.0003,0.0005,+34.27%,Put,09/25/26
37.551s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,27.250,0.003s,68.75%,-0.0006,0.0001,-0.0003,0.0005,+33.57%,Put,09/25/26
37.301s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,27.500,0.004s,69.73%,-0.0007,0.0001,-0.0004,0.0007,+34.54%,Put,09/25/26
37.051s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,27.750,0.004s,69.02%,-0.0008,0.0001,-0.0004,0.0007,+33.84%,Put,09/25/26
36.801s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,28.000,0.004s,68.32%,-0.0008,0.0001,-0.0004,0.0007,+33.14%,Put,09/25/26
36.551s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,28.250,0.004s,67.62%,-0.0008,0.0001,-0.0004,0.0007,+32.43%,Put,09/25/26
36.301s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,28.500,0.005s,68.24%,-0.0009,0.0002,-0.0004,0.0008,+33.06%,Put,09/25/26
36.051s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,28.750,0.005s,67.56%,-0.0009,0.0002,-0.0004,0.0008,+32.38%,Put,09/25/26
35.801s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,29.000,0.005s,66.88%,-0.0010,0.0002,-0.0004,0.0008,+31.69%,Put,09/25/26
35.551s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,29.250,0.006s,67.29%,-0.0011,0.0002,-0.0005,0.0010,+32.10%,Put,09/25/26
35.301s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,29.500,0.006s,66.60%,-0.0011,0.0002,-0.0005,0.0010,+31.42%,Put,09/25/26
35.051s,0.00%,0.9932,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,29.750,0.006s,65.94%,-0.0012,0.0002,-0.0005,0.0010,+30.76%,Put,09/25/26
34.801s,0.00%,0.9931,0.0000,0.0000,0.0000,-35.18%,Call,09/25/26,30.000,0.007s,66.19%,-0.0013,0.0003,-0.0006,0.0011,+31.01%,Put,09/25/26
